ダウンロードした時刻：2019/10/10 15:57:26

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,9.8,16.3,3.9
2013/12/2,10.3,16.4,5.7
2013/12/3,10.0,15.5,5.5
2013/12/4,9.2,14.3,4.4
2013/12/5,11.2,16.0,7.1
2013/12/6,11.7,16.8,7.7
2013/12/7,9.5,12.2,6.7
2013/12/8,8.4,12.7,5.5
2013/12/9,7.3,9.9,2.9
2013/12/10,10.6,15.0,7.1
2013/12/11,8.2,12.2,5.4
2013/12/12,6.4,9.7,3.5
2013/12/13,5.0,11.0,0.7
2013/12/14,6.0,9.6,3.2
2013/12/15,6.9,9.9,5.4
2013/12/16,7.0,10.0,5.3
2013/12/17,8.5,12.1,5.9
2013/12/18,6.5,8.1,5.7
2013/12/19,8.2,9.8,6.7
2013/12/20,6.3,8.6,4.7
2013/12/21,7.0,10.1,5.4
2013/12/22,5.3,7.6,4.2
2013/12/23,6.2,9.7,4.1
2013/12/24,6.3,10.1,3.6
2013/12/25,5.7,8.8,2.9
2013/12/26,5.9,8.8,2.5
2013/12/27,6.1,9.2,2.4
2013/12/28,3.8,8.5,1.4
2013/12/29,4.4,8.8,1.7
2013/12/30,5.9,10.3,1.8
2013/12/31,8.0,12.8,4.4
2014/1/1,8.2,14.1,2.9
2014/1/2,8.0,12.2,3.6
2014/1/3,5.4,8.9,1.4
2014/1/4,6.7,11.7,3.4
2014/1/5,4.8,8.0,2.4
2014/1/6,5.2,9.5,2.1
2014/1/7,4.1,8.2,-0.5
2014/1/8,5.1,6.7,3.2
2014/1/9,6.2,11.0,1.4
2014/1/10,2.9,6.7,0.3
2014/1/11,4.4,9.5,0.6
2014/1/12,5.4,10.2,0.8
2014/1/13,3.7,6.3,0.4
2014/1/14,2.8,7.1,-1.4
2014/1/15,4.7,7.6,2.6
2014/1/16,5.7,10.4,0.3
2014/1/17,4.8,8.1,1.3
2014/1/18,4.5,9.6,0.0
2014/1/19,1.6,4.8,-0.6
2014/1/20,3.7,6.5,-0.7
2014/1/21,5.5,10.0,2.4
2014/1/22,3.5,7.4,1.3
2014/1/23,5.0,9.8,1.2
2014/1/24,3.9,9.3,-1.1
2014/1/25,6.4,10.0,2.5
2014/1/26,6.4,9.9,1.8
2014/1/27,3.8,9.5,0.7
2014/1/28,5.9,13.3,-1.3
2014/1/29,7.4,11.2,3.7
2014/1/30,5.8,13.9,3.8
2014/1/31,10.3,13.6,4.7
2014/2/1,6.0,10.2,1.2
2014/2/2,8.6,11.6,5.6
2014/2/3,10.2,13.0,7.5
2014/2/4,6.0,11.7,0.7
2014/2/5,0.9,4.6,-0.6
2014/2/6,1.8,4.2,-0.6
2014/2/7,3.7,7.5,0.6
2014/2/8,2.4,5.0,0.6
2014/2/9,5.3,8.2,3.5
2014/2/10,4.3,8.7,1.9
2014/2/11,2.8,6.7,0.1
2014/2/12,4.9,9.7,1.6
2014/2/13,5.3,9.5,3.8
2014/2/14,1.7,4.0,0.2
2014/2/15,5.0,7.8,2.3
2014/2/16,5.9,9.4,3.6
2014/2/17,5.6,11.9,1.7
2014/2/18,3.4,6.3,2.4
2014/2/19,3.9,7.0,2.0
2014/2/20,4.7,8.9,1.7
2014/2/21,4.2,8.4,1.2
2014/2/22,4.4,8.7,1.5
2014/2/23,5.4,10.4,1.6
2014/2/24,6.7,11.5,2.5
2014/2/25,8.1,13.4,2.2
2014/2/26,8.7,11.4,4.1
2014/2/27,10.4,12.4,8.5
2014/2/28,13.0,16.2,10.2
2014/3/1,10.8,13.9,8.3
2014/3/2,9.5,12.7,7.6
2014/3/3,7.2,10.8,3.0
2014/3/4,5.6,9.7,0.2
2014/3/5,7.6,10.5,3.6
2014/3/6,3.6,7.4,1.2
2014/3/7,3.4,9.5,-0.1
2014/3/8,4.6,9.4,1.1
2014/3/9,6.5,11.5,2.6
2014/3/10,2.7,6.6,0.6
2014/3/11,6.0,12.1,1.6
2014/3/12,8.2,13.8,2.1
2014/3/13,9.6,13.3,7.7
2014/3/14,6.6,10.0,3.9
2014/3/15,6.7,11.4,3.1
2014/3/16,9.0,17.7,1.8
2014/3/17,10.6,14.6,6.6
2014/3/18,11.3,17.0,7.9
2014/3/19,11.3,16.7,7.0
2014/3/20,9.7,13.0,7.4
2014/3/21,5.9,8.3,3.6
2014/3/22,6.7,11.5,3.1
2014/3/23,10.7,17.4,3.7
2014/3/24,12.3,17.2,7.2
2014/3/25,14.1,20.3,8.9
2014/3/26,11.9,15.1,11.1
2014/3/27,13.5,18.5,11.0
2014/3/28,12.7,17.6,7.4
2014/3/29,13.3,17.0,9.6
2014/3/30,15.0,19.2,11.5
2014/3/31,12.2,16.2,10.2
