ダウンロードした時刻：2019/10/10 16:26:47

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,15.2,20.2,8.7
2005/12/2,15.1,18.1,12.4
2005/12/3,13.9,16.6,11.4
2005/12/4,12.9,16.4,9.1
2005/12/5,9.3,11.6,7.4
2005/12/6,10.8,12.5,9.1
2005/12/7,11.8,13.2,10.4
2005/12/8,12.8,14.4,11.5
2005/12/9,12.0,13.2,7.4
2005/12/10,12.6,17.1,7.4
2005/12/11,12.2,15.0,10.1
2005/12/12,10.7,12.7,9.1
2005/12/13,8.6,11.0,7.1
2005/12/14,8.9,10.1,7.9
2005/12/15,9.6,11.3,8.0
2005/12/16,9.7,10.6,8.3
2005/12/17,10.1,13.0,6.4
2005/12/18,5.7,7.3,3.5
2005/12/19,9.7,11.7,6.6
2005/12/20,10.6,13.3,4.9
2005/12/21,10.6,14.6,5.3
2005/12/22,6.1,9.3,2.6
2005/12/23,11.6,14.8,8.3
2005/12/24,11.3,15.0,9.4
2005/12/25,12.2,14.7,9.4
2005/12/26,11.8,15.6,9.3
2005/12/27,9.3,10.1,8.7
2005/12/28,9.7,14.0,3.9
2005/12/29,12.3,16.7,8.4
2005/12/30,13.9,16.0,12.7
2005/12/31,12.1,13.6,9.5
2006/1/1,14.2,16.9,11.9
2006/1/2,12.8,14.8,10.5
2006/1/3,10.9,12.8,6.4
2006/1/4,9.7,15.2,5.4
2006/1/5,7.7,9.3,6.5
2006/1/6,7.8,9.6,4.2
2006/1/7,6.7,8.1,5.2
2006/1/8,7.5,9.9,3.8
2006/1/9,9.5,12.6,3.6
2006/1/10,11.5,13.8,4.9
2006/1/11,10.5,16.0,5.0
2006/1/12,13.9,18.7,7.7
2006/1/13,17.2,20.1,15.1
2006/1/14,17.9,20.9,14.8
2006/1/15,14.6,15.6,13.4
2006/1/16,15.1,19.7,9.7
2006/1/17,14.3,16.6,12.3
2006/1/18,13.3,15.6,12.4
2006/1/19,12.1,13.5,10.7
2006/1/20,12.1,13.4,10.6
2006/1/21,11.0,13.7,8.9
2006/1/22,10.5,12.3,9.0
2006/1/23,8.8,10.3,6.7
2006/1/24,8.3,12.0,2.6
2006/1/25,9.6,12.9,4.2
2006/1/26,9.6,12.6,4.9
2006/1/27,11.3,12.7,10.3
2006/1/28,11.8,15.5,8.3
2006/1/29,14.6,16.6,10.9
2006/1/30,18.5,22.1,15.6
2006/1/31,18.8,22.7,16.1
2006/2/1,15.3,18.2,11.7
2006/2/2,12.2,14.5,10.6
2006/2/3,10.1,11.6,7.3
2006/2/4,6.3,7.7,4.9
2006/2/5,7.3,10.9,4.9
2006/2/6,14.0,17.4,4.3
2006/2/7,13.1,15.5,11.0
2006/2/8,8.6,11.9,5.8
2006/2/9,7.0,8.9,5.6
2006/2/10,10.3,13.2,7.0
2006/2/11,13.6,16.0,11.7
2006/2/12,11.0,14.0,6.1
2006/2/13,11.1,16.9,4.3
2006/2/14,17.5,22.0,9.0
2006/2/15,19.8,23.0,18.5
2006/2/16,17.9,22.3,13.3
2006/2/17,11.8,13.6,9.6
2006/2/18,10.2,13.0,7.8
2006/2/19,11.5,12.6,9.3
2006/2/20,14.3,17.2,12.6
2006/2/21,14.7,17.7,11.1
2006/2/22,15.8,21.4,8.8
2006/2/23,14.3,16.3,12.8
2006/2/24,14.1,16.5,12.7
2006/2/25,16.6,19.0,13.4
2006/2/26,17.9,19.8,15.8
2006/2/27,14.4,16.2,12.4
2006/2/28,15.4,17.7,13.1
2006/3/1,13.4,17.7,9.5
2006/3/2,9.5,10.8,8.5
2006/3/3,9.3,10.9,8.0
2006/3/4,8.9,12.0,4.4
2006/3/5,11.8,17.8,4.3
2006/3/6,16.1,18.7,11.8
2006/3/7,14.4,18.6,9.2
2006/3/8,14.8,19.5,9.2
2006/3/9,14.0,15.1,12.6
2006/3/10,15.1,18.8,10.8
2006/3/11,15.4,19.0,10.5
2006/3/12,13.1,17.5,7.5
2006/3/13,6.5,7.9,5.1
2006/3/14,9.2,10.8,6.2
2006/3/15,12.8,16.1,9.5
2006/3/16,15.0,17.8,12.1
2006/3/17,13.3,17.0,9.2
2006/3/18,15.2,19.6,9.5
2006/3/19,13.8,16.0,11.4
2006/3/20,11.8,15.3,8.4
2006/3/21,15.3,20.7,8.9
2006/3/22,15.9,17.6,14.5
2006/3/23,15.5,17.5,13.7
2006/3/24,14.4,17.4,12.5
2006/3/25,14.2,18.8,9.3
2006/3/26,13.7,16.6,10.6
2006/3/27,15.8,20.6,11.0
2006/3/28,15.5,20.2,10.7
2006/3/29,10.8,13.1,8.4
2006/3/30,15.5,18.5,13.1
2006/3/31,14.4,17.2,8.1
