É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:55:48

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2012/12/1,5.4,11.0,0.5
2012/12/2,3.6,8.5,-2.4
2012/12/3,6.4,13.2,0.2
2012/12/4,7.3,14.9,2.4
2012/12/5,6.0,11.2,-0.5
2012/12/6,6.6,14.7,0.4
2012/12/7,3.7,12.4,-2.3
2012/12/8,5.0,12.4,1.1
2012/12/9,1.5,6.8,-2.6
2012/12/10,1.8,7.0,-1.9
2012/12/11,2.0,10.3,-4.7
2012/12/12,2.1,10.1,-4.8
2012/12/13,1.4,9.7,-5.1
2012/12/14,0.7,7.2,-4.7
2012/12/15,5.1,9.6,0.5
2012/12/16,8.8,18.7,1.7
2012/12/17,5.9,8.3,3.5
2012/12/18,7.3,13.4,4.2
2012/12/19,3.8,9.2,-1.3
2012/12/20,1.4,8.5,-5.1
2012/12/21,1.9,6.6,-3.8
2012/12/22,2.2,5.8,0.3
2012/12/23,4.0,9.1,-0.7
2012/12/24,3.4,7.4,0.2
2012/12/25,3.4,8.6,-3.5
2012/12/26,4.2,9.1,-1.7
2012/12/27,-0.4,6.0,-5.9
2012/12/28,-0.8,3.0,-4.6
2012/12/29,4.1,9.2,-0.2
2012/12/30,5.2,6.1,3.8
2012/12/31,5.8,10.7,-0.2
2013/1/1,1.8,9.9,-4.3
2013/1/2,4.1,12.7,-3.8
2013/1/3,4.2,7.6,-1.9
2013/1/4,1.3,6.7,-2.6
2013/1/5,-1.3,4.6,-6.7
2013/1/6,-0.4,6.7,-6.4
2013/1/7,0.6,8.1,-5.5
2013/1/8,1.7,9.7,-4.4
2013/1/9,2.3,9.8,-3.5
2013/1/10,2.5,8.9,-2.1
2013/1/11,1.6,8.9,-4.7
2013/1/12,1.7,9.2,-4.6
2013/1/13,3.7,12.0,-4.4
2013/1/14,2.5,6.1,0.2
2013/1/15,3.0,6.6,-1.1
2013/1/16,0.7,4.1,-1.9
2013/1/17,0.4,5.9,-4.5
2013/1/18,1.1,5.1,-3.6
2013/1/19,-0.4,6.7,-6.7
2013/1/20,1.7,10.9,-4.7
2013/1/21,1.3,6.8,-4.9
2013/1/22,3.8,6.9,1.2
2013/1/23,3.9,7.3,-0.5
2013/1/24,4.0,10.4,-0.8
2013/1/25,3.2,10.3,-1.2
2013/1/26,0.7,4.9,-4.0
2013/1/27,1.4,8.0,-4.0
2013/1/28,2.7,8.7,-2.9
2013/1/29,2.2,10.6,-5.0
2013/1/30,3.7,13.1,-3.6
2013/1/31,3.4,11.2,-3.3
2013/2/1,4.7,11.6,-2.8
2013/2/2,10.6,17.8,4.5
2013/2/3,9.9,15.1,6.7
2013/2/4,6.4,8.2,4.4
2013/2/5,7.6,12.5,3.6
2013/2/6,4.0,6.2,2.5
2013/2/7,6.9,13.9,3.0
2013/2/8,2.7,5.3,-1.2
2013/2/9,1.9,7.8,-2.6
2013/2/10,4.6,12.2,-1.6
2013/2/11,3.8,9.8,-2.1
2013/2/12,1.3,6.6,-4.8
2013/2/13,4.5,11.0,0.4
2013/2/14,5.1,12.5,-1.4
2013/2/15,3.8,5.8,1.2
2013/2/16,1.8,5.8,-1.7
2013/2/17,0.1,6.0,-6.4
2013/2/18,0.9,2.7,-1.4
2013/2/19,2.3,3.9,-0.4
2013/2/20,2.5,10.2,-4.1
2013/2/21,3.7,9.2,-1.1
2013/2/22,2.9,10.7,-4.3
2013/2/23,5.2,10.9,0.1
2013/2/24,1.8,6.4,-2.6
2013/2/25,1.7,8.7,-4.8
2013/2/26,2.6,10.1,-5.0
2013/2/27,5.8,12.8,2.0
2013/2/28,7.9,16.6,1.1
2013/3/1,9.1,16.5,3.2
2013/3/2,7.0,10.7,1.7
2013/3/3,4.3,12.2,-2.9
2013/3/4,5.7,12.5,1.5
2013/3/5,6.6,14.8,-0.8
2013/3/6,9.0,20.2,-0.8
2013/3/7,10.4,18.5,1.9
2013/3/8,12.6,22.7,4.7
2013/3/9,17.2,25.5,10.0
2013/3/10,12.5,24.4,7.4
2013/3/11,7.8,15.3,1.7
2013/3/12,9.6,19.0,1.3
2013/3/13,12.0,21.5,2.7
2013/3/14,7.5,12.8,4.4
2013/3/15,7.7,15.2,2.0
2013/3/16,11.1,20.8,2.9
2013/3/17,11.2,19.4,3.4
2013/3/18,15.5,22.7,8.2
2013/3/19,18.4,27.6,12.2
2013/3/20,14.9,22.3,9.9
2013/3/21,11.9,17.8,7.2
2013/3/22,13.2,20.0,6.0
2013/3/23,13.7,19.6,7.8
2013/3/24,12.5,19.5,7.4
2013/3/25,11.9,16.7,7.2
2013/3/26,8.4,14.7,2.5
2013/3/27,11.0,16.7,5.6
2013/3/28,15.6,22.9,10.2
2013/3/29,16.3,24.2,11.2
2013/3/30,11.4,14.7,8.9
2013/3/31,12.1,16.6,9.4
