ダウンロードした時刻：2019/10/10 15:42:01

,小名浜,小名浜,小名浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,5.6,9.6,1.9
2000/12/2,4.8,10.5,-0.1
2000/12/3,8.0,13.0,0.5
2000/12/4,6.4,9.7,0.7
2000/12/5,6.4,13.5,-1.5
2000/12/6,6.4,11.3,3.5
2000/12/7,3.6,8.9,0.0
2000/12/8,5.4,13.7,-2.3
2000/12/9,7.4,14.2,1.6
2000/12/10,9.2,15.1,2.1
2000/12/11,6.9,11.5,1.6
2000/12/12,1.9,5.6,0.0
2000/12/13,4.7,11.0,-1.4
2000/12/14,4.5,9.0,0.3
2000/12/15,7.5,12.0,3.2
2000/12/16,8.8,16.0,2.7
2000/12/17,6.3,9.9,2.4
2000/12/18,7.9,11.3,4.8
2000/12/19,10.8,17.1,7.6
2000/12/20,8.0,10.0,5.0
2000/12/21,8.5,12.8,4.7
2000/12/22,5.7,9.4,3.3
2000/12/23,7.3,12.7,2.9
2000/12/24,7.1,11.6,2.8
2000/12/25,4.5,10.4,-1.3
2000/12/26,1.3,5.9,-1.2
2000/12/27,2.6,7.1,-0.4
2000/12/28,3.4,9.4,-2.7
2000/12/29,3.7,7.7,0.2
2000/12/30,3.5,8.2,-1.8
2000/12/31,8.0,11.2,3.4
2001/1/1,5.4,10.3,1.6
2001/1/2,5.3,12.3,-2.7
2001/1/3,4.2,10.0,-0.3
2001/1/4,1.2,4.1,-1.9
2001/1/5,2.9,7.0,0.1
2001/1/6,1.9,5.8,-1.0
2001/1/7,2.0,6.6,-2.8
2001/1/8,2.2,4.0,0.3
2001/1/9,3.0,5.6,-0.2
2001/1/10,7.1,13.7,3.0
2001/1/11,5.3,9.1,1.0
2001/1/12,2.6,5.7,0.4
2001/1/13,2.1,5.5,-0.6
2001/1/14,-0.3,4.0,-4.3
2001/1/15,-0.9,5.1,-5.7
2001/1/16,0.2,4.8,-5.1
2001/1/17,0.4,4.6,-2.5
2001/1/18,0.6,7.9,-5.7
2001/1/19,0.2,3.9,-1.9
2001/1/20,0.4,3.7,-3.7
2001/1/21,3.7,9.5,0.0
2001/1/22,3.4,6.8,0.3
2001/1/23,2.5,8.1,-1.3
2001/1/24,1.8,7.4,-3.3
2001/1/25,2.6,7.3,-3.0
2001/1/26,3.9,6.3,2.6
2001/1/27,1.8,3.1,0.9
2001/1/28,4.4,10.5,-0.2
2001/1/29,3.5,7.3,-0.2
2001/1/30,3.2,9.5,-3.2
2001/1/31,3.5,7.4,1.1
2001/2/1,4.5,7.9,0.7
2001/2/2,2.7,6.8,-0.4
2001/2/3,1.9,7.6,-2.8
2001/2/4,1.5,4.9,-2.2
2001/2/5,2.9,8.0,-2.2
2001/2/6,3.9,7.1,0.9
2001/2/7,1.2,3.5,0.3
2001/2/8,1.7,6.2,-0.8
2001/2/9,1.4,6.0,-3.0
2001/2/10,4.2,11.6,-2.3
2001/2/11,2.0,7.5,-2.9
2001/2/12,0.4,3.6,-2.6
2001/2/13,1.4,5.4,-2.6
2001/2/14,0.3,3.3,-1.7
2001/2/15,0.8,6.5,-4.7
2001/2/16,2.4,11.6,-4.0
2001/2/17,2.0,7.4,-2.8
2001/2/18,5.4,10.7,-0.9
2001/2/19,5.3,9.7,1.4
2001/2/20,4.3,10.0,0.8
2001/2/21,6.7,13.0,-1.3
2001/2/22,10.8,17.1,5.1
2001/2/23,8.2,14.7,1.5
2001/2/24,2.9,6.5,1.2
2001/2/25,2.0,6.9,-0.6
2001/2/26,2.2,7.0,-1.5
2001/2/27,4.6,11.3,-2.5
2001/2/28,7.1,12.2,0.0
2001/3/1,5.0,10.0,1.2
2001/3/2,3.3,7.9,0.5
2001/3/3,5.8,8.1,1.5
2001/3/4,6.8,11.2,2.5
2001/3/5,5.8,10.1,2.4
2001/3/6,6.7,14.1,1.4
2001/3/7,5.6,11.8,1.5
2001/3/8,3.5,8.9,-0.7
2001/3/9,1.5,4.3,-0.8
2001/3/10,2.1,6.5,-2.4
2001/3/11,2.1,6.8,-1.6
2001/3/12,2.3,5.6,0.2
2001/3/13,2.4,6.6,-1.1
2001/3/14,4.9,11.3,-3.0
2001/3/15,8.6,18.2,2.0
2001/3/16,5.7,10.6,2.8
2001/3/17,7.2,11.4,3.3
2001/3/18,9.7,15.3,6.0
2001/3/19,10.3,17.9,6.0
2001/3/20,9.0,13.1,3.1
2001/3/21,11.8,20.6,5.3
2001/3/22,9.5,12.1,4.8
2001/3/23,9.1,13.9,5.2
2001/3/24,9.5,13.4,2.5
2001/3/25,11.4,14.2,8.2
2001/3/26,10.9,15.3,7.1
2001/3/27,8.7,14.7,5.5
2001/3/28,6.8,8.8,5.6
2001/3/29,3.5,6.0,0.4
2001/3/30,5.0,11.2,0.9
2001/3/31,2.8,5.5,0.5
