ダウンロードした時刻：2019/10/10 16:12:46

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,9.5,13.5,6.2
2001/12/2,10.8,14.6,7.6
2001/12/3,11.5,14.4,8.9
2001/12/4,10.5,13.0,7.3
2001/12/5,10.3,14.2,6.7
2001/12/6,9.6,11.4,7.3
2001/12/7,8.1,10.5,6.5
2001/12/8,8.9,12.5,6.0
2001/12/9,9.1,11.6,7.0
2001/12/10,7.5,9.2,5.6
2001/12/11,6.9,,4.9
2001/12/12,7.7,11.5,4.9
2001/12/13,11.2,18.1,8.0
2001/12/14,5.3,8.1,3.8
2001/12/15,4.6,7.4,3.3
2001/12/16,5.5,9.0,2.2
2001/12/17,6.7,9.3,3.7
2001/12/18,7.1,10.5,3.8
2001/12/19,6.6,10.1,3.3
2001/12/20,7.1,10.5,4.1
2001/12/21,6.3,7.7,3.7
2001/12/22,4.7,7.6,2.4
2001/12/23,5.1,8.5,1.7
2001/12/24,6.0,9.3,3.2
2001/12/25,5.1,7.5,2.8
2001/12/26,6.2,8.8,3.7
2001/12/27,6.9,10.5,4.6
2001/12/28,6.0,10.0,3.0
2001/12/29,6.0,9.9,2.6
2001/12/30,5.4,7.9,3.0
2001/12/31,5.3,8.9,2.6
2002/1/1,7.0,12.8,4.2
2002/1/2,1.9,5.3,-1.3
2002/1/3,2.1,4.9,-0.8
2002/1/4,7.7,11.0,3.8
2002/1/5,7.1,10.1,2.8
2002/1/6,4.2,7.8,1.2
2002/1/7,7.2,13.0,2.7
2002/1/8,4.0,6.7,1.2
2002/1/9,4.8,7.7,2.4
2002/1/10,7.0,10.0,2.7
2002/1/11,9.8,13.0,7.1
2002/1/12,9.5,13.8,4.9
2002/1/13,9.7,13.2,7.4
2002/1/14,9.1,11.3,7.3
2002/1/15,10.2,11.7,9.1
2002/1/16,11.5,14.4,9.0
2002/1/17,7.5,9.7,4.5
2002/1/18,5.1,6.8,3.9
2002/1/19,5.1,8.2,3.3
2002/1/20,6.5,9.3,2.9
2002/1/21,8.0,9.6,5.2
2002/1/22,3.6,5.6,1.1
2002/1/23,2.0,5.6,0.0
2002/1/24,2.8,7.0,-0.5
2002/1/25,4.3,8.4,0.7
2002/1/26,4.9,7.1,3.1
2002/1/27,6.7,10.0,4.0
2002/1/28,5.6,8.5,2.4
2002/1/29,2.8,6.5,0.7
2002/1/30,3.5,8.1,-0.1
2002/1/31,3.2,7.0,-0.8
2002/2/1,3.9,8.7,0.1
2002/2/2,4.1,6.1,2.3
2002/2/3,5.5,8.4,3.0
2002/2/4,5.8,9.4,2.2
2002/2/5,6.0,7.9,4.7
2002/2/6,6.8,10.5,3.4
2002/2/7,8.1,12.6,4.1
2002/2/8,6.9,11.2,2.5
2002/2/9,6.6,10.9,2.8
2002/2/10,3.7,7.5,1.8
2002/2/11,2.3,6.1,0.2
2002/2/12,3.6,8.0,-0.3
2002/2/13,4.5,8.7,1.1
2002/2/14,4.1,8.4,0.9
2002/2/15,3.9,7.9,-0.1
2002/2/16,5.1,8.6,0.9
2002/2/17,6.4,8.0,5.2
2002/2/18,6.0,10.4,1.9
2002/2/19,3.5,6.3,1.6
2002/2/20,6.0,10.9,1.9
2002/2/21,8.2,12.4,4.3
2002/2/22,9.6,12.3,7.4
2002/2/23,8.4,12.2,4.5
2002/2/24,6.9,11.0,3.6
2002/2/25,5.7,9.3,0.8
2002/2/26,8.3,11.4,5.7
2002/2/27,8.5,10.6,7.4
2002/2/28,8.9,10.0,7.8
2002/3/1,10.5,14.0,7.8
2002/3/2,9.1,12.5,5.4
2002/3/3,5.7,9.4,3.6
2002/3/4,6.4,11.0,2.3
2002/3/5,8.3,15.8,6.0
2002/3/6,9.4,13.5,5.4
2002/3/7,6.3,10.0,2.4
2002/3/8,5.1,10.2,0.7
2002/3/9,7.9,13.3,3.0
2002/3/10,10.9,16.9,5.4
2002/3/11,10.4,14.4,7.3
2002/3/12,11.3,17.0,6.2
2002/3/13,9.4,13.9,6.3
2002/3/14,11.6,17.6,5.8
2002/3/15,14.5,18.7,10.6
2002/3/16,11.0,14.5,8.2
2002/3/17,12.7,18.2,7.8
2002/3/18,11.4,17.4,6.7
2002/3/19,11.8,17.3,6.4
2002/3/20,12.3,16.2,8.7
2002/3/21,16.1,18.8,13.2
2002/3/22,10.5,15.0,8.1
2002/3/23,8.2,11.8,5.0
2002/3/24,7.8,12.9,4.8
2002/3/25,7.6,11.1,3.5
2002/3/26,11.9,15.6,7.6
2002/3/27,11.0,15.1,5.7
2002/3/28,8.9,13.1,3.8
2002/3/29,12.6,17.7,9.2
2002/3/30,13.2,18.0,10.4
2002/3/31,13.1,18.8,8.4
