ダウンロードした時刻：2019/10/10 16:18:23

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,3.2,6.0,0.7
1996/12/2,6.2,9.9,3.3
1996/12/3,6.9,12.1,2.3
1996/12/4,9.4,16.9,1.8
1996/12/5,15.0,17.8,9.1
1996/12/6,5.4,9.3,2.6
1996/12/7,3.8,9.3,-0.2
1996/12/8,6.0,9.9,2.5
1996/12/9,8.5,14.1,3.7
1996/12/10,8.1,9.7,5.5
1996/12/11,10.2,15.2,7.2
1996/12/12,9.6,15.2,4.7
1996/12/13,9.1,13.7,4.5
1996/12/14,10.7,16.4,6.5
1996/12/15,10.3,15.0,6.8
1996/12/16,10.0,15.3,3.8
1996/12/17,11.8,14.0,9.7
1996/12/18,11.1,13.6,7.5
1996/12/19,6.4,9.1,4.6
1996/12/20,7.0,10.5,3.7
1996/12/21,8.1,13.4,3.9
1996/12/22,9.2,16.3,1.8
1996/12/23,7.0,11.2,2.8
1996/12/24,5.6,11.3,0.5
1996/12/25,8.3,13.8,2.0
1996/12/26,9.5,13.6,6.3
1996/12/27,7.7,12.0,5.0
1996/12/28,9.0,14.7,3.1
1996/12/29,8.0,12.1,4.7
1996/12/30,8.2,14.1,2.4
1996/12/31,9.6,14.5,4.8
1997/1/1,12.0,19.6,4.3
1997/1/2,7.2,11.6,5.0
1997/1/3,6.7,9.3,5.0
1997/1/4,6.4,9.5,3.7
1997/1/5,3.1,7.5,0.5
1997/1/6,6.0,7.9,4.2
1997/1/7,6.1,10.2,3.2
1997/1/8,5.1,8.1,3.3
1997/1/9,5.4,9.0,2.7
1997/1/10,5.2,10.2,1.2
1997/1/11,6.3,10.1,2.3
1997/1/12,6.1,10.9,3.0
1997/1/13,5.3,11.2,1.2
1997/1/14,7.2,13.3,0.6
1997/1/15,7.7,10.8,5.1
1997/1/16,6.0,11.2,1.4
1997/1/17,7.7,12.7,4.5
1997/1/18,8.3,12.7,4.0
1997/1/19,7.0,10.6,3.0
1997/1/20,7.3,14.0,1.8
1997/1/21,4.8,11.6,-1.6
1997/1/22,1.8,5.3,-2.5
1997/1/23,5.9,9.1,3.0
1997/1/24,4.4,5.7,2.9
1997/1/25,5.6,8.4,3.5
1997/1/26,6.9,11.3,2.8
1997/1/27,7.1,12.4,0.7
1997/1/28,7.5,12.3,3.2
1997/1/29,4.2,7.0,2.2
1997/1/30,4.4,8.0,1.3
1997/1/31,3.2,5.6,1.1
1997/2/1,5.5,9.9,1.7
1997/2/2,3.3,6.5,0.9
1997/2/3,4.4,9.0,1.4
1997/2/4,4.6,7.8,1.8
1997/2/5,5.8,9.2,2.8
1997/2/6,6.7,10.6,3.3
1997/2/7,5.8,8.5,2.9
1997/2/8,6.7,10.1,4.1
1997/2/9,8.3,13.7,4.4
1997/2/10,7.7,11.6,2.7
1997/2/11,5.5,9.1,2.4
1997/2/12,5.1,8.1,3.2
1997/2/13,5.0,8.7,2.3
1997/2/14,5.5,10.7,0.8
1997/2/15,6.8,12.4,1.3
1997/2/16,7.8,12.5,5.3
1997/2/17,6.3,9.2,4.2
1997/2/18,5.5,9.2,2.9
1997/2/19,4.3,7.7,1.4
1997/2/20,5.6,11.6,-1.0
1997/2/21,6.3,10.9,1.6
1997/2/22,2.8,6.2,0.5
1997/2/23,3.7,8.8,-0.6
1997/2/24,6.3,13.8,0.0
1997/2/25,8.6,13.1,2.2
1997/2/26,9.6,11.1,7.5
1997/2/27,8.9,12.8,5.5
1997/2/28,11.5,18.4,3.0
1997/3/1,11.9,16.2,6.4
1997/3/2,7.6,11.0,2.9
1997/3/3,7.4,10.6,4.7
1997/3/4,9.0,13.2,4.9
1997/3/5,9.2,14.2,4.5
1997/3/6,12.4,19.8,3.4
1997/3/7,16.5,23.4,11.7
1997/3/8,12.7,17.8,7.5
1997/3/9,11.4,18.0,5.4
1997/3/10,9.1,12.5,4.3
1997/3/11,11.4,15.7,6.7
1997/3/12,8.6,12.6,4.3
1997/3/13,10.2,13.4,7.0
1997/3/14,12.5,14.5,10.9
1997/3/15,10.9,12.7,9.0
1997/3/16,9.9,13.5,7.8
1997/3/17,8.9,12.6,5.9
1997/3/18,9.0,14.2,3.7
1997/3/19,8.9,10.1,7.5
1997/3/20,8.6,10.6,6.2
1997/3/21,8.7,10.3,6.8
1997/3/22,12.0,16.4,9.1
1997/3/23,10.3,15.9,5.2
1997/3/24,6.7,10.6,3.9
1997/3/25,8.8,14.9,1.1
1997/3/26,11.0,15.7,6.0
1997/3/27,11.2,15.8,7.8
1997/3/28,11.3,15.3,5.2
1997/3/29,13.5,16.2,11.2
1997/3/30,14.6,18.8,8.6
1997/3/31,10.8,16.2,4.8
