ダウンロードした時刻：2019/10/10 16:11:43

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,14.2,19.0,10.5
1991/12/2,12.8,16.1,8.9
1991/12/3,11.2,15.9,6.2
1991/12/4,11.7,16.2,7.7
1991/12/5,11.9,17.6,6.4
1991/12/6,14.7,18.2,11.8
1991/12/7,13.7,18.1,10.1
1991/12/8,12.6,15.4,10.4
1991/12/9,9.2,11.1,7.4
1991/12/10,9.4,12.6,5.5
1991/12/11,10.5,14.4,7.2
1991/12/12,6.8,9.3,3.3
1991/12/13,5.9,10.4,1.8
1991/12/14,7.2,12.0,2.1
1991/12/15,6.8,9.9,3.5
1991/12/16,10.0,16.6,4.4
1991/12/17,14.0,18.1,10.8
1991/12/18,12.4,15.5,8.6
1991/12/19,8.3,10.6,6.3
1991/12/20,8.1,11.7,5.2
1991/12/21,9.0,15.5,3.5
1991/12/22,11.7,16.6,8.3
1991/12/23,13.3,17.0,11.9
1991/12/24,14.1,16.9,11.8
1991/12/25,9.4,13.9,7.2
1991/12/26,8.3,10.8,6.6
1991/12/27,5.9,7.0,4.7
1991/12/28,7.1,10.0,3.3
1991/12/29,3.7,6.3,2.2
1991/12/30,4.4,6.6,1.5
1991/12/31,5.8,10.1,0.9
1992/1/1,8.2,12.3,5.4
1992/1/2,7.1,11.9,3.4
1992/1/3,8.3,12.7,3.6
1992/1/4,7.1,9.5,3.9
1992/1/5,6.8,10.4,1.6
1992/1/6,7.4,8.5,6.7
1992/1/7,11.1,14.2,7.8
1992/1/8,10.5,13.7,6.9
1992/1/9,8.5,10.2,6.6
1992/1/10,7.9,10.0,5.5
1992/1/11,7.2,11.2,3.3
1992/1/12,7.6,12.8,3.3
1992/1/13,8.3,12.8,3.8
1992/1/14,6.6,9.3,2.7
1992/1/15,4.3,7.9,2.3
1992/1/16,4.5,9.9,-0.3
1992/1/17,6.7,10.9,3.2
1992/1/18,4.9,7.9,3.3
1992/1/19,4.6,7.3,3.4
1992/1/20,5.0,7.7,2.1
1992/1/21,5.4,9.0,1.5
1992/1/22,7.3,11.4,3.6
1992/1/23,6.3,9.6,3.6
1992/1/24,5.9,9.4,0.8
1992/1/25,8.2,10.8,4.4
1992/1/26,8.7,14.4,3.9
1992/1/27,8.7,13.1,3.7
1992/1/28,9.3,13.1,3.4
1992/1/29,10.8,14.0,5.7
1992/1/30,8.9,11.0,7.5
1992/1/31,7.1,10.2,4.2
1992/2/1,3.9,5.6,1.8
1992/2/2,4.9,8.1,2.2
1992/2/3,5.3,7.2,3.4
1992/2/4,8.8,11.5,5.9
1992/2/5,6.0,9.4,3.8
1992/2/6,6.1,11.1,0.3
1992/2/7,7.6,10.9,4.9
1992/2/8,5.8,9.1,3.9
1992/2/9,5.2,9.1,2.6
1992/2/10,5.7,9.7,0.8
1992/2/11,5.3,8.1,3.1
1992/2/12,6.0,10.5,1.1
1992/2/13,8.0,12.3,2.8
1992/2/14,7.4,9.7,4.6
1992/2/15,6.8,10.3,2.7
1992/2/16,7.1,11.9,4.0
1992/2/17,5.9,9.1,3.3
1992/2/18,7.1,10.7,2.1
1992/2/19,6.9,10.2,4.0
1992/2/20,5.2,7.8,3.1
1992/2/21,4.0,7.3,1.9
1992/2/22,3.4,6.5,0.5
1992/2/23,6.0,9.8,0.9
1992/2/24,5.4,8.2,3.5
1992/2/25,4.7,7.2,3.4
1992/2/26,6.3,10.2,3.3
1992/2/27,8.8,14.9,1.8
1992/2/28,11.4,16.9,5.0
1992/2/29,13.7,16.0,11.4
1992/3/1,14.4,16.8,9.9
1992/3/2,8.3,10.9,5.3
1992/3/3,6.6,10.2,4.8
1992/3/4,8.6,13.6,4.8
1992/3/5,10.0,12.3,7.8
1992/3/6,8.4,11.9,5.2
1992/3/7,6.8,10.6,4.2
1992/3/8,7.8,12.6,1.8
1992/3/9,10.4,16.2,5.0
1992/3/10,11.9,16.6,8.8
1992/3/11,11.1,15.5,6.2
1992/3/12,12.3,18.9,6.0
1992/3/13,13.1,17.8,7.3
1992/3/14,14.7,21.3,7.4
1992/3/15,14.1,16.3,12.1
1992/3/16,10.6,12.5,7.9
1992/3/17,7.2,10.4,3.3
1992/3/18,8.7,11.5,7.0
1992/3/19,10.1,13.6,5.6
1992/3/20,10.2,13.5,7.6
1992/3/21,7.4,10.2,5.5
1992/3/22,7.6,12.5,4.7
1992/3/23,8.8,12.8,3.9
1992/3/24,12.1,15.4,10.2
1992/3/25,12.8,16.7,10.0
1992/3/26,10.7,12.2,9.7
1992/3/27,9.3,11.5,8.4
1992/3/28,11.2,15.7,8.1
1992/3/29,13.2,15.1,11.6
1992/3/30,13.4,17.6,9.5
1992/3/31,13.6,20.4,7.7
