ダウンロードした時刻：2019/10/10 16:21:47

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/12/1,13.6,21.6,7.9
2010/12/2,12.3,14.8,8.1
2010/12/3,10.6,14.4,4.2
2010/12/4,7.5,14.0,1.7
2010/12/5,9.0,17.0,3.2
2010/12/6,11.0,16.9,4.2
2010/12/7,9.0,11.3,7.1
2010/12/8,7.4,11.5,5.0
2010/12/9,6.3,9.7,1.9
2010/12/10,6.0,11.4,-0.6
2010/12/11,9.8,14.7,4.6
2010/12/12,8.1,12.7,1.9
2010/12/13,11.7,15.5,8.0
2010/12/14,12.7,16.2,8.1
2010/12/15,5.0,8.3,3.2
2010/12/16,3.6,5.4,0.8
2010/12/17,4.4,7.0,1.3
2010/12/18,6.2,12.4,2.1
2010/12/19,7.8,13.6,0.7
2010/12/20,12.5,17.8,9.0
2010/12/21,10.8,13.2,8.0
2010/12/22,10.4,15.8,5.4
2010/12/23,9.4,15.2,4.2
2010/12/24,5.7,8.5,2.5
2010/12/25,2.7,4.7,1.9
2010/12/26,2.1,4.3,0.3
2010/12/27,4.4,9.7,0.8
2010/12/28,7.7,14.9,4.3
2010/12/29,5.7,8.5,2.1
2010/12/30,3.1,7.2,0.1
2010/12/31,1.4,3.6,-0.5
2011/1/1,2.4,5.8,-0.5
2011/1/2,4.2,10.1,-0.1
2011/1/3,4.1,7.6,1.0
2011/1/4,3.9,7.3,0.2
2011/1/5,4.0,6.7,0.2
2011/1/6,3.5,6.7,1.6
2011/1/7,2.3,7.4,-1.8
2011/1/8,3.2,9.3,-2.4
2011/1/9,5.1,8.1,2.9
2011/1/10,2.2,4.4,0.3
2011/1/11,2.6,5.5,-0.5
2011/1/12,3.6,6.5,1.6
2011/1/13,2.5,6.4,-0.8
2011/1/14,3.0,8.4,-2.7
2011/1/15,2.5,6.8,-1.8
2011/1/16,-0.2,3.1,-3.0
2011/1/17,1.0,7.1,-4.0
2011/1/18,1.5,5.5,-2.4
2011/1/19,3.2,5.9,0.5
2011/1/20,3.2,6.5,0.4
2011/1/21,3.0,7.3,-0.6
2011/1/22,2.6,9.4,-2.2
2011/1/23,3.2,8.6,-2.1
2011/1/24,3.0,5.5,1.2
2011/1/25,3.0,5.5,0.8
2011/1/26,2.5,5.6,-1.3
2011/1/27,1.6,7.9,-3.3
2011/1/28,3.6,9.4,-0.7
2011/1/29,1.9,5.2,-1.3
2011/1/30,0.0,2.8,-2.3
2011/1/31,0.4,5.5,-3.3
2011/2/1,3.3,10.1,-2.2
2011/2/2,3.8,8.9,0.2
2011/2/3,4.7,11.6,-1.5
2011/2/4,6.1,14.3,-0.4
2011/2/5,7.2,14.5,2.3
2011/2/6,5.9,12.5,-0.2
2011/2/7,7.1,14.3,0.7
2011/2/8,7.2,11.6,1.2
2011/2/9,8.8,12.1,4.2
2011/2/10,5.7,9.1,1.6
2011/2/11,5.7,8.4,3.3
2011/2/12,2.4,5.4,-0.5
2011/2/13,3.7,8.1,1.0
2011/2/14,3.8,6.4,2.4
2011/2/15,5.8,10.6,1.5
2011/2/16,6.2,13.3,-0.4
2011/2/17,10.1,12.9,7.0
2011/2/18,8.3,12.0,4.4
2011/2/19,7.1,13.4,1.4
2011/2/20,9.1,15.5,6.0
2011/2/21,8.9,15.6,4.7
2011/2/22,9.3,17.8,2.7
2011/2/23,11.4,19.0,4.8
2011/2/24,13.6,21.3,6.8
2011/2/25,13.8,21.6,8.5
2011/2/26,12.2,20.0,5.9
2011/2/27,13.7,19.5,8.6
2011/2/28,13.1,15.7,9.7
2011/3/1,9.5,11.3,8.3
2011/3/2,6.9,10.4,1.8
2011/3/3,3.7,8.7,1.0
2011/3/4,4.6,10.2,-0.7
2011/3/5,6.0,12.9,-1.5
2011/3/6,7.9,9.0,6.8
2011/3/7,7.8,11.9,2.7
2011/3/8,6.4,11.4,2.2
2011/3/9,6.1,11.2,0.9
2011/3/10,5.5,11.0,0.1
2011/3/11,6.4,12.8,0.2
2011/3/12,8.1,14.9,2.4
2011/3/13,12.2,21.3,4.5
2011/3/14,13.1,21.0,8.0
2011/3/15,11.0,16.0,6.3
2011/3/16,5.6,8.5,2.7
2011/3/17,4.9,9.9,0.7
2011/3/18,7.5,14.6,-0.5
2011/3/19,12.4,17.4,7.1
2011/3/20,12.8,15.3,9.6
2011/3/21,11.6,13.5,9.9
2011/3/22,9.4,13.8,5.7
2011/3/23,7.1,12.1,3.7
2011/3/24,7.0,13.5,2.5
2011/3/25,6.9,10.8,2.4
2011/3/26,6.4,11.6,2.7
2011/3/27,6.6,13.7,0.2
2011/3/28,7.6,15.7,0.8
2011/3/29,7.7,14.9,3.2
2011/3/30,9.5,16.5,3.7
2011/3/31,11.2,19.7,3.6
