ダウンロードした時刻：2019/10/10 16:00:00

,尾鷲,尾鷲,尾鷲
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,7.5,12.6,2.4
1995/12/2,8.2,13.7,3.9
1995/12/3,8.7,14.5,3.7
1995/12/4,10.3,14.6,6.8
1995/12/5,7.0,12.4,2.2
1995/12/6,7.4,10.7,4.6
1995/12/7,6.2,12.4,1.4
1995/12/8,6.7,12.2,0.9
1995/12/9,6.3,11.7,2.2
1995/12/10,6.5,14.4,0.4
1995/12/11,9.4,15.8,2.3
1995/12/12,9.5,16.3,4.6
1995/12/13,7.6,14.8,1.0
1995/12/14,9.6,15.1,4.0
1995/12/15,11.5,16.5,6.8
1995/12/16,8.3,12.0,3.7
1995/12/17,7.7,12.3,2.4
1995/12/18,6.4,12.1,0.5
1995/12/19,8.0,13.3,3.0
1995/12/20,6.7,13.4,1.3
1995/12/21,8.0,13.3,2.9
1995/12/22,6.0,12.2,0.6
1995/12/23,7.1,14.3,2.0
1995/12/24,7.1,15.7,1.5
1995/12/25,2.6,4.3,1.2
1995/12/26,1.9,4.9,-1.2
1995/12/27,3.4,8.4,-0.6
1995/12/28,4.2,9.3,-1.8
1995/12/29,6.2,12.5,0.5
1995/12/30,3.9,10.1,-0.6
1995/12/31,4.5,11.3,-1.0
1996/1/1,6.9,13.2,1.0
1996/1/2,5.6,12.7,-0.6
1996/1/3,8.2,13.3,2.8
1996/1/4,5.0,9.6,0.4
1996/1/5,5.2,12.5,-0.9
1996/1/6,8.1,14.6,2.4
1996/1/7,8.9,15.0,3.3
1996/1/8,9.0,14.3,3.3
1996/1/9,3.0,4.5,1.3
1996/1/10,5.4,7.6,3.5
1996/1/11,6.7,10.9,1.6
1996/1/12,5.8,12.0,0.6
1996/1/13,6.5,13.6,-0.5
1996/1/14,9.7,11.7,6.6
1996/1/15,13.2,17.7,9.3
1996/1/16,13.7,18.2,8.2
1996/1/17,7.3,11.3,2.5
1996/1/18,6.0,9.8,1.8
1996/1/19,5.2,8.4,1.4
1996/1/20,7.5,12.6,3.6
1996/1/21,6.8,12.4,1.5
1996/1/22,5.7,7.2,3.1
1996/1/23,6.6,11.0,2.5
1996/1/24,5.5,8.6,1.7
1996/1/25,4.6,8.2,-1.0
1996/1/26,3.6,7.8,-0.1
1996/1/27,2.7,9.3,-2.5
1996/1/28,4.9,10.3,-1.1
1996/1/29,6.2,11.5,0.8
1996/1/30,5.0,8.3,1.9
1996/1/31,4.0,7.8,1.0
1996/2/1,3.5,5.8,1.0
1996/2/2,1.0,3.3,-1.5
1996/2/3,2.6,8.9,-3.1
1996/2/4,3.8,10.0,-1.8
1996/2/5,6.9,13.8,-0.1
1996/2/6,2.9,5.4,1.6
1996/2/7,3.1,9.1,-2.1
1996/2/8,5.5,11.3,-1.2
1996/2/9,7.1,13.9,2.9
1996/2/10,2.6,7.7,-0.7
1996/2/11,2.8,9.5,-2.7
1996/2/12,6.2,12.2,1.0
1996/2/13,8.9,13.6,3.8
1996/2/14,11.3,17.1,6.0
1996/2/15,13.3,20.5,5.9
1996/2/16,8.0,13.1,3.3
1996/2/17,3.8,5.8,2.2
1996/2/18,4.8,8.5,0.8
1996/2/19,3.4,9.3,-0.6
1996/2/20,3.2,7.4,-0.9
1996/2/21,4.6,10.1,-0.5
1996/2/22,2.9,8.5,-2.5
1996/2/23,4.8,10.4,0.0
1996/2/24,4.5,10.4,-0.9
1996/2/25,6.1,9.3,2.7
1996/2/26,8.2,13.3,2.3
1996/2/27,7.9,11.5,5.0
1996/2/28,6.7,12.0,0.8
1996/2/29,7.3,12.0,1.0
1996/3/1,10.4,16.7,7.2
1996/3/2,6.7,11.3,2.7
1996/3/3,5.4,11.2,0.6
1996/3/4,6.8,13.4,0.5
1996/3/5,3.8,7.2,-0.1
1996/3/6,4.7,10.7,-0.2
1996/3/7,5.5,9.5,0.8
1996/3/8,8.5,11.0,4.8
1996/3/9,7.6,11.2,2.8
1996/3/10,5.8,12.2,0.0
1996/3/11,7.5,13.7,2.4
1996/3/12,5.6,10.8,2.8
1996/3/13,6.6,10.3,2.2
1996/3/14,9.5,15.8,2.2
1996/3/15,10.3,17.9,8.2
1996/3/16,11.4,17.1,4.7
1996/3/17,13.0,19.8,9.5
1996/3/18,10.5,17.1,4.1
1996/3/19,7.2,12.9,0.8
1996/3/20,8.2,11.7,5.4
1996/3/21,10.8,14.7,6.2
1996/3/22,14.2,22.9,8.4
1996/3/23,9.9,15.4,4.8
1996/3/24,8.3,10.4,4.2
1996/3/25,11.1,15.8,7.8
1996/3/26,10.9,16.4,4.4
1996/3/27,11.2,14.6,6.7
1996/3/28,13.8,18.3,8.6
1996/3/29,11.2,13.2,10.1
1996/3/30,16.3,21.5,10.9
1996/3/31,15.7,20.7,11.1
