ダウンロードした時刻：2019/10/10 16:24:33

,延岡,延岡,延岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,8.1,16.3,1.0
1985/12/2,8.1,15.7,2.4
1985/12/3,7.5,14.9,1.5
1985/12/4,11.4,16.8,6.6
1985/12/5,11.2,18.6,6.2
1985/12/6,8.9,10.6,6.7
1985/12/7,11.8,17.1,6.8
1985/12/8,11.1,17.1,6.9
1985/12/9,4.7,8.5,1.4
1985/12/10,3.7,9.6,-1.9
1985/12/11,4.9,10.5,0.2
1985/12/12,4.2,9.7,-1.0
1985/12/13,6.2,11.5,2.3
1985/12/14,6.9,11.6,4.1
1985/12/15,2.9,7.3,-1.0
1985/12/16,1.6,6.9,-3.0
1985/12/17,1.9,6.6,-2.3
1985/12/18,3.0,10.7,-3.6
1985/12/19,5.2,9.6,0.6
1985/12/20,4.1,10.6,-2.4
1985/12/21,5.7,14.0,-1.1
1985/12/22,8.6,10.6,6.9
1985/12/23,6.2,10.9,2.6
1985/12/24,4.1,12.8,-2.1
1985/12/25,5.7,15.1,-1.1
1985/12/26,5.8,14.3,-0.3
1985/12/27,7.2,15.3,0.7
1985/12/28,6.7,15.4,0.7
1985/12/29,9.7,13.6,4.5
1985/12/30,12.8,15.4,11.1
1985/12/31,10.1,13.7,7.0
1986/1/1,5.4,7.2,3.8
1986/1/2,3.3,8.1,-2.2
1986/1/3,3.7,10.0,-4.4
1986/1/4,5.5,9.5,1.2
1986/1/5,0.1,3.0,-1.8
1986/1/6,2.8,6.8,-0.3
1986/1/7,4.0,12.4,-2.3
1986/1/8,4.0,9.0,0.0
1986/1/9,3.8,7.5,1.0
1986/1/10,2.9,7.2,-1.5
1986/1/11,2.4,7.9,-2.5
1986/1/12,1.8,9.8,-5.6
1986/1/13,4.4,12.1,-1.2
1986/1/14,3.8,12.6,-2.4
1986/1/15,5.5,10.9,0.6
1986/1/16,7.9,14.5,3.2
1986/1/17,7.6,15.9,0.3
1986/1/18,6.3,10.7,4.5
1986/1/19,6.5,8.4,4.9
1986/1/20,6.4,15.5,-1.0
1986/1/21,7.1,15.3,-0.1
1986/1/22,5.1,8.8,1.8
1986/1/23,5.5,9.9,2.2
1986/1/24,6.4,12.0,1.0
1986/1/25,3.6,8.3,-0.9
1986/1/26,3.3,8.1,-1.6
1986/1/27,3.9,8.1,0.4
1986/1/28,4.4,12.2,-0.9
1986/1/29,4.2,11.8,-1.8
1986/1/30,5.6,10.1,1.4
1986/1/31,9.1,15.9,5.1
1986/2/1,6.5,11.8,2.7
1986/2/2,5.7,12.5,1.7
1986/2/3,5.1,12.3,-1.2
1986/2/4,3.1,8.7,-2.1
1986/2/5,3.8,10.9,-1.9
1986/2/6,3.6,9.5,-2.3
1986/2/7,3.1,10.6,-3.5
1986/2/8,2.9,7.7,-1.0
1986/2/9,4.3,11.7,-2.1
1986/2/10,4.4,9.9,-1.8
1986/2/11,5.1,11.6,-0.3
1986/2/12,5.6,12.8,-0.7
1986/2/13,6.6,14.0,-0.2
1986/2/14,11.4,20.9,5.7
1986/2/15,7.3,11.3,2.7
1986/2/16,3.7,10.1,-2.4
1986/2/17,3.9,9.7,-1.8
1986/2/18,8.9,17.6,3.8
1986/2/19,8.0,15.6,1.4
1986/2/20,6.4,14.0,0.5
1986/2/21,6.0,12.4,0.3
1986/2/22,5.3,12.0,-0.9
1986/2/23,6.0,13.0,0.5
1986/2/24,3.1,9.5,-3.1
1986/2/25,2.7,11.1,-5.5
1986/2/26,6.6,14.5,-0.5
1986/2/27,4.0,7.9,1.2
1986/2/28,3.3,9.2,-0.9
1986/3/1,3.3,10.0,-2.9
1986/3/2,3.9,9.0,0.8
1986/3/3,5.8,12.8,-0.7
1986/3/4,6.2,13.1,-1.8
1986/3/5,12.1,19.7,3.8
1986/3/6,6.8,15.3,-1.3
1986/3/7,8.0,16.4,1.6
1986/3/8,9.8,18.4,2.1
1986/3/9,12.1,20.6,4.4
1986/3/10,12.8,20.2,10.1
1986/3/11,9.9,14.9,4.7
1986/3/12,9.0,16.3,3.0
1986/3/13,11.1,17.8,4.2
1986/3/14,12.7,15.5,11.4
1986/3/15,12.9,14.6,11.4
1986/3/16,11.9,16.2,6.6
1986/3/17,9.0,16.1,5.2
1986/3/18,9.3,13.5,5.5
1986/3/19,11.8,15.4,8.3
1986/3/20,10.3,16.7,5.9
1986/3/21,10.3,15.7,6.1
1986/3/22,7.4,8.6,6.0
1986/3/23,7.5,12.1,2.5
1986/3/24,7.5,15.3,0.6
1986/3/25,8.0,16.0,0.1
1986/3/26,10.1,17.2,3.6
1986/3/27,10.4,13.9,7.2
1986/3/28,14.2,16.1,11.9
1986/3/29,14.4,19.5,10.8
1986/3/30,14.2,19.9,10.8
1986/3/31,12.9,19.7,8.1
