ダウンロードした時刻：2019/10/10 15:38:23

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,16.2,19.0,13.0
1990/12/2,10.8,13.3,8.1
1990/12/3,6.7,9.8,4.9
1990/12/4,7.4,8.8,5.9
1990/12/5,8.0,9.6,5.6
1990/12/6,9.5,14.4,5.8
1990/12/7,11.7,14.9,7.6
1990/12/8,12.0,14.3,9.8
1990/12/9,12.3,16.9,9.4
1990/12/10,10.9,14.5,8.7
1990/12/11,7.5,10.9,3.7
1990/12/12,6.9,9.1,5.4
1990/12/13,7.0,9.1,5.4
1990/12/14,7.3,11.7,1.6
1990/12/15,4.5,8.7,3.3
1990/12/16,3.1,6.5,0.4
1990/12/17,3.0,5.1,1.0
1990/12/18,3.7,5.8,0.4
1990/12/19,5.4,8.0,4.6
1990/12/20,5.0,7.4,3.3
1990/12/21,7.3,13.2,3.7
1990/12/22,8.7,14.8,5.0
1990/12/23,5.1,8.5,2.3
1990/12/24,3.4,5.1,1.6
1990/12/25,4.3,6.1,0.3
1990/12/26,4.8,10.7,-0.1
1990/12/27,4.0,7.3,0.5
1990/12/28,3.8,5.5,1.4
1990/12/29,3.6,6.1,1.8
1990/12/30,4.9,7.5,2.3
1990/12/31,7.0,8.8,5.5
1991/1/1,6.9,9.7,5.0
1991/1/2,6.4,8.3,3.3
1991/1/3,0.2,3.4,-1.7
1991/1/4,0.0,3.2,-2.0
1991/1/5,1.5,2.5,0.1
1991/1/6,0.9,2.6,-0.6
1991/1/7,2.0,4.2,-1.3
1991/1/8,1.4,3.2,-0.4
1991/1/9,1.9,4.2,-2.5
1991/1/10,3.7,4.9,1.7
1991/1/11,3.2,3.9,1.7
1991/1/12,1.9,4.6,-2.3
1991/1/13,0.3,5.3,-3.7
1991/1/14,2.6,5.3,0.1
1991/1/15,1.8,3.0,0.3
1991/1/16,1.6,3.2,-1.5
1991/1/17,2.0,6.3,-2.4
1991/1/18,0.2,2.9,-2.5
1991/1/19,0.8,5.0,-3.0
1991/1/20,4.0,8.2,0.7
1991/1/21,4.0,7.4,1.5
1991/1/22,2.7,4.1,0.7
1991/1/23,0.1,2.0,-2.0
1991/1/24,2.6,4.7,0.5
1991/1/25,4.3,8.5,0.2
1991/1/26,3.5,4.3,2.4
1991/1/27,1.9,3.8,-0.3
1991/1/28,-0.2,2.8,-4.0
1991/1/29,-0.1,1.5,-2.3
1991/1/30,1.6,2.6,-0.4
1991/1/31,3.2,5.3,1.1
1991/2/1,1.8,3.7,-0.8
1991/2/2,0.5,2.8,-1.7
1991/2/3,1.9,3.6,-0.3
1991/2/4,1.0,3.9,-0.8
1991/2/5,1.1,3.0,-1.4
1991/2/6,2.1,3.9,0.3
1991/2/7,2.3,4.1,0.2
1991/2/8,0.7,2.6,-1.0
1991/2/9,2.6,4.9,0.7
1991/2/10,2.0,4.7,-1.0
1991/2/11,3.9,7.5,1.0
1991/2/12,2.8,5.7,-0.2
1991/2/13,3.1,5.3,0.0
1991/2/14,2.6,7.6,-2.4
1991/2/15,6.5,10.4,3.3
1991/2/16,5.5,10.1,1.4
1991/2/17,1.0,2.5,-0.2
1991/2/18,-0.3,1.7,-2.4
1991/2/19,-0.4,2.4,-3.0
1991/2/20,-2.3,3.3,-9.6
1991/2/21,1.2,4.5,-0.9
1991/2/22,-0.1,3.3,-2.5
1991/2/23,-1.9,-0.2,-4.7
1991/2/24,-4.1,-1.2,-5.7
1991/2/25,1.2,3.9,-3.6
1991/2/26,4.5,6.5,1.0
1991/2/27,5.1,8.0,2.3
1991/2/28,4.0,7.5,2.0
1991/3/1,1.0,2.3,-0.1
1991/3/2,2.5,6.1,-0.8
1991/3/3,3.2,5.3,1.0
1991/3/4,6.4,10.2,2.8
1991/3/5,7.7,11.3,3.2
1991/3/6,7.2,12.8,1.7
1991/3/7,1.8,4.4,0.3
1991/3/8,2.3,4.7,0.6
1991/3/9,4.4,7.2,2.3
1991/3/10,4.0,5.2,1.8
1991/3/11,3.1,5.6,0.4
1991/3/12,4.6,8.0,2.2
1991/3/13,2.4,4.4,-0.2
1991/3/14,0.4,2.8,-2.1
1991/3/15,0.1,1.3,-2.4
1991/3/16,1.4,4.5,-1.0
1991/3/17,3.8,7.0,0.6
1991/3/18,4.1,7.8,-0.2
1991/3/19,6.5,13.5,-1.0
1991/3/20,7.9,16.6,3.0
1991/3/21,2.4,4.7,-0.5
1991/3/22,5.0,11.5,-3.2
1991/3/23,11.2,16.1,7.2
1991/3/24,8.4,10.8,4.2
1991/3/25,7.5,13.0,2.2
1991/3/26,6.9,11.3,1.4
1991/3/27,4.9,6.5,0.5
1991/3/28,6.3,7.7,4.8
1991/3/29,5.6,8.2,2.5
1991/3/30,8.2,12.1,3.0
1991/3/31,6.0,8.3,4.3
