É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:36:12

,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2001/1/1,-1.2,4.4,-4.6
2001/1/2,-3.4,-1.0,-6.3
2001/1/3,-4.0,-2.3,-7.4
2001/1/4,-3.0,1.1,-7.3
2001/1/5,-3.3,-0.7,-6.2
2001/1/6,-5.5,-2.8,-9.0
2001/1/7,-7.9,-5.9,-10.0
2001/1/8,-8.8,-6.0,-11.5
2001/1/9,-6.5,-1.0,-12.4
2001/1/10,0.4,8.1,-5.6
2001/1/11,-6.0,-1.3,-8.8
2001/1/12,-10.6,-8.5,-11.8
2001/1/13,-8.4,-4.6,-12.1
2001/1/14,-11.0,-6.7,-15.0
2001/1/15,-10.4,-7.0,-14.5
2001/1/16,-8.7,-4.6,-13.4
2001/1/17,-8.0,-3.5,-13.0
2001/1/18,-8.0,-4.0,-12.3
2001/1/19,-8.0,-2.6,-13.1
2001/1/20,-4.3,0.6,-10.4
2001/1/21,-4.2,-1.5,-7.9
2001/1/22,-6.9,-3.4,-10.6
2001/1/23,-5.9,-1.7,-10.8
2001/1/24,-6.2,-2.2,-8.9
2001/1/25,-2.5,1.3,-8.6
2001/1/26,-4.3,-1.9,-9.0
2001/1/27,-7.1,-2.8,-11.5
2001/1/28,-3.1,1.1,-7.3
2001/1/29,-2.9,0.8,-5.6
2001/1/30,-3.2,0.7,-6.5
2001/1/31,-5.0,-3.1,-7.8
2001/2/1,-1.4,3.2,-8.3
2001/2/2,-8.2,-2.5,-10.4
2001/2/3,-10.7,-9.5,-12.6
2001/2/4,-8.3,-5.7,-10.5
2001/2/5,-6.8,-3.4,-9.0
2001/2/6,-7.1,-4.1,-9.6
2001/2/7,-7.8,-5.4,-11.3
2001/2/8,-7.3,-4.1,-10.2
2001/2/9,-7.4,-3.2,-11.6
2001/2/10,-6.4,-2.7,-9.1
2001/2/11,-9.6,-7.3,-11.1
2001/2/12,-9.8,-7.8,-11.2
2001/2/13,-8.5,-6.3,-11.0
2001/2/14,-8.9,-6.4,-11.6
2001/2/15,-7.8,-4.8,-12.1
2001/2/16,-6.9,-3.3,-10.6
2001/2/17,-4.6,-2.2,-8.1
2001/2/18,-1.2,1.9,-4.5
2001/2/19,-5.4,-3.2,-7.6
2001/2/20,-4.6,-1.5,-7.1
2001/2/21,0.3,4.2,-8.6
2001/2/22,2.2,4.3,0.5
2001/2/23,-1.2,1.2,-3.4
2001/2/24,-3.7,-1.3,-6.2
2001/2/25,-6.0,-3.5,-8.3
2001/2/26,-5.6,-3.0,-7.7
2001/2/27,-2.4,2.2,-9.6
2001/2/28,1.9,3.6,-0.7
2001/3/1,0.4,2.1,-0.8
2001/3/2,-1.5,0.2,-3.4
2001/3/3,-1.4,1.6,-5.3
2001/3/4,1.9,4.9,-0.3
2001/3/5,-0.7,2.0,-3.2
2001/3/6,-2.9,0.4,-5.4
2001/3/7,-5.8,-3.3,-8.4
2001/3/8,-6.2,-3.5,-8.7
2001/3/9,-7.6,-4.3,-10.3
2001/3/10,-7.0,-2.5,-11.9
2001/3/11,-6.3,-1.0,-11.4
2001/3/12,-2.9,0.9,-6.0
2001/3/13,-3.7,0.5,-9.0
2001/3/14,1.7,5.8,-3.8
2001/3/15,0.1,3.6,-3.2
2001/3/16,-0.9,1.1,-3.5
2001/3/17,4.0,8.0,-1.9
2001/3/18,4.7,7.5,2.4
2001/3/19,4.0,5.4,2.2
2001/3/20,8.5,12.7,2.6
2001/3/21,0.9,6.2,-1.5
2001/3/22,2.7,6.0,-2.0
2001/3/23,2.5,6.3,-0.3
2001/3/24,1.6,4.3,-1.8
2001/3/25,5.1,9.0,0.3
2001/3/26,5.7,9.6,0.9
2001/3/27,1.5,3.8,-0.7
2001/3/28,2.9,5.8,0.0
2001/3/29,2.1,4.8,0.1
2001/3/30,1.2,3.4,-0.7
2001/3/31,1.5,4.1,-0.5
2001/4/1,1.5,4.5,-0.9
2001/4/2,3.0,6.2,-0.9
2001/4/3,4.5,9.1,2.1
2001/4/4,2.1,5.2,-0.2
2001/4/5,4.3,8.4,-0.4
2001/4/6,5.4,8.9,2.7
2001/4/7,6.3,11.7,0.3
2001/4/8,8.7,12.4,4.4
2001/4/9,11.3,20.0,6.6
2001/4/10,11.6,18.6,5.7
2001/4/11,12.4,17.5,8.2
2001/4/12,12.7,17.8,7.9
2001/4/13,7.4,9.0,5.8
2001/4/14,10.3,15.0,6.0
2001/4/15,8.9,13.0,6.1
2001/4/16,10.9,18.1,3.5
2001/4/17,10.5,17.6,7.5
2001/4/18,16.1,24.5,6.7
2001/4/19,14.0,20.7,9.3
2001/4/20,3.8,9.3,1.8
2001/4/21,6.9,10.7,2.2
2001/4/22,5.4,8.5,2.3
2001/4/23,6.6,11.3,0.4
2001/4/24,6.3,9.6,4.6
2001/4/25,7.1,11.4,4.0
2001/4/26,9.7,16.6,1.8
2001/4/27,11.2,19.0,4.9
2001/4/28,11.6,21.0,5.1
2001/4/29,11.6,20.1,5.9
2001/4/30,7.5,10.3,5.0
2001/5/1,6.7,12.1,3.6
