ダウンロードした時刻：2019/10/10 16:10:40

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,11.1,18.5,5.7
2018/12/2,11.1,17.1,5.1
2018/12/3,14.0,15.7,11.9
2018/12/4,16.9,20.6,14.8
2018/12/5,14.4,18.7,10.3
2018/12/6,10.6,11.5,9.8
2018/12/7,9.6,14.7,5.5
2018/12/8,5.2,8.9,2.6
2018/12/9,3.8,7.5,1.4
2018/12/10,4.8,10.9,0.9
2018/12/11,4.5,8.4,0.2
2018/12/12,7.5,13.3,2.8
2018/12/13,6.5,12.3,1.4
2018/12/14,6.3,10.0,2.8
2018/12/15,4.9,10.7,1.0
2018/12/16,5.3,10.8,-0.3
2018/12/17,7.3,13.1,4.0
2018/12/18,6.4,11.6,1.8
2018/12/19,7.5,14.3,0.3
2018/12/20,7.6,10.6,5.4
2018/12/21,9.0,14.3,4.5
2018/12/22,11.5,16.2,8.8
2018/12/23,11.0,14.3,8.1
2018/12/24,8.3,12.0,4.1
2018/12/25,5.5,12.0,0.8
2018/12/26,7.7,11.0,3.9
2018/12/27,7.4,12.3,4.2
2018/12/28,3.2,6.9,-0.2
2018/12/29,2.3,7.1,-1.3
2018/12/30,3.5,8.9,-2.1
2018/12/31,3.9,8.8,-0.6
2019/1/1,4.6,10.3,-1.7
2019/1/2,5.3,10.4,1.6
2019/1/3,4.9,10.8,-0.6
2019/1/4,4.9,11.3,-1.8
2019/1/5,8.0,12.5,3.8
2019/1/6,6.0,9.6,3.0
2019/1/7,4.7,10.6,-0.2
2019/1/8,6.0,13.4,-0.6
2019/1/9,4.5,8.0,0.6
2019/1/10,3.8,7.8,-1.7
2019/1/11,7.4,11.7,3.4
2019/1/12,5.0,7.4,1.8
2019/1/13,5.1,13.0,-1.1
2019/1/14,5.5,13.1,-1.0
2019/1/15,6.1,12.4,1.6
2019/1/16,6.4,11.3,1.5
2019/1/17,5.3,10.9,-0.4
2019/1/18,6.4,12.8,1.7
2019/1/19,5.9,13.7,-0.7
2019/1/20,7.8,13.5,5.7
2019/1/21,5.5,10.7,0.0
2019/1/22,5.2,11.3,-0.1
2019/1/23,6.0,13.8,-1.1
2019/1/24,5.8,9.3,0.7
2019/1/25,4.4,9.5,-1.9
2019/1/26,2.8,5.8,0.0
2019/1/27,4.0,10.1,-0.7
2019/1/28,4.8,10.6,-0.3
2019/1/29,5.0,9.8,0.3
2019/1/30,4.0,11.8,-2.0
2019/1/31,4.2,6.2,1.8
2019/2/1,3.8,8.9,-0.2
2019/2/2,4.3,11.1,-1.6
2019/2/3,4.9,9.0,0.6
2019/2/4,9.8,14.8,3.8
2019/2/5,6.0,11.9,0.0
2019/2/6,7.3,12.2,4.9
2019/2/7,8.4,13.3,4.1
2019/2/8,6.3,10.1,3.1
2019/2/9,4.2,7.9,2.3
2019/2/10,3.7,7.2,1.2
2019/2/11,2.1,4.3,0.1
2019/2/12,4.4,10.7,-1.5
2019/2/13,6.2,12.5,2.3
2019/2/14,4.2,7.1,1.0
2019/2/15,4.4,8.3,-0.1
2019/2/16,6.9,12.5,3.5
2019/2/17,5.6,10.8,1.4
2019/2/18,5.6,12.1,-1.0
2019/2/19,9.3,12.8,5.5
2019/2/20,11.6,17.4,6.3
2019/2/21,7.7,10.8,5.6
2019/2/22,7.6,11.5,2.7
2019/2/23,8.6,13.6,3.9
2019/2/24,6.5,12.7,1.7
2019/2/25,8.7,16.1,1.0
2019/2/26,9.6,16.1,3.9
2019/2/27,6.8,10.6,2.2
2019/2/28,8.5,12.2,6.2
2019/3/1,8.9,16.3,2.9
2019/3/2,8.3,14.7,1.7
2019/3/3,8.4,11.1,6.0
2019/3/4,9.1,12.7,5.0
2019/3/5,9.4,16.7,2.3
2019/3/6,9.8,14.5,7.0
2019/3/7,9.0,11.8,4.8
2019/3/8,6.9,14.1,0.7
2019/3/9,8.0,15.2,0.4
2019/3/10,9.8,12.0,6.9
2019/3/11,11.9,16.6,6.5
2019/3/12,9.4,15.4,5.0
2019/3/13,7.6,12.3,4.4
2019/3/14,7.2,13.3,1.6
2019/3/15,7.2,14.6,0.5
2019/3/16,7.4,13.6,1.7
2019/3/17,6.9,13.3,1.9
2019/3/18,7.8,14.1,0.7
2019/3/19,9.6,15.0,6.5
2019/3/20,11.4,18.6,4.5
2019/3/21,16.4,23.3,12.6
2019/3/22,11.4,15.8,7.3
2019/3/23,5.8,11.3,1.5
2019/3/24,6.9,13.4,0.9
2019/3/25,8.3,13.4,2.0
2019/3/26,11.2,18.5,4.6
2019/3/27,13.1,20.9,4.2
2019/3/28,13.8,19.4,8.6
2019/3/29,10.7,16.0,6.1
2019/3/30,11.2,16.4,8.4
2019/3/31,9.6,13.9,5.4
