ダウンロードした時刻：2017/07/24 15:41:29

,銚子,銚子,銚子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/1/1,6.9,10.6,2.6
2001/1/2,7.8,12.8,2.0
2001/1/3,6.2,10.3,2.9
2001/1/4,4.3,8.4,1.3
2001/1/5,4.4,8.7,0.8
2001/1/6,3.3,7.1,-0.4
2001/1/7,4.2,7.0,-0.4
2001/1/8,8.5,12.3,5.6
2001/1/9,7.6,12.2,3.1
2001/1/10,8.6,14.0,4.2
2001/1/11,8.7,12.4,4.8
2001/1/12,5.5,10.0,2.2
2001/1/13,3.6,6.5,0.4
2001/1/14,2.4,5.1,0.3
2001/1/15,1.2,4.6,-2.1
2001/1/16,1.5,5.7,-2.7
2001/1/17,2.0,5.9,-2.1
2001/1/18,3.9,8.2,-0.7
2001/1/19,3.6,4.7,1.8
2001/1/20,4.9,6.8,1.9
2001/1/21,6.8,9.8,2.4
2001/1/22,6.1,9.2,3.1
2001/1/23,5.7,7.3,2.6
2001/1/24,3.7,6.3,0.2
2001/1/25,5.4,9.5,0.9
2001/1/26,7.5,9.7,5.3
2001/1/27,7.4,10.3,2.9
2001/1/28,7.1,10.3,2.0
2001/1/29,5.9,9.1,2.0
2001/1/30,4.5,8.8,0.1
2001/1/31,6.0,9.3,1.5
2001/2/1,5.7,8.1,3.2
2001/2/2,4.4,6.2,1.7
2001/2/3,4.9,9.1,0.1
2001/2/4,4.6,6.6,1.8
2001/2/5,7.5,10.4,3.2
2001/2/6,8.0,10.8,4.2
2001/2/7,6.8,8.7,5.4
2001/2/8,5.2,6.7,2.8
2001/2/9,5.0,6.8,3.6
2001/2/10,5.9,10.0,1.4
2001/2/11,6.7,10.2,2.8
2001/2/12,3.8,4.9,2.5
2001/2/13,4.2,6.3,2.0
2001/2/14,2.8,4.9,1.4
2001/2/15,3.5,5.9,0.9
2001/2/16,6.5,11.3,1.1
2001/2/17,3.4,6.8,-1.1
2001/2/18,6.5,10.1,3.2
2001/2/19,7.5,11.6,2.9
2001/2/20,6.5,8.3,4.2
2001/2/21,10.1,15.0,4.6
2001/2/22,11.9,14.7,6.8
2001/2/23,12.4,15.5,8.1
2001/2/24,7.9,13.0,5.3
2001/2/25,5.1,7.9,2.7
2001/2/26,3.9,8.8,-0.5
2001/2/27,6.3,10.8,0.4
2001/2/28,12.2,14.4,7.9
2001/3/1,9.7,14.0,6.8
2001/3/2,6.3,8.2,3.3
2001/3/3,7.4,12.0,1.4
2001/3/4,11.1,14.4,6.8
2001/3/5,7.4,11.5,3.5
2001/3/6,9.0,13.0,4.6
2001/3/7,11.2,16.9,5.0
2001/3/8,5.1,8.7,1.2
2001/3/9,3.1,6.6,-0.6
2001/3/10,5.6,10.2,-0.2
2001/3/11,4.9,7.0,1.3
2001/3/12,3.8,5.5,2.4
2001/3/13,4.3,6.6,0.5
2001/3/14,9.3,13.6,1.7
2001/3/15,13.7,20.7,8.7
2001/3/16,8.3,10.8,5.8
2001/3/17,10.4,12.8,7.7
2001/3/18,10.1,12.5,8.8
2001/3/19,11.9,15.3,6.1
2001/3/20,13.1,17.4,7.1
2001/3/21,14.0,18.5,10.4
2001/3/22,13.0,16.5,10.4
2001/3/23,12.3,14.5,10.5
2001/3/24,13.7,17.1,10.6
2001/3/25,15.0,17.5,12.9
2001/3/26,12.6,14.7,9.8
2001/3/27,10.8,15.0,7.1
2001/3/28,12.2,14.4,9.3
2001/3/29,7.9,9.6,5.3
2001/3/30,6.9,10.0,4.6
2001/3/31,4.3,7.9,0.8
2001/4/1,6.9,12.4,0.4
2001/4/2,12.2,15.7,6.3
2001/4/3,13.6,18.3,6.5
2001/4/4,9.1,11.6,5.6
2001/4/5,13.2,16.4,8.1
2001/4/6,14.6,17.9,12.0
2001/4/7,13.5,16.3,10.7
2001/4/8,15.0,17.7,12.3
2001/4/9,16.1,19.2,12.8
2001/4/10,16.1,19.1,12.6
2001/4/11,15.2,17.2,14.2
2001/4/12,15.4,19.4,12.4
2001/4/13,14.0,16.9,10.4
2001/4/14,15.9,18.7,11.1
2001/4/15,15.7,19.5,12.1
2001/4/16,14.9,17.5,11.6
2001/4/17,17.5,20.9,14.5
2001/4/18,16.5,19.6,14.6
2001/4/19,15.0,16.7,13.0
2001/4/20,15.9,22.2,12.0
2001/4/21,10.8,12.1,9.4
2001/4/22,12.1,14.7,9.6
2001/4/23,13.3,16.8,8.5
2001/4/24,16.5,19.7,14.4
2001/4/25,12.8,15.8,11.2
2001/4/26,12.6,15.4,10.2
2001/4/27,14.9,19.1,9.3
2001/4/28,17.6,21.2,14.2
2001/4/29,17.9,21.1,15.3
2001/4/30,14.1,15.5,11.7
2001/5/1,12.4,14.3,11.1
