ダウンロードした時刻：2017/07/24 15:43:06

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,2.5,5.3,0.3
1986/1/2,-0.1,1.8,-2.0
1986/1/3,3.2,6.4,-1.5
1986/1/4,3.3,8.7,-1.8
1986/1/5,-3.2,-1.7,-3.8
1986/1/6,-0.8,1.3,-3.1
1986/1/7,1.8,4.1,-0.9
1986/1/8,1.1,5.1,-1.1
1986/1/9,-0.7,1.7,-2.6
1986/1/10,0.2,2.6,-1.3
1986/1/11,0.0,2.7,-2.4
1986/1/12,0.4,4.5,-1.5
1986/1/13,2.7,6.3,-1.2
1986/1/14,3.5,6.3,1.7
1986/1/15,3.7,9.2,-0.3
1986/1/16,4.3,7.0,1.6
1986/1/17,4.6,9.6,0.8
1986/1/18,3.7,8.6,-1.0
1986/1/19,2.3,8.0,-2.3
1986/1/20,5.1,10.4,-1.9
1986/1/21,4.3,6.7,1.9
1986/1/22,1.7,2.7,0.3
1986/1/23,2.4,3.8,0.8
1986/1/24,2.0,4.1,0.8
1986/1/25,0.9,3.8,-0.3
1986/1/26,0.1,3.4,-1.5
1986/1/27,0.0,1.8,-1.4
1986/1/28,2.5,5.4,-0.8
1986/1/29,4.1,9.5,0.9
1986/1/30,5.4,12.4,-1.2
1986/1/31,4.9,8.6,1.5
1986/2/1,2.2,5.6,0.7
1986/2/2,2.8,6.4,-0.6
1986/2/3,1.4,5.4,-1.2
1986/2/4,-0.1,2.8,-1.3
1986/2/5,1.5,4.3,-0.2
1986/2/6,-0.3,2.7,-1.9
1986/2/7,-0.1,3.8,-3.4
1986/2/8,0.7,4.6,-2.8
1986/2/9,1.4,5.1,-0.1
1986/2/10,1.1,4.5,-1.7
1986/2/11,1.1,4.9,-2.0
1986/2/12,2.7,8.8,-1.6
1986/2/13,6.6,12.1,-0.2
1986/2/14,7.5,10.4,5.1
1986/2/15,3.6,7.3,0.1
1986/2/16,0.3,3.1,-1.7
1986/2/17,0.4,4.6,-4.3
1986/2/18,1.7,3.8,-1.4
1986/2/19,5.0,7.9,2.5
1986/2/20,3.3,7.0,1.7
1986/2/21,2.2,4.9,0.4
1986/2/22,3.7,8.5,0.6
1986/2/23,4.0,7.8,0.7
1986/2/24,0.0,3.5,-1.6
1986/2/25,1.2,5.6,-2.1
1986/2/26,2.4,9.1,-3.3
1986/2/27,-0.2,3.5,-2.3
1986/2/28,1.6,4.3,-2.7
1986/3/1,1.2,4.3,0.2
1986/3/2,1.0,4.2,-1.3
1986/3/3,2.3,7.2,-1.7
1986/3/4,2.9,9.3,-3.7
1986/3/5,6.5,10.1,2.9
1986/3/6,4.4,8.9,0.3
1986/3/7,4.4,12.3,-1.9
1986/3/8,4.8,10.4,-1.6
1986/3/9,12.2,20.2,0.0
1986/3/10,11.1,15.7,5.2
1986/3/11,5.2,7.4,1.7
1986/3/12,6.4,13.2,0.8
1986/3/13,7.3,13.7,0.8
1986/3/14,7.4,8.4,6.2
1986/3/15,9.1,11.7,7.2
1986/3/16,7.0,9.4,3.7
1986/3/17,5.3,9.1,1.2
1986/3/18,4.8,8.2,-0.2
1986/3/19,8.1,10.4,4.9
1986/3/20,5.7,8.3,3.7
1986/3/21,4.9,8.8,1.1
1986/3/22,4.8,8.8,-0.2
1986/3/23,6.0,7.3,3.7
1986/3/24,7.3,11.7,1.4
1986/3/25,5.5,10.6,-0.7
1986/3/26,7.9,15.3,0.3
1986/3/27,9.0,14.1,1.1
1986/3/28,10.0,11.0,8.7
1986/3/29,9.7,12.3,6.3
1986/3/30,10.2,16.1,4.3
1986/3/31,7.7,11.5,3.8
1986/4/1,7.4,14.8,0.7
1986/4/2,9.7,18.6,2.1
1986/4/3,11.5,15.7,4.8
1986/4/4,11.8,13.0,11.0
1986/4/5,10.7,15.4,5.4
1986/4/6,10.8,17.7,3.6
1986/4/7,6.6,11.3,1.7
1986/4/8,12.3,19.1,0.3
1986/4/9,14.8,16.5,13.1
1986/4/10,15.9,20.6,13.9
1986/4/11,10.9,14.3,3.6
1986/4/12,8.4,15.6,1.3
1986/4/13,11.4,18.8,2.8
1986/4/14,14.4,22.6,2.8
1986/4/15,14.2,18.1,11.6
1986/4/16,8.5,11.6,3.9
1986/4/17,11.8,18.8,2.4
1986/4/18,14.4,17.1,12.1
1986/4/19,15.8,19.8,12.0
1986/4/20,17.1,24.6,14.7
1986/4/21,12.8,14.7,11.6
1986/4/22,12.8,14.6,10.3
1986/4/23,13.0,20.0,7.6
1986/4/24,15.0,21.3,6.6
1986/4/25,17.3,26.9,10.5
1986/4/26,17.0,22.2,14.9
1986/4/27,18.7,26.1,13.5
1986/4/28,14.2,17.7,10.0
1986/4/29,11.4,15.1,7.5
1986/4/30,12.8,17.2,5.6
1986/5/1,18.1,21.4,14.4
