ダウンロードした時刻：2019/10/10 16:14:15

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,7.1,14.1,2.6
1981/12/2,2.3,6.1,-0.3
1981/12/3,3.1,7.9,-0.7
1981/12/4,2.8,10.5,-2.3
1981/12/5,5.3,12.3,-2.0
1981/12/6,6.4,11.9,2.2
1981/12/7,5.0,11.0,-0.1
1981/12/8,5.9,9.1,1.6
1981/12/9,7.3,11.0,4.8
1981/12/10,5.6,11.2,-0.2
1981/12/11,5.4,12.8,-2.7
1981/12/12,8.5,13.3,2.4
1981/12/13,5.3,9.2,2.3
1981/12/14,2.9,7.7,1.0
1981/12/15,3.0,6.5,-1.0
1981/12/16,3.7,9.5,0.1
1981/12/17,4.1,11.3,-0.4
1981/12/18,3.5,11.3,-1.8
1981/12/19,5.1,10.9,0.2
1981/12/20,5.8,8.7,2.7
1981/12/21,5.8,12.0,2.3
1981/12/22,6.5,13.6,2.2
1981/12/23,8.4,15.2,1.0
1981/12/24,5.4,9.7,3.1
1981/12/25,4.4,10.9,-1.2
1981/12/26,4.9,13.1,-2.2
1981/12/27,7.4,16.2,1.2
1981/12/28,7.7,16.8,1.4
1981/12/29,7.6,11.5,4.6
1981/12/30,5.7,9.3,1.7
1981/12/31,3.4,7.2,-0.6
1982/1/1,4.9,10.2,0.4
1982/1/2,4.7,10.4,0.2
1982/1/3,3.5,11.3,-2.6
1982/1/4,6.6,13.3,0.7
1982/1/5,7.4,11.4,3.6
1982/1/6,4.0,8.5,0.1
1982/1/7,1.2,5.7,-2.2
1982/1/8,0.4,6.4,-4.6
1982/1/9,3.9,7.8,-2.9
1982/1/10,3.8,10.5,-1.1
1982/1/11,4.8,13.2,-2.2
1982/1/12,7.5,12.4,4.0
1982/1/13,3.5,8.2,-0.2
1982/1/14,1.9,7.3,-1.7
1982/1/15,2.8,7.7,-2.6
1982/1/16,2.9,7.4,-0.8
1982/1/17,0.3,5.6,-3.2
1982/1/18,1.2,7.8,-5.4
1982/1/19,1.1,3.8,-0.2
1982/1/20,1.6,5.9,-1.7
1982/1/21,3.6,8.6,-2.2
1982/1/22,6.4,11.7,1.1
1982/1/23,4.7,9.4,0.2
1982/1/24,3.4,8.4,-2.3
1982/1/25,3.8,7.1,2.1
1982/1/26,3.4,8.6,-0.3
1982/1/27,3.5,9.2,-2.2
1982/1/28,1.4,6.2,-2.0
1982/1/29,-1.8,3.1,-4.6
1982/1/30,-0.5,4.9,-4.0
1982/1/31,0.6,5.7,-5.8
1982/2/1,3.0,8.1,1.0
1982/2/2,1.2,5.5,-2.2
1982/2/3,2.7,8.3,-3.6
1982/2/4,2.9,5.6,0.4
1982/2/5,1.5,6.1,-1.2
1982/2/6,1.8,7.7,-2.9
1982/2/7,-0.2,5.2,-3.2
1982/2/8,1.1,6.2,-3.7
1982/2/9,1.7,7.5,-4.1
1982/2/10,2.0,7.5,-2.6
1982/2/11,2.6,9.3,-4.3
1982/2/12,4.4,11.0,-0.1
1982/2/13,3.2,9.6,-2.4
1982/2/14,1.9,7.4,-2.4
1982/2/15,2.0,8.3,-2.1
1982/2/16,3.9,11.6,-4.1
1982/2/17,2.5,4.3,0.4
1982/2/18,4.7,11.5,-0.6
1982/2/19,7.3,11.8,1.7
1982/2/20,9.1,11.5,7.4
1982/2/21,6.7,9.8,1.9
1982/2/22,5.1,10.9,1.1
1982/2/23,5.2,11.7,0.0
1982/2/24,3.9,8.2,1.4
1982/2/25,3.6,9.1,-0.4
1982/2/26,1.9,6.9,-1.9
1982/2/27,3.3,11.4,-3.9
1982/2/28,5.9,11.9,-0.9
1982/3/1,4.9,6.2,2.8
1982/3/2,3.5,7.0,-0.7
1982/3/3,2.8,8.9,-1.7
1982/3/4,7.1,14.9,-3.0
1982/3/5,9.7,13.7,6.7
1982/3/6,7.8,12.7,3.7
1982/3/7,3.1,8.1,-0.8
1982/3/8,3.7,10.1,-2.3
1982/3/9,5.3,12.2,-1.0
1982/3/10,6.5,15.3,-0.5
1982/3/11,8.4,17.7,0.0
1982/3/12,8.2,13.6,1.7
1982/3/13,9.3,16.2,4.1
1982/3/14,10.2,18.3,1.4
1982/3/15,13.8,18.5,9.5
1982/3/16,13.7,19.7,10.5
1982/3/17,10.8,17.4,6.1
1982/3/18,7.6,13.3,1.9
1982/3/19,7.6,14.5,0.0
1982/3/20,10.3,12.9,7.2
1982/3/21,9.8,12.7,5.2
1982/3/22,10.5,19.0,2.4
1982/3/23,13.7,21.8,4.0
1982/3/24,8.4,14.4,2.8
1982/3/25,3.6,9.7,0.3
1982/3/26,3.7,10.4,-0.9
1982/3/27,5.0,13.1,-1.0
1982/3/28,5.7,15.9,-2.2
1982/3/29,7.7,17.7,-2.2
1982/3/30,12.3,20.7,1.6
1982/3/31,10.3,13.3,7.1
