ダウンロードした時刻：2017/07/24 15:45:24

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/1/1,2.4,7.3,-1.9
2013/1/2,6.5,12.2,1.7
2013/1/3,2.3,5.4,-0.1
2013/1/4,0.3,5.5,-2.4
2013/1/5,1.3,6.2,-2.3
2013/1/6,2.7,8.8,-3.2
2013/1/7,3.3,9.3,-1.0
2013/1/8,3.4,10.5,-1.9
2013/1/9,3.5,9.7,-0.9
2013/1/10,3.2,6.8,0.3
2013/1/11,2.2,7.8,-1.6
2013/1/12,2.3,9.2,-2.9
2013/1/13,4.1,9.8,-1.9
2013/1/14,3.3,6.5,0.8
2013/1/15,3.5,6.5,0.3
2013/1/16,3.7,9.1,-2.0
2013/1/17,3.9,7.8,0.2
2013/1/18,1.2,5.7,-1.8
2013/1/19,3.4,8.8,-2.3
2013/1/20,5.0,8.4,0.1
2013/1/21,3.5,10.1,-2.8
2013/1/22,6.4,9.9,4.6
2013/1/23,4.9,8.9,1.3
2013/1/24,5.4,11.1,-0.8
2013/1/25,4.5,7.3,0.1
2013/1/26,1.7,6.5,-1.4
2013/1/27,1.5,6.9,-2.4
2013/1/28,1.6,6.4,-2.0
2013/1/29,4.0,8.7,-0.4
2013/1/30,5.1,10.7,0.6
2013/1/31,4.4,12.8,-1.6
2013/2/1,6.5,14.6,-1.5
2013/2/2,11.1,17.7,7.6
2013/2/3,7.2,11.1,4.8
2013/2/4,6.6,10.1,3.5
2013/2/5,5.4,7.9,3.0
2013/2/6,4.2,7.6,1.6
2013/2/7,5.3,9.0,1.5
2013/2/8,0.5,3.3,-1.3
2013/2/9,1.1,6.3,-2.1
2013/2/10,2.9,9.4,-3.0
2013/2/11,3.5,8.0,-1.4
2013/2/12,2.7,8.6,-2.9
2013/2/13,4.0,8.3,-0.5
2013/2/14,4.9,11.8,-0.8
2013/2/15,3.0,4.9,0.4
2013/2/16,1.2,4.8,-2.0
2013/2/17,0.5,5.2,-4.1
2013/2/18,3.3,5.1,1.2
2013/2/19,1.7,4.5,-1.3
2013/2/20,1.8,6.7,-1.6
2013/2/21,1.7,7.5,-2.3
2013/2/22,3.1,7.9,-2.0
2013/2/23,3.1,7.6,0.3
2013/2/24,2.4,7.0,-0.6
2013/2/25,1.8,7.0,-1.5
2013/2/26,4.0,10.7,-2.0
2013/2/27,6.3,12.0,3.0
2013/2/28,7.4,15.1,2.1
2013/3/1,8.6,19.1,2.4
2013/3/2,3.8,7.9,0.8
2013/3/3,2.5,8.4,-1.6
2013/3/4,3.9,11.2,-3.0
2013/3/5,5.7,12.5,0.6
2013/3/6,7.8,16.0,-0.7
2013/3/7,10.6,20.8,1.5
2013/3/8,13.9,20.4,7.0
2013/3/9,15.2,23.1,7.3
2013/3/10,8.1,21.3,-0.2
2013/3/11,4.0,11.1,-1.4
2013/3/12,7.3,18.6,-2.9
2013/3/13,11.6,23.0,4.3
2013/3/14,4.3,8.4,-1.2
2013/3/15,5.4,14.9,-2.9
2013/3/16,8.9,16.2,1.0
2013/3/17,11.0,20.6,1.6
2013/3/18,16.4,21.4,11.1
2013/3/19,16.3,22.1,11.3
2013/3/20,11.9,16.1,7.7
2013/3/21,5.8,11.2,0.8
2013/3/22,8.9,18.3,-1.1
2013/3/23,9.3,14.7,3.1
2013/3/24,11.0,20.1,2.3
2013/3/25,8.8,13.6,3.1
2013/3/26,5.8,11.2,0.0
2013/3/27,9.0,16.6,2.5
2013/3/28,12.7,15.1,10.6
2013/3/29,13.0,18.4,9.3
2013/3/30,10.4,16.5,4.8
2013/3/31,9.9,15.0,6.7
2013/4/1,10.9,19.3,2.5
2013/4/2,12.3,17.6,7.7
2013/4/3,11.7,16.0,9.0
2013/4/4,13.5,21.9,5.5
2013/4/5,15.9,25.7,6.1
2013/4/6,15.8,18.0,12.4
2013/4/7,10.9,15.7,6.9
2013/4/8,10.2,17.2,3.5
2013/4/9,12.8,20.0,6.4
2013/4/10,10.7,15.0,6.8
2013/4/11,7.9,13.8,4.6
2013/4/12,8.0,15.1,2.4
2013/4/13,9.2,16.9,1.5
2013/4/14,13.9,22.6,3.8
2013/4/15,16.0,22.0,10.5
2013/4/16,17.0,27.4,7.9
2013/4/17,17.5,22.4,12.6
2013/4/18,17.9,26.4,10.6
2013/4/19,10.6,14.8,4.3
2013/4/20,8.9,17.5,2.3
2013/4/21,7.9,13.7,3.8
2013/4/22,8.9,16.8,1.4
2013/4/23,11.5,20.3,2.1
2013/4/24,14.0,16.6,11.0
2013/4/25,14.9,22.3,8.1
2013/4/26,12.3,19.0,8.4
2013/4/27,12.8,19.1,6.5
2013/4/28,13.9,21.3,6.9
2013/4/29,16.4,25.9,7.0
2013/4/30,14.3,17.8,11.6
2013/5/1,11.2,17.6,7.3
