ダウンロードした時刻：2019/10/10 16:22:30

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,9.4,15.5,3.9
2005/12/2,11.0,14.3,8.1
2005/12/3,9.7,13.3,6.3
2005/12/4,7.4,13.5,3.8
2005/12/5,4.8,7.8,2.3
2005/12/6,6.1,8.9,3.2
2005/12/7,6.4,9.4,3.4
2005/12/8,7.1,9.8,3.3
2005/12/9,7.7,11.4,3.3
2005/12/10,6.4,12.5,1.3
2005/12/11,7.6,10.8,3.8
2005/12/12,4.7,7.7,3.0
2005/12/13,3.2,5.3,1.5
2005/12/14,4.1,7.8,0.1
2005/12/15,4.2,9.2,-0.9
2005/12/16,5.2,9.3,2.2
2005/12/17,4.4,7.1,0.1
2005/12/18,1.5,4.9,-2.1
2005/12/19,5.8,10.0,2.4
2005/12/20,4.6,10.5,-1.1
2005/12/21,4.7,9.8,-1.0
2005/12/22,1.9,4.6,-1.6
2005/12/23,6.9,10.9,3.2
2005/12/24,5.5,9.2,0.4
2005/12/25,5.9,12.8,-2.1
2005/12/26,7.4,10.4,3.4
2005/12/27,5.2,9.0,1.4
2005/12/28,4.0,9.0,-1.5
2005/12/29,4.4,10.6,-0.5
2005/12/30,5.8,12.0,0.5
2005/12/31,5.7,8.7,1.2
2006/1/1,6.1,10.2,1.6
2006/1/2,8.1,11.7,3.4
2006/1/3,7.6,10.4,4.2
2006/1/4,5.3,8.0,3.8
2006/1/5,4.9,7.3,3.0
2006/1/6,3.6,8.5,0.3
2006/1/7,3.4,8.0,0.7
2006/1/8,3.5,8.8,-0.9
2006/1/9,4.3,11.3,-1.5
2006/1/10,6.3,13.6,0.9
2006/1/11,5.6,11.6,0.7
2006/1/12,5.8,11.5,-0.2
2006/1/13,9.6,13.6,5.7
2006/1/14,11.3,12.9,9.4
2006/1/15,9.6,12.3,6.9
2006/1/16,6.5,10.2,2.6
2006/1/17,9.0,12.7,6.4
2006/1/18,7.3,8.8,5.6
2006/1/19,6.6,7.5,5.0
2006/1/20,5.2,6.5,3.2
2006/1/21,5.9,8.0,3.0
2006/1/22,6.5,11.5,1.6
2006/1/23,4.6,8.3,0.3
2006/1/24,3.9,9.0,-1.6
2006/1/25,4.5,10.8,-1.1
2006/1/26,5.1,11.3,0.1
2006/1/27,5.6,12.6,-0.3
2006/1/28,6.5,10.1,2.0
2006/1/29,6.4,11.5,-0.2
2006/1/30,10.2,13.5,6.3
2006/1/31,11.1,12.2,9.9
2006/2/1,10.7,12.9,8.2
2006/2/2,8.5,12.1,3.8
2006/2/3,6.0,9.8,0.0
2006/2/4,2.2,6.0,-0.1
2006/2/5,4.2,7.6,0.4
2006/2/6,4.3,6.9,1.8
2006/2/7,7.4,12.6,3.8
2006/2/8,4.2,6.6,0.8
2006/2/9,3.5,7.6,-0.3
2006/2/10,5.1,13.1,-2.5
2006/2/11,7.9,12.8,3.9
2006/2/12,7.2,10.4,1.2
2006/2/13,4.7,12.6,-2.4
2006/2/14,9.5,18.6,1.0
2006/2/15,12.2,14.1,10.4
2006/2/16,10.6,11.8,9.1
2006/2/17,7.9,11.5,3.6
2006/2/18,4.9,8.8,0.7
2006/2/19,5.7,9.6,2.3
2006/2/20,6.5,8.2,5.3
2006/2/21,8.2,12.6,5.2
2006/2/22,9.2,14.2,3.6
2006/2/23,10.4,13.7,6.6
2006/2/24,8.1,13.7,3.4
2006/2/25,9.2,13.1,3.9
2006/2/26,12.4,17.2,9.9
2006/2/27,8.8,11.1,6.6
2006/2/28,6.9,9.2,5.1
2006/3/1,7.1,8.4,6.4
2006/3/2,6.3,9.9,4.3
2006/3/3,5.1,8.7,1.4
2006/3/4,4.5,10.4,-1.6
2006/3/5,8.5,15.6,-0.3
2006/3/6,11.0,13.2,9.9
2006/3/7,10.6,15.1,7.1
2006/3/8,11.1,16.7,5.7
2006/3/9,9.1,11.8,5.8
2006/3/10,11.2,16.2,8.1
2006/3/11,11.6,16.8,5.8
2006/3/12,9.7,14.8,4.5
2006/3/13,3.2,6.4,0.5
2006/3/14,5.1,8.7,0.7
2006/3/15,8.1,15.7,-0.1
2006/3/16,11.3,18.4,8.4
2006/3/17,12.5,18.0,8.3
2006/3/18,9.7,11.7,7.4
2006/3/19,10.1,12.5,5.3
2006/3/20,7.9,13.7,1.1
2006/3/21,10.4,14.6,6.4
2006/3/22,9.4,10.3,8.5
2006/3/23,12.2,18.6,8.6
2006/3/24,10.7,14.5,6.6
2006/3/25,10.7,17.3,3.9
2006/3/26,10.5,14.4,8.1
2006/3/27,11.7,17.3,5.9
2006/3/28,11.5,19.2,6.4
2006/3/29,8.5,13.8,3.8
2006/3/30,10.4,15.1,5.2
2006/3/31,8.4,12.5,5.4
