ダウンロードした時刻：2019/10/10 16:19:30

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/12/1,14.1,18.9,10.5
2010/12/2,13.6,15.8,11.9
2010/12/3,12.2,15.2,10.1
2010/12/4,11.0,13.3,8.7
2010/12/5,12.1,17.5,7.9
2010/12/6,13.4,17.0,10.5
2010/12/7,10.5,14.0,8.1
2010/12/8,8.4,10.8,5.9
2010/12/9,7.7,9.8,5.4
2010/12/10,9.0,13.4,4.4
2010/12/11,12.2,14.8,8.3
2010/12/12,9.4,12.4,6.6
2010/12/13,11.4,13.5,8.6
2010/12/14,13.1,15.6,9.8
2010/12/15,5.3,9.9,3.3
2010/12/16,4.1,5.6,3.0
2010/12/17,6.4,10.4,3.9
2010/12/18,9.0,11.3,5.6
2010/12/19,9.7,14.6,5.2
2010/12/20,12.7,17.0,9.7
2010/12/21,10.5,11.2,9.6
2010/12/22,11.7,15.6,9.2
2010/12/23,11.5,14.6,8.3
2010/12/24,6.6,12.3,3.2
2010/12/25,2.7,5.5,1.2
2010/12/26,5.2,6.1,3.1
2010/12/27,7.5,9.2,4.7
2010/12/28,9.6,12.8,6.8
2010/12/29,6.6,8.2,5.1
2010/12/30,5.9,7.3,4.0
2010/12/31,2.3,4.3,0.0
2011/1/1,3.5,5.4,1.5
2011/1/2,5.3,9.6,2.5
2011/1/3,5.1,7.9,3.6
2011/1/4,5.3,7.6,3.6
2011/1/5,6.6,8.3,3.5
2011/1/6,5.1,7.3,3.4
2011/1/7,4.4,7.4,2.0
2011/1/8,5.7,9.9,2.0
2011/1/9,6.7,8.1,4.6
2011/1/10,3.0,4.6,1.4
2011/1/11,4.3,7.0,1.8
2011/1/12,4.5,5.8,3.5
2011/1/13,4.2,6.1,2.5
2011/1/14,5.2,10.4,0.6
2011/1/15,3.4,7.9,-1.8
2011/1/16,0.2,2.4,-2.8
2011/1/17,4.0,6.0,2.2
2011/1/18,4.9,7.1,3.0
2011/1/19,4.9,6.2,3.4
2011/1/20,4.6,6.0,3.6
2011/1/21,5.1,7.4,1.8
2011/1/22,5.6,7.2,3.2
2011/1/23,5.6,8.0,2.5
2011/1/24,4.8,7.5,3.5
2011/1/25,4.0,6.1,3.2
2011/1/26,4.0,5.5,2.9
2011/1/27,4.4,6.2,2.9
2011/1/28,4.7,7.9,2.2
2011/1/29,3.0,4.9,1.2
2011/1/30,0.7,1.9,-1.2
2011/1/31,2.1,4.4,-0.8
2011/2/1,6.2,9.7,3.6
2011/2/2,6.5,10.6,4.0
2011/2/3,7.6,12.0,3.7
2011/2/4,8.4,13.0,5.4
2011/2/5,8.1,12.5,4.9
2011/2/6,8.3,12.4,3.7
2011/2/7,9.8,12.6,6.3
2011/2/8,6.7,8.8,4.4
2011/2/9,8.2,10.7,6.2
2011/2/10,6.3,7.7,4.1
2011/2/11,5.6,7.5,3.5
2011/2/12,3.3,5.9,1.4
2011/2/13,3.4,5.3,1.6
2011/2/14,4.1,6.8,2.5
2011/2/15,5.4,9.4,2.7
2011/2/16,6.0,9.5,2.1
2011/2/17,9.0,10.6,7.5
2011/2/18,7.9,11.0,4.9
2011/2/19,5.8,8.8,2.8
2011/2/20,8.5,13.0,5.3
2011/2/21,8.8,12.7,5.9
2011/2/22,8.4,13.7,4.8
2011/2/23,9.9,12.9,6.7
2011/2/24,12.3,16.2,9.5
2011/2/25,11.9,15.3,8.2
2011/2/26,9.1,12.2,5.6
2011/2/27,12.0,15.3,10.4
2011/2/28,11.9,13.4,10.4
2011/3/1,9.7,11.1,7.7
2011/3/2,7.3,9.1,5.6
2011/3/3,4.7,6.6,2.8
2011/3/4,5.1,8.6,3.0
2011/3/5,6.2,10.9,1.2
2011/3/6,7.4,8.0,6.7
2011/3/7,8.4,10.8,6.9
2011/3/8,7.6,9.6,6.4
2011/3/9,8.0,10.4,6.1
2011/3/10,7.0,9.0,5.7
2011/3/11,8.6,11.2,6.9
2011/3/12,8.5,12.3,5.3
2011/3/13,11.2,16.7,6.5
2011/3/14,12.7,17.2,10.3
2011/3/15,10.9,15.0,8.4
2011/3/16,5.6,8.4,4.2
2011/3/17,5.4,7.6,3.1
2011/3/18,7.0,10.9,2.5
2011/3/19,11.6,16.0,7.8
2011/3/20,11.6,13.9,10.4
2011/3/21,10.7,11.8,9.9
2011/3/22,9.8,12.3,6.9
2011/3/23,7.4,10.2,4.5
2011/3/24,8.0,12.3,3.9
2011/3/25,7.6,9.5,4.3
2011/3/26,6.2,10.6,3.1
2011/3/27,7.2,11.6,3.0
2011/3/28,9.3,14.5,4.3
2011/3/29,10.2,14.9,7.0
2011/3/30,10.7,13.4,8.2
2011/3/31,12.5,17.1,8.7
