ダウンロードした時刻：2019/10/10 16:26:27

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,12.7,14.7,11.1
1983/12/2,15.6,17.4,12.1
1983/12/3,16.7,18.4,15.2
1983/12/4,14.0,16.1,12.5
1983/12/5,14.9,17.1,12.5
1983/12/6,16.2,18.5,14.8
1983/12/7,15.3,18.7,12.9
1983/12/8,13.6,16.5,9.9
1983/12/9,14.4,18.2,9.6
1983/12/10,17.3,20.5,11.7
1983/12/11,14.9,20.0,10.8
1983/12/12,11.7,13.5,10.6
1983/12/13,14.8,18.1,11.4
1983/12/14,17.6,20.1,15.0
1983/12/15,13.3,15.4,10.7
1983/12/16,12.2,13.8,10.8
1983/12/17,11.0,13.1,9.1
1983/12/18,8.9,11.0,6.6
1983/12/19,11.5,13.5,9.0
1983/12/20,12.3,14.9,10.2
1983/12/21,14.6,17.5,10.6
1983/12/22,15.2,18.4,13.3
1983/12/23,9.4,13.5,6.7
1983/12/24,8.9,10.8,6.9
1983/12/25,7.6,9.6,6.5
1983/12/26,7.8,10.3,6.0
1983/12/27,9.1,12.3,5.7
1983/12/28,8.5,10.5,7.1
1983/12/29,8.6,11.0,6.8
1983/12/30,8.8,10.6,7.5
1983/12/31,8.4,9.9,6.0
1984/1/1,9.9,12.3,7.8
1984/1/2,11.8,14.9,6.6
1984/1/3,12.5,15.1,9.8
1984/1/4,9.0,10.1,7.8
1984/1/5,8.4,10.3,7.0
1984/1/6,8.8,10.8,4.3
1984/1/7,9.0,10.9,7.7
1984/1/8,9.2,11.7,7.6
1984/1/9,11.3,13.6,8.6
1984/1/10,13.6,16.1,11.3
1984/1/11,12.4,14.5,9.9
1984/1/12,10.3,12.8,9.5
1984/1/13,11.8,14.1,9.4
1984/1/14,13.1,15.7,9.5
1984/1/15,13.3,19.8,8.3
1984/1/16,6.6,10.2,4.7
1984/1/17,6.7,8.0,5.0
1984/1/18,9.3,11.6,6.4
1984/1/19,10.0,11.7,7.2
1984/1/20,9.5,12.7,5.9
1984/1/21,11.0,14.4,9.1
1984/1/22,9.0,10.6,7.4
1984/1/23,8.3,10.9,6.8
1984/1/24,9.0,11.8,6.4
1984/1/25,7.8,9.8,5.7
1984/1/26,5.9,7.4,4.7
1984/1/27,6.0,7.9,4.6
1984/1/28,6.8,8.8,5.6
1984/1/29,7.2,9.0,5.8
1984/1/30,11.1,14.4,8.9
1984/1/31,12.0,15.3,9.6
1984/2/1,10.8,13.7,4.8
1984/2/2,9.4,11.0,7.2
1984/2/3,6.3,8.0,2.6
1984/2/4,6.3,9.1,3.5
1984/2/5,7.5,8.9,5.7
1984/2/6,6.0,9.0,3.1
1984/2/7,4.5,6.3,2.8
1984/2/8,5.5,7.8,4.3
1984/2/9,6.2,8.4,5.2
1984/2/10,7.6,10.0,3.3
1984/2/11,10.5,12.7,7.7
1984/2/12,13.1,14.8,12.1
1984/2/13,12.2,14.7,9.9
1984/2/14,11.4,14.2,10.0
1984/2/15,10.0,12.4,8.3
1984/2/16,11.7,14.2,9.5
1984/2/17,12.9,19.2,9.9
1984/2/18,9.2,12.6,7.1
1984/2/19,9.6,13.2,5.6
1984/2/20,12.1,13.3,8.4
1984/2/21,13.4,16.6,10.8
1984/2/22,14.6,16.4,12.9
1984/2/23,16.7,19.1,14.6
1984/2/24,13.8,16.3,12.2
1984/2/25,14.5,17.0,12.1
1984/2/26,13.0,16.4,10.3
1984/2/27,7.9,10.3,6.3
1984/2/28,7.9,10.2,5.6
1984/2/29,6.8,9.7,4.8
1984/3/1,7.9,11.1,5.2
1984/3/2,11.9,14.5,8.3
1984/3/3,11.1,14.8,7.5
1984/3/4,7.7,10.2,6.5
1984/3/5,9.5,12.7,6.9
1984/3/6,12.9,16.6,8.6
1984/3/7,10.1,11.8,8.7
1984/3/8,10.5,13.5,8.0
1984/3/9,12.1,14.4,9.9
1984/3/10,11.0,13.2,8.2
1984/3/11,9.4,11.7,7.3
1984/3/12,13.0,17.0,9.4
1984/3/13,13.6,15.0,11.3
1984/3/14,13.4,15.1,12.2
1984/3/15,14.7,15.9,13.1
1984/3/16,14.6,16.5,13.0
1984/3/17,12.2,14.4,10.4
1984/3/18,12.4,14.6,10.0
1984/3/19,14.8,20.2,12.3
1984/3/20,12.4,14.8,10.9
1984/3/21,10.4,13.4,8.2
1984/3/22,8.5,9.4,7.4
1984/3/23,12.8,15.6,7.2
1984/3/24,14.7,16.8,13.7
1984/3/25,13.3,16.1,11.3
1984/3/26,12.0,13.9,9.3
1984/3/27,13.1,15.4,10.3
1984/3/28,11.7,15.5,9.0
1984/3/29,14.8,18.3,9.9
1984/3/30,17.5,19.7,15.3
1984/3/31,19.0,22.4,15.5
