ダウンロードした時刻：2017/07/24 15:40:30

,水戸,水戸,水戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,3.2,9.5,-2.1
1998/1/2,5.4,9.3,0.8
1998/1/3,5.1,13.4,-0.9
1998/1/4,4.1,8.5,-0.3
1998/1/5,3.6,8.2,-1.3
1998/1/6,3.8,12.4,-4.1
1998/1/7,1.5,8.2,-3.7
1998/1/8,0.6,5.1,-2.8
1998/1/9,1.4,5.5,-2.1
1998/1/10,0.8,8.0,-4.9
1998/1/11,3.2,7.0,-1.7
1998/1/12,1.2,4.0,0.3
1998/1/13,2.3,7.9,-1.9
1998/1/14,2.7,9.4,-2.7
1998/1/15,1.7,3.8,0.3
1998/1/16,3.4,7.9,-1.1
1998/1/17,3.0,9.0,-3.2
1998/1/18,6.8,12.2,3.4
1998/1/19,3.9,7.6,-0.4
1998/1/20,2.3,8.6,-4.1
1998/1/21,3.9,12.0,-2.7
1998/1/22,2.0,10.1,-4.1
1998/1/23,2.9,7.0,-0.5
1998/1/24,2.3,9.1,-1.9
1998/1/25,0.5,6.3,-4.3
1998/1/26,2.5,11.1,-6.1
1998/1/27,1.4,6.7,-3.8
1998/1/28,1.9,8.8,-1.3
1998/1/29,0.3,6.0,-5.4
1998/1/30,1.0,7.5,-5.5
1998/1/31,3.4,14.2,-3.0
1998/2/1,2.1,7.3,-4.5
1998/2/2,2.9,9.6,-2.5
1998/2/3,4.5,11.5,-3.4
1998/2/4,3.9,9.8,-2.3
1998/2/5,1.4,9.0,-5.7
1998/2/6,2.4,10.9,-5.4
1998/2/7,2.9,7.5,-3.5
1998/2/8,4.8,10.6,2.2
1998/2/9,4.5,10.2,-1.1
1998/2/10,1.5,6.4,-3.0
1998/2/11,2.7,8.6,-3.4
1998/2/12,5.8,12.1,1.5
1998/2/13,7.6,14.9,-0.2
1998/2/14,8.3,17.9,3.5
1998/2/15,1.0,6.0,-2.1
1998/2/16,1.5,7.7,-3.2
1998/2/17,2.0,6.9,-1.3
1998/2/18,1.4,8.2,-4.2
1998/2/19,3.8,12.6,-4.0
1998/2/20,6.4,12.0,0.6
1998/2/21,3.2,7.8,-0.3
1998/2/22,0.9,5.9,-3.3
1998/2/23,4.2,12.2,-1.9
1998/2/24,3.6,6.9,-0.2
1998/2/25,5.6,8.0,3.3
1998/2/26,7.0,12.2,4.5
1998/2/27,8.2,14.7,4.8
1998/2/28,6.5,11.8,2.7
1998/3/1,4.1,5.9,2.5
1998/3/2,4.9,12.7,-0.3
1998/3/3,5.2,13.2,-1.3
1998/3/4,7.7,16.3,-0.4
1998/3/5,3.9,5.6,0.8
1998/3/6,4.5,10.9,0.2
1998/3/7,4.6,12.9,-0.3
1998/3/8,4.0,10.6,-1.3
1998/3/9,6.0,14.7,-1.0
1998/3/10,3.8,8.8,-1.3
1998/3/11,4.2,10.4,-3.8
1998/3/12,8.6,10.9,5.3
1998/3/13,9.1,14.8,4.8
1998/3/14,9.5,16.1,1.8
1998/3/15,5.1,9.7,0.2
1998/3/16,4.3,9.8,-1.8
1998/3/17,3.6,9.1,-0.1
1998/3/18,4.0,12.1,-1.4
1998/3/19,8.2,16.8,-1.8
1998/3/20,14.4,18.5,8.8
1998/3/21,7.6,10.1,5.0
1998/3/22,5.0,7.7,1.4
1998/3/23,5.3,11.0,-1.0
1998/3/24,7.3,13.4,2.8
1998/3/25,8.5,13.5,3.9
1998/3/26,9.0,17.1,1.4
1998/3/27,9.3,12.8,5.5
1998/3/28,12.1,18.9,7.3
1998/3/29,14.6,24.2,5.1
1998/3/30,14.9,25.0,7.1
1998/3/31,9.7,12.5,5.6
1998/4/1,5.1,8.9,2.2
1998/4/2,3.5,5.0,0.6
1998/4/3,5.2,12.1,-1.3
1998/4/4,9.0,15.0,2.7
1998/4/5,12.5,20.0,5.4
1998/4/6,11.8,13.2,10.8
1998/4/7,11.1,12.8,9.7
1998/4/8,13.5,18.8,9.4
1998/4/9,8.5,9.6,7.6
1998/4/10,13.6,21.8,6.7
1998/4/11,15.1,22.6,7.4
1998/4/12,13.5,16.2,10.2
1998/4/13,20.6,24.2,15.8
1998/4/14,21.1,22.5,19.3
1998/4/15,10.1,19.9,8.4
1998/4/16,10.0,13.5,7.7
1998/4/17,10.2,11.6,8.8
1998/4/18,11.7,17.5,8.2
1998/4/19,14.6,20.8,9.1
1998/4/20,17.1,24.3,10.4
1998/4/21,19.5,27.0,12.0
1998/4/22,20.9,27.5,15.9
1998/4/23,20.8,26.2,14.8
1998/4/24,20.0,22.9,17.4
1998/4/25,19.3,23.1,12.5
1998/4/26,9.8,13.4,8.5
1998/4/27,11.3,13.5,8.7
1998/4/28,13.3,16.9,10.3
1998/4/29,17.7,23.5,14.1
1998/4/30,16.5,21.1,12.9
1998/5/1,15.6,18.6,12.6
