ダウンロードした時刻：2017/07/24 15:46:43

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,3.4,8.6,-2.4
1981/1/2,2.6,6.0,0.9
1981/1/3,1.6,4.6,0.3
1981/1/4,1.2,5.2,-2.8
1981/1/5,2.9,4.8,1.0
1981/1/6,1.5,5.8,-2.1
1981/1/7,1.8,8.9,-3.5
1981/1/8,3.1,10.5,-2.5
1981/1/9,5.1,10.0,-0.3
1981/1/10,4.8,7.3,1.8
1981/1/11,2.5,4.9,-0.4
1981/1/12,4.1,7.3,2.0
1981/1/13,4.0,7.4,2.1
1981/1/14,2.0,7.7,-2.2
1981/1/15,3.0,9.4,-2.0
1981/1/16,2.3,5.7,-0.5
1981/1/17,2.6,8.0,-0.4
1981/1/18,3.4,6.1,-0.5
1981/1/19,2.6,6.3,-0.6
1981/1/20,3.1,9.4,-2.0
1981/1/21,2.5,6.2,0.0
1981/1/22,1.4,6.1,-2.2
1981/1/23,2.0,9.1,-4.3
1981/1/24,8.8,12.1,2.9
1981/1/25,6.5,10.8,0.9
1981/1/26,2.8,7.3,0.1
1981/1/27,2.5,8.0,-0.7
1981/1/28,3.3,9.3,-1.3
1981/1/29,3.8,10.5,-0.6
1981/1/30,3.4,9.7,-2.1
1981/1/31,3.9,7.9,0.6
1981/2/1,5.2,9.6,1.4
1981/2/2,4.1,11.2,-1.0
1981/2/3,3.4,9.4,0.3
1981/2/4,2.8,8.0,-0.4
1981/2/5,3.3,9.7,-2.3
1981/2/6,5.0,11.9,0.2
1981/2/7,3.8,8.4,-0.4
1981/2/8,4.7,10.0,0.3
1981/2/9,6.8,12.1,2.5
1981/2/10,6.5,10.1,4.1
1981/2/11,6.3,11.8,1.1
1981/2/12,5.1,8.2,-0.1
1981/2/13,10.5,13.2,7.7
1981/2/14,10.8,14.9,6.2
1981/2/15,10.8,16.1,5.8
1981/2/16,12.0,18.3,7.0
1981/2/17,6.5,10.7,4.1
1981/2/18,8.8,14.3,3.9
1981/2/19,8.2,11.7,4.5
1981/2/20,6.4,10.7,1.5
1981/2/21,6.5,10.7,3.6
1981/2/22,6.7,10.7,1.4
1981/2/23,9.3,12.2,6.9
1981/2/24,7.5,10.7,4.3
1981/2/25,0.7,4.5,-1.9
1981/2/26,-3.0,-0.6,-4.7
1981/2/27,-0.5,3.8,-3.5
1981/2/28,2.1,8.5,-3.8
1981/3/1,2.9,3.9,0.6
1981/3/2,6.1,10.8,1.8
1981/3/3,5.5,7.0,3.4
1981/3/4,8.3,14.0,5.1
1981/3/5,7.0,13.7,2.1
1981/3/6,4.2,9.7,0.5
1981/3/7,5.9,13.1,-1.4
1981/3/8,8.9,15.7,0.6
1981/3/9,8.8,14.3,6.0
1981/3/10,6.5,11.4,2.2
1981/3/11,7.4,14.6,0.1
1981/3/12,10.5,14.5,5.9
1981/3/13,15.7,20.5,11.6
1981/3/14,13.4,14.7,11.9
1981/3/15,9.1,12.4,5.9
1981/3/16,8.1,14.0,3.9
1981/3/17,9.4,17.5,2.3
1981/3/18,11.4,18.2,4.3
1981/3/19,12.6,16.5,8.8
1981/3/20,16.2,22.4,10.2
1981/3/21,12.6,15.5,11.5
1981/3/22,12.6,17.9,7.7
1981/3/23,13.8,20.9,7.0
1981/3/24,12.8,15.2,9.9
1981/3/25,14.2,16.7,11.0
1981/3/26,10.0,13.1,6.5
1981/3/27,8.8,15.1,3.8
1981/3/28,10.4,14.8,6.6
1981/3/29,11.5,14.2,9.5
1981/3/30,13.3,18.0,10.2
1981/3/31,12.5,18.6,8.1
1981/4/1,13.3,16.2,11.4
1981/4/2,10.3,13.9,5.1
1981/4/3,10.0,16.9,2.2
1981/4/4,11.5,14.7,8.5
1981/4/5,14.7,19.2,11.8
1981/4/6,12.8,17.6,9.2
1981/4/7,15.4,24.0,6.5
1981/4/8,17.1,22.7,11.9
1981/4/9,14.9,16.2,13.1
1981/4/10,14.8,17.6,12.4
1981/4/11,16.4,22.8,10.4
1981/4/12,16.2,20.3,13.8
1981/4/13,14.9,20.5,9.8
1981/4/14,13.4,20.1,6.5
1981/4/15,12.6,14.2,10.6
1981/4/16,15.6,20.3,12.9
1981/4/17,14.4,21.0,9.9
1981/4/18,14.5,19.7,8.0
1981/4/19,13.2,17.3,11.5
1981/4/20,11.2,15.4,6.9
1981/4/21,12.2,20.0,4.7
1981/4/22,14.1,21.9,6.7
1981/4/23,15.1,22.6,7.8
1981/4/24,16.3,21.4,10.9
1981/4/25,15.8,21.8,11.2
1981/4/26,15.5,23.5,8.1
1981/4/27,16.4,23.1,9.3
1981/4/28,18.7,25.9,9.9
1981/4/29,16.7,17.8,15.7
1981/4/30,17.6,22.9,12.9
1981/5/1,19.0,27.6,11.1
