ダウンロードした時刻：2019/10/10 16:19:51

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,8.0,14.6,1.8
1988/12/2,9.6,14.5,4.4
1988/12/3,8.3,14.2,4.5
1988/12/4,8.2,12.8,3.4
1988/12/5,4.9,7.9,1.5
1988/12/6,6.3,12.2,-0.7
1988/12/7,15.3,17.5,7.0
1988/12/8,15.4,17.5,11.3
1988/12/9,6.5,11.3,3.3
1988/12/10,5.9,8.8,2.7
1988/12/11,6.6,10.4,3.6
1988/12/12,8.8,14.4,3.0
1988/12/13,13.0,16.4,5.9
1988/12/14,8.1,15.4,4.2
1988/12/15,3.1,5.1,1.8
1988/12/16,1.8,4.8,-0.3
1988/12/17,3.3,8.1,0.2
1988/12/18,7.1,9.5,1.4
1988/12/19,10.3,13.9,5.3
1988/12/20,9.6,13.1,5.8
1988/12/21,8.5,13.2,4.3
1988/12/22,8.0,12.7,4.3
1988/12/23,9.4,14.2,5.9
1988/12/24,10.8,13.0,8.2
1988/12/25,6.0,10.6,1.6
1988/12/26,4.8,12.2,-0.9
1988/12/27,5.6,10.7,0.0
1988/12/28,6.8,9.7,3.9
1988/12/29,7.9,9.1,6.5
1988/12/30,6.9,12.4,3.2
1988/12/31,8.2,12.7,3.4
1989/1/1,5.0,9.7,1.6
1989/1/2,5.5,12.0,0.4
1989/1/3,7.2,12.3,2.0
1989/1/4,6.8,11.4,2.1
1989/1/5,7.5,12.1,4.4
1989/1/6,9.6,13.7,4.9
1989/1/7,13.9,15.3,11.1
1989/1/8,13.6,16.0,12.9
1989/1/9,13.0,13.8,12.4
1989/1/10,12.4,15.4,9.9
1989/1/11,11.2,13.0,9.0
1989/1/12,8.0,9.1,7.2
1989/1/13,6.4,7.9,4.1
1989/1/14,4.6,8.3,2.9
1989/1/15,4.7,7.4,2.2
1989/1/16,5.5,11.9,2.3
1989/1/17,6.7,13.5,0.6
1989/1/18,11.4,17.2,5.1
1989/1/19,13.7,17.8,12.6
1989/1/20,10.0,13.5,8.4
1989/1/21,9.1,13.3,5.9
1989/1/22,9.3,11.2,5.6
1989/1/23,8.6,10.3,5.9
1989/1/24,5.8,10.2,1.6
1989/1/25,6.4,11.4,1.0
1989/1/26,8.4,12.0,6.3
1989/1/27,1.5,6.3,-1.1
1989/1/28,1.3,6.1,-1.9
1989/1/29,4.4,9.4,0.8
1989/1/30,5.6,11.8,-1.2
1989/1/31,7.9,10.3,4.9
1989/2/1,4.7,8.9,0.3
1989/2/2,1.7,3.7,-0.7
1989/2/3,2.3,8.1,-3.5
1989/2/4,6.3,12.3,1.1
1989/2/5,7.2,12.6,1.9
1989/2/6,8.4,13.6,4.4
1989/2/7,10.1,11.8,6.6
1989/2/8,9.3,10.9,8.2
1989/2/9,7.1,9.8,5.2
1989/2/10,4.3,8.6,1.3
1989/2/11,3.8,8.3,0.2
1989/2/12,5.1,11.4,-0.6
1989/2/13,6.5,12.8,1.1
1989/2/14,8.2,13.0,3.5
1989/2/15,8.7,11.0,4.9
1989/2/16,12.8,16.0,10.7
1989/2/17,9.1,10.8,7.2
1989/2/18,7.9,9.2,6.2
1989/2/19,7.7,12.1,4.1
1989/2/20,8.8,12.7,2.6
1989/2/21,6.7,10.1,4.6
1989/2/22,7.8,11.6,2.9
1989/2/23,9.6,11.2,8.9
1989/2/24,9.8,11.2,8.5
1989/2/25,9.1,11.1,5.4
1989/2/26,7.1,11.6,3.0
1989/2/27,8.9,13.9,2.0
1989/2/28,14.1,17.1,10.6
1989/3/1,10.0,12.3,8.5
1989/3/2,10.0,11.4,8.6
1989/3/3,15.0,18.5,10.1
1989/3/4,9.1,17.2,7.3
1989/3/5,6.4,9.9,4.6
1989/3/6,5.0,8.0,2.3
1989/3/7,2.8,6.2,0.6
1989/3/8,3.9,9.1,0.2
1989/3/9,5.3,10.9,-1.0
1989/3/10,8.2,13.8,0.9
1989/3/11,10.5,15.1,6.4
1989/3/12,11.3,15.1,5.2
1989/3/13,12.4,14.1,10.7
1989/3/14,12.9,16.9,10.9
1989/3/15,10.2,15.1,5.8
1989/3/16,10.1,15.9,4.1
1989/3/17,8.0,12.3,4.7
1989/3/18,8.8,12.9,3.4
1989/3/19,11.1,14.7,9.0
1989/3/20,10.5,14.9,7.1
1989/3/21,9.7,14.0,5.5
1989/3/22,10.3,14.2,7.7
1989/3/23,10.6,13.1,9.3
1989/3/24,10.4,14.8,8.4
1989/3/25,10.2,13.8,7.8
1989/3/26,10.6,13.9,8.6
1989/3/27,10.7,16.1,6.4
1989/3/28,7.8,11.9,4.1
1989/3/29,11.8,15.8,4.1
1989/3/30,13.7,17.2,7.3
1989/3/31,15.3,18.6,11.6
