ダウンロードした時刻：2019/10/10 16:15:09

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,8.4,12.6,2.4
1985/12/2,10.0,12.6,6.4
1985/12/3,7.1,11.3,2.9
1985/12/4,9.6,11.8,5.4
1985/12/5,10.5,16.4,6.6
1985/12/6,8.3,12.6,6.4
1985/12/7,9.6,14.8,4.5
1985/12/8,10.4,14.7,8.4
1985/12/9,5.5,8.9,3.0
1985/12/10,3.3,6.3,1.3
1985/12/11,4.4,8.2,1.9
1985/12/12,3.9,7.1,1.5
1985/12/13,5.1,7.4,1.9
1985/12/14,6.4,8.1,3.9
1985/12/15,2.3,4.7,1.0
1985/12/16,2.1,5.0,-1.5
1985/12/17,2.1,5.1,-1.1
1985/12/18,2.3,7.4,-3.1
1985/12/19,5.8,8.2,2.2
1985/12/20,4.3,8.9,0.9
1985/12/21,5.8,11.5,0.0
1985/12/22,6.8,7.7,4.5
1985/12/23,6.9,9.7,4.4
1985/12/24,4.4,9.3,1.4
1985/12/25,5.7,10.9,0.3
1985/12/26,6.3,11.7,3.1
1985/12/27,6.8,12.0,1.2
1985/12/28,5.9,11.9,0.9
1985/12/29,7.6,12.3,2.0
1985/12/30,11.6,14.5,8.8
1985/12/31,9.7,12.5,5.1
1986/1/1,5.0,7.2,3.3
1986/1/2,2.5,4.8,0.5
1986/1/3,3.3,7.4,-1.6
1986/1/4,4.8,7.6,1.0
1986/1/5,0.0,1.4,-1.5
1986/1/6,1.7,4.4,-0.2
1986/1/7,3.7,7.9,1.2
1986/1/8,4.0,6.9,0.7
1986/1/9,2.9,5.5,1.5
1986/1/10,3.0,4.9,1.9
1986/1/11,2.3,5.5,-0.6
1986/1/12,2.2,7.0,-1.7
1986/1/13,3.8,7.7,0.3
1986/1/14,2.9,7.9,-1.5
1986/1/15,4.0,8.6,-0.1
1986/1/16,5.7,9.7,2.1
1986/1/17,5.7,11.1,1.5
1986/1/18,6.5,10.0,1.8
1986/1/19,5.8,8.7,1.1
1986/1/20,4.7,10.6,-1.1
1986/1/21,6.3,10.8,0.4
1986/1/22,4.8,7.2,2.7
1986/1/23,5.5,7.8,3.5
1986/1/24,5.6,8.6,0.3
1986/1/25,3.0,6.1,-0.9
1986/1/26,2.2,5.3,-0.7
1986/1/27,1.9,5.0,-1.0
1986/1/28,4.1,7.8,-1.4
1986/1/29,4.9,10.4,0.0
1986/1/30,5.1,8.4,1.2
1986/1/31,6.3,11.3,2.6
1986/2/1,5.1,10.1,1.7
1986/2/2,4.0,8.1,0.7
1986/2/3,3.7,9.1,-0.2
1986/2/4,1.8,4.7,-1.7
1986/2/5,2.1,5.7,-1.5
1986/2/6,1.9,6.0,-1.6
1986/2/7,1.6,5.8,-3.1
1986/2/8,1.7,4.7,-1.6
1986/2/9,2.7,7.8,-1.4
1986/2/10,3.3,8.0,-0.8
1986/2/11,3.7,8.7,0.2
1986/2/12,3.9,9.4,-1.0
1986/2/13,6.3,12.2,-0.1
1986/2/14,8.3,9.7,6.6
1986/2/15,5.8,9.3,1.0
1986/2/16,2.4,6.4,-1.0
1986/2/17,2.7,8.3,-2.5
1986/2/18,4.5,9.3,1.9
1986/2/19,6.4,10.1,3.7
1986/2/20,5.8,10.0,0.5
1986/2/21,4.8,8.3,0.5
1986/2/22,4.4,8.4,-0.5
1986/2/23,6.5,8.9,2.0
1986/2/24,3.1,5.9,-0.8
1986/2/25,2.8,7.2,-2.1
1986/2/26,4.8,9.3,-1.5
1986/2/27,3.1,6.9,-0.6
1986/2/28,2.7,6.6,0.0
1986/3/1,2.8,5.8,-1.2
1986/3/2,3.2,6.2,0.8
1986/3/3,5.4,8.6,1.0
1986/3/4,4.9,10.3,-1.0
1986/3/5,8.4,14.9,3.0
1986/3/6,6.2,13.7,-0.7
1986/3/7,7.7,14.4,1.2
1986/3/8,8.9,15.9,2.0
1986/3/9,13.1,19.4,4.5
1986/3/10,12.4,16.6,9.1
1986/3/11,8.4,10.6,5.7
1986/3/12,8.3,12.7,4.0
1986/3/13,10.1,14.7,4.7
1986/3/14,9.0,10.1,8.3
1986/3/15,10.5,12.3,8.8
1986/3/16,10.3,14.4,5.1
1986/3/17,6.7,13.1,2.4
1986/3/18,7.4,12.5,3.2
1986/3/19,8.7,12.3,6.8
1986/3/20,8.3,11.8,5.6
1986/3/21,8.7,13.7,3.1
1986/3/22,6.5,9.4,3.9
1986/3/23,5.1,10.0,0.6
1986/3/24,7.4,12.2,2.9
1986/3/25,7.9,13.5,1.6
1986/3/26,9.4,15.4,4.5
1986/3/27,9.5,12.6,5.4
1986/3/28,10.6,12.9,9.3
1986/3/29,12.2,17.7,9.2
1986/3/30,12.0,17.5,8.2
1986/3/31,10.8,15.9,6.4
