ダウンロードした時刻：2019/10/10 16:09:09

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,8.3,12.9,3.3
1985/12/2,8.0,12.0,2.9
1985/12/3,5.3,10.7,0.6
1985/12/4,6.9,9.2,3.3
1985/12/5,9.2,14.8,5.5
1985/12/6,7.6,11.5,4.8
1985/12/7,9.1,15.1,4.4
1985/12/8,8.9,12.3,6.5
1985/12/9,3.9,8.3,0.4
1985/12/10,2.5,6.5,0.1
1985/12/11,3.9,7.5,1.3
1985/12/12,3.7,6.1,2.4
1985/12/13,5.2,8.4,1.9
1985/12/14,5.6,9.1,2.0
1985/12/15,0.6,4.2,-1.4
1985/12/16,0.5,5.1,-2.9
1985/12/17,0.4,3.6,-1.2
1985/12/18,2.0,6.4,-2.4
1985/12/19,3.6,7.4,-0.3
1985/12/20,4.0,8.3,1.5
1985/12/21,4.7,9.1,0.9
1985/12/22,4.6,5.6,3.6
1985/12/23,5.6,10.3,3.1
1985/12/24,4.6,8.4,1.0
1985/12/25,4.4,9.9,-1.0
1985/12/26,6.2,11.3,2.8
1985/12/27,5.4,11.6,0.3
1985/12/28,4.9,11.0,0.7
1985/12/29,4.0,6.8,0.2
1985/12/30,8.7,11.5,6.6
1985/12/31,7.8,11.1,4.5
1986/1/1,2.8,4.7,1.1
1986/1/2,0.8,3.7,-1.0
1986/1/3,1.1,4.7,-2.8
1986/1/4,3.4,8.4,-0.9
1986/1/5,-1.5,0.9,-3.8
1986/1/6,0.7,4.1,-1.5
1986/1/7,2.3,5.8,-1.4
1986/1/8,2.2,6.7,0.0
1986/1/9,1.1,4.0,-1.1
1986/1/10,1.0,3.6,-1.0
1986/1/11,0.8,4.6,-1.2
1986/1/12,1.7,6.5,-2.0
1986/1/13,2.8,8.5,-0.4
1986/1/14,3.5,8.2,0.1
1986/1/15,3.3,7.6,-0.6
1986/1/16,5.1,8.2,2.4
1986/1/17,5.4,12.3,0.6
1986/1/18,5.5,9.3,2.0
1986/1/19,4.5,10.2,1.1
1986/1/20,5.0,11.4,-0.6
1986/1/21,6.0,9.4,3.7
1986/1/22,3.3,5.6,1.8
1986/1/23,4.2,6.1,1.5
1986/1/24,4.1,7.7,1.0
1986/1/25,2.7,6.6,-0.3
1986/1/26,2.1,5.7,0.5
1986/1/27,1.4,5.0,-1.1
1986/1/28,3.3,9.2,-2.0
1986/1/29,4.3,9.2,0.1
1986/1/30,4.5,8.9,0.2
1986/1/31,6.4,12.2,2.9
1986/2/1,4.0,8.9,1.3
1986/2/2,3.4,8.5,-0.2
1986/2/3,2.7,9.4,-0.4
1986/2/4,1.7,5.4,-0.8
1986/2/5,2.0,6.1,-0.5
1986/2/6,1.1,6.2,-1.4
1986/2/7,1.5,4.9,-2.0
1986/2/8,0.9,5.5,-1.9
1986/2/9,1.9,7.1,-1.9
1986/2/10,3.7,7.0,1.3
1986/2/11,3.7,9.4,-0.1
1986/2/12,3.7,9.4,-1.1
1986/2/13,5.4,11.3,-1.2
1986/2/14,7.5,9.9,4.9
1986/2/15,4.7,8.7,0.0
1986/2/16,1.3,5.5,-1.2
1986/2/17,2.0,7.1,-3.2
1986/2/18,1.7,3.8,0.3
1986/2/19,5.0,10.1,1.6
1986/2/20,4.3,9.3,1.5
1986/2/21,3.6,7.6,0.6
1986/2/22,3.8,9.2,-1.2
1986/2/23,4.9,10.2,0.7
1986/2/24,2.2,5.9,-0.3
1986/2/25,2.4,7.5,-1.0
1986/2/26,4.1,9.5,-1.9
1986/2/27,2.6,6.2,-0.8
1986/2/28,1.1,6.3,-1.0
1986/3/1,2.6,8.3,-1.1
1986/3/2,1.7,6.2,-1.8
1986/3/3,4.1,9.4,-1.3
1986/3/4,4.4,9.5,-0.7
1986/3/5,6.5,14.6,0.4
1986/3/6,5.8,11.9,-0.4
1986/3/7,7.5,12.7,1.2
1986/3/8,7.8,14.4,1.9
1986/3/9,10.4,17.6,2.6
1986/3/10,12.5,16.0,9.0
1986/3/11,7.4,9.8,4.1
1986/3/12,7.7,13.4,2.2
1986/3/13,8.3,13.7,2.1
1986/3/14,8.6,9.9,7.1
1986/3/15,10.7,13.8,9.4
1986/3/16,9.0,12.2,4.5
1986/3/17,6.4,12.5,1.6
1986/3/18,5.3,7.2,3.1
1986/3/19,8.5,13.1,5.4
1986/3/20,7.6,12.0,4.6
1986/3/21,7.5,12.4,2.7
1986/3/22,5.7,9.2,3.1
1986/3/23,6.4,9.5,3.0
1986/3/24,7.5,12.6,3.7
1986/3/25,6.9,12.9,0.9
1986/3/26,8.6,14.3,3.1
1986/3/27,8.7,12.8,4.6
1986/3/28,10.9,12.4,8.8
1986/3/29,13.5,18.6,10.9
1986/3/30,11.9,16.1,8.4
1986/3/31,11.4,17.0,7.1
