ダウンロードした時刻：2019/10/10 16:25:43

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,8.9,16.0,2.0
1988/12/2,8.8,17.0,2.2
1988/12/3,10.2,18.4,4.5
1988/12/4,10.5,15.4,4.9
1988/12/5,7.9,11.7,1.8
1988/12/6,5.4,13.6,-1.6
1988/12/7,8.8,17.5,1.1
1988/12/8,11.3,19.1,4.3
1988/12/9,10.0,14.4,3.8
1988/12/10,6.2,12.4,0.7
1988/12/11,6.8,14.5,1.4
1988/12/12,7.6,15.5,1.0
1988/12/13,10.0,17.0,4.4
1988/12/14,11.0,18.0,5.8
1988/12/15,6.9,10.8,3.4
1988/12/16,3.7,7.1,0.7
1988/12/17,4.6,11.6,-1.9
1988/12/18,6.7,14.2,-1.1
1988/12/19,11.8,18.8,4.4
1988/12/20,13.0,17.7,7.0
1988/12/21,12.7,18.0,7.3
1988/12/22,8.1,15.4,2.3
1988/12/23,8.5,15.9,2.7
1988/12/24,12.1,19.0,5.1
1988/12/25,11.3,15.6,6.1
1988/12/26,5.7,13.1,-0.8
1988/12/27,8.7,15.1,1.9
1988/12/28,7.9,13.8,2.3
1988/12/29,6.1,11.8,0.1
1988/12/30,9.0,15.2,2.9
1988/12/31,10.5,14.5,6.9
1989/1/1,10.1,15.8,2.6
1989/1/2,6.9,15.3,-0.3
1989/1/3,8.6,14.9,3.2
1989/1/4,7.4,14.0,1.5
1989/1/5,6.4,12.9,1.9
1989/1/6,9.5,15.1,2.9
1989/1/7,13.7,17.0,10.7
1989/1/8,17.3,22.0,14.8
1989/1/9,14.2,16.7,10.2
1989/1/10,11.7,17.2,7.6
1989/1/11,11.7,15.6,7.6
1989/1/12,13.7,17.2,10.9
1989/1/13,10.1,11.6,8.6
1989/1/14,8.9,10.6,7.5
1989/1/15,7.5,13.1,2.7
1989/1/16,7.9,13.5,2.2
1989/1/17,9.9,15.6,5.7
1989/1/18,12.7,18.2,7.7
1989/1/19,17.6,23.3,11.9
1989/1/20,14.9,18.2,9.2
1989/1/21,11.7,16.0,7.4
1989/1/22,9.9,11.4,8.6
1989/1/23,11.9,15.5,9.6
1989/1/24,9.0,14.3,4.4
1989/1/25,7.2,13.2,1.4
1989/1/26,9.6,14.1,6.0
1989/1/27,5.7,9.7,0.9
1989/1/28,3.4,8.8,-1.4
1989/1/29,3.3,9.8,-2.4
1989/1/30,6.7,12.4,0.0
1989/1/31,9.5,12.9,4.5
1989/2/1,8.4,12.0,4.0
1989/2/2,3.9,9.9,0.0
1989/2/3,4.1,10.7,-1.6
1989/2/4,5.5,11.9,-0.2
1989/2/5,6.6,12.4,-0.5
1989/2/6,7.5,11.0,4.2
1989/2/7,8.3,13.6,0.9
1989/2/8,12.4,16.7,9.3
1989/2/9,10.6,14.6,7.5
1989/2/10,6.5,9.9,3.3
1989/2/11,7.0,13.4,0.8
1989/2/12,8.3,14.8,1.6
1989/2/13,6.8,12.1,1.1
1989/2/14,5.8,12.4,-0.6
1989/2/15,7.8,11.4,1.3
1989/2/16,14.3,18.4,10.1
1989/2/17,16.8,19.9,14.6
1989/2/18,14.6,17.2,11.4
1989/2/19,11.0,14.4,8.6
1989/2/20,12.6,20.0,5.1
1989/2/21,14.0,18.1,11.7
1989/2/22,12.0,15.3,8.8
1989/2/23,10.0,11.9,8.6
1989/2/24,14.3,18.8,10.0
1989/2/25,15.3,23.9,10.1
1989/2/26,11.0,17.1,5.0
1989/2/27,9.1,14.6,1.3
1989/2/28,15.3,23.2,8.3
1989/3/1,14.6,19.8,11.4
1989/3/2,13.7,16.1,11.5
1989/3/3,18.6,22.7,13.6
1989/3/4,15.2,20.0,11.7
1989/3/5,10.7,16.8,6.1
1989/3/6,7.9,13.5,4.9
1989/3/7,5.7,10.0,2.5
1989/3/8,6.5,12.4,1.6
1989/3/9,7.0,13.6,-0.2
1989/3/10,6.8,13.5,0.5
1989/3/11,9.6,15.5,1.3
1989/3/12,12.1,16.7,5.8
1989/3/13,14.5,17.6,11.6
1989/3/14,15.5,21.4,11.1
1989/3/15,13.7,19.7,7.8
1989/3/16,12.3,18.1,5.1
1989/3/17,11.1,15.5,6.9
1989/3/18,9.0,14.6,1.2
1989/3/19,10.2,13.2,7.9
1989/3/20,11.0,15.6,6.3
1989/3/21,11.3,17.5,3.9
1989/3/22,10.3,15.5,4.0
1989/3/23,10.5,14.0,5.2
1989/3/24,13.0,16.9,8.8
1989/3/25,12.4,14.1,11.1
1989/3/26,11.4,13.3,8.2
1989/3/27,12.1,17.2,9.3
1989/3/28,10.7,16.8,6.8
1989/3/29,11.0,17.8,4.2
1989/3/30,12.6,17.9,4.3
1989/3/31,15.4,21.9,10.8
