ダウンロードした時刻：2019/10/10 16:07:51

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,8.4,13.5,3.7
2005/12/2,9.0,12.6,6.2
2005/12/3,8.0,12.5,4.5
2005/12/4,4.9,5.9,3.6
2005/12/5,3.5,7.0,0.6
2005/12/6,2.8,4.8,0.8
2005/12/7,4.9,9.9,0.3
2005/12/8,4.7,10.4,-0.2
2005/12/9,6.1,9.8,3.5
2005/12/10,6.9,11.6,3.4
2005/12/11,5.7,9.1,2.4
2005/12/12,3.8,9.1,0.8
2005/12/13,2.3,6.8,-0.3
2005/12/14,2.7,7.4,-0.9
2005/12/15,3.1,8.3,-0.5
2005/12/16,3.7,8.5,-1.3
2005/12/17,2.9,9.1,-0.7
2005/12/18,0.5,4.0,-2.6
2005/12/19,1.5,4.6,-0.6
2005/12/20,3.8,9.0,0.3
2005/12/21,4.0,8.2,0.2
2005/12/22,-0.6,3.4,-3.7
2005/12/23,2.0,6.2,-2.5
2005/12/24,2.4,5.3,-0.1
2005/12/25,3.7,9.0,-1.0
2005/12/26,4.2,6.8,1.6
2005/12/27,2.4,6.1,0.8
2005/12/28,3.1,7.1,1.1
2005/12/29,3.0,7.8,-0.7
2005/12/30,4.3,9.3,-0.3
2005/12/31,3.8,7.3,1.3
2006/1/1,4.1,10.3,-0.1
2006/1/2,5.1,8.9,2.7
2006/1/3,4.5,7.3,2.7
2006/1/4,3.6,5.7,2.1
2006/1/5,1.7,4.6,-1.4
2006/1/6,0.9,4.6,-1.4
2006/1/7,1.2,5.0,-0.8
2006/1/8,1.3,6.6,-2.9
2006/1/9,2.2,7.5,-1.9
2006/1/10,3.6,9.7,-1.2
2006/1/11,4.1,8.8,1.0
2006/1/12,4.0,10.0,-0.1
2006/1/13,6.3,11.0,0.5
2006/1/14,10.0,12.6,8.5
2006/1/15,8.1,12.1,4.0
2006/1/16,6.2,11.1,0.9
2006/1/17,6.2,10.0,3.8
2006/1/18,4.4,8.2,2.6
2006/1/19,2.2,5.7,0.8
2006/1/20,3.2,8.3,0.4
2006/1/21,4.0,7.5,0.9
2006/1/22,3.1,8.4,-0.2
2006/1/23,1.1,4.7,-1.3
2006/1/24,1.3,6.0,-2.4
2006/1/25,2.9,7.1,0.4
2006/1/26,2.6,7.2,-0.8
2006/1/27,4.1,9.7,0.2
2006/1/28,3.2,6.5,0.8
2006/1/29,4.0,11.1,-2.3
2006/1/30,7.4,8.8,5.9
2006/1/31,7.6,9.7,6.0
2006/2/1,7.5,10.1,5.6
2006/2/2,6.2,10.1,3.5
2006/2/3,3.8,8.5,-1.4
2006/2/4,-0.5,3.7,-3.0
2006/2/5,0.8,4.4,-1.7
2006/2/6,1.7,5.6,-1.4
2006/2/7,5.9,10.2,4.0
2006/2/8,4.2,9.0,1.6
2006/2/9,2.0,5.8,-0.3
2006/2/10,3.6,9.5,-2.2
2006/2/11,7.1,11.2,4.3
2006/2/12,2.7,6.2,-0.8
2006/2/13,3.9,11.1,-2.2
2006/2/14,7.2,13.0,-0.1
2006/2/15,10.9,16.7,6.8
2006/2/16,8.6,9.7,7.5
2006/2/17,5.5,9.2,1.2
2006/2/18,3.1,8.0,-0.3
2006/2/19,4.8,9.4,0.4
2006/2/20,4.4,5.6,2.5
2006/2/21,6.8,12.6,3.1
2006/2/22,10.7,17.8,4.2
2006/2/23,7.8,9.9,3.3
2006/2/24,6.3,13.9,1.5
2006/2/25,9.1,16.5,1.2
2006/2/26,11.4,13.1,9.0
2006/2/27,4.8,9.0,2.4
2006/2/28,4.2,7.5,0.0
2006/3/1,6.5,8.8,3.6
2006/3/2,4.9,9.2,2.0
2006/3/3,3.3,8.4,0.0
2006/3/4,4.2,10.5,-1.0
2006/3/5,7.8,15.3,0.0
2006/3/6,9.3,11.0,7.8
2006/3/7,9.1,15.8,3.2
2006/3/8,10.1,17.9,4.4
2006/3/9,9.8,14.2,3.7
2006/3/10,10.5,12.7,9.1
2006/3/11,12.5,17.9,8.8
2006/3/12,8.7,11.3,3.5
2006/3/13,2.4,5.9,0.5
2006/3/14,2.7,7.4,-0.3
2006/3/15,6.0,12.3,-0.4
2006/3/16,8.1,10.7,3.6
2006/3/17,8.0,10.9,4.1
2006/3/18,6.3,8.9,2.2
2006/3/19,6.2,9.3,2.1
2006/3/20,6.5,13.0,0.3
2006/3/21,7.6,13.8,2.2
2006/3/22,7.0,11.7,3.7
2006/3/23,10.6,15.9,7.5
2006/3/24,8.2,13.9,3.9
2006/3/25,8.6,16.8,1.4
2006/3/26,10.5,16.9,6.0
2006/3/27,12.2,19.1,5.2
2006/3/28,11.5,18.9,5.9
2006/3/29,5.1,9.2,2.9
2006/3/30,4.0,8.9,1.2
2006/3/31,4.6,9.9,0.6
