ダウンロードした時刻：2019/10/10 15:57:18

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/12/1,10.0,14.6,6.8
2006/12/2,10.3,16.1,6.5
2006/12/3,7.8,11.8,5.4
2006/12/4,7.3,11.8,3.9
2006/12/5,7.5,13.1,2.8
2006/12/6,8.7,14.1,4.6
2006/12/7,7.5,10.3,3.9
2006/12/8,10.7,14.3,8.7
2006/12/9,9.3,10.2,8.1
2006/12/10,9.9,13.9,5.2
2006/12/11,7.9,13.9,3.4
2006/12/12,7.8,9.7,5.6
2006/12/13,6.8,9.8,3.6
2006/12/14,10.5,12.7,9.2
2006/12/15,11.1,15.8,8.1
2006/12/16,9.9,14.4,6.1
2006/12/17,9.3,14.0,5.5
2006/12/18,6.5,10.1,3.1
2006/12/19,6.1,10.8,1.4
2006/12/20,7.0,11.9,2.6
2006/12/21,8.5,12.8,3.6
2006/12/22,10.2,12.8,6.9
2006/12/23,9.7,14.0,6.2
2006/12/24,9.0,12.4,5.4
2006/12/25,7.5,11.5,2.5
2006/12/26,10.4,12.4,8.2
2006/12/27,13.1,16.3,10.1
2006/12/28,8.6,11.7,2.1
2006/12/29,2.7,4.5,1.0
2006/12/30,4.8,7.7,3.0
2006/12/31,5.9,9.7,2.5
2007/1/1,5.4,9.9,0.1
2007/1/2,8.8,10.4,6.5
2007/1/3,9.5,12.5,6.7
2007/1/4,8.2,12.3,5.7
2007/1/5,6.3,9.4,1.8
2007/1/6,6.9,9.8,4.2
2007/1/7,5.3,8.8,3.0
2007/1/8,6.6,11.0,3.7
2007/1/9,5.3,8.8,2.1
2007/1/10,6.1,11.8,1.0
2007/1/11,6.5,10.8,3.2
2007/1/12,7.6,12.4,3.2
2007/1/13,6.3,9.4,4.1
2007/1/14,5.5,8.9,2.7
2007/1/15,6.2,12.1,1.2
2007/1/16,6.4,10.0,2.4
2007/1/17,8.8,12.8,6.4
2007/1/18,8.6,12.7,6.3
2007/1/19,6.4,9.2,4.0
2007/1/20,5.9,9.0,1.7
2007/1/21,7.4,10.3,5.3
2007/1/22,7.3,12.5,3.7
2007/1/23,6.8,9.8,4.0
2007/1/24,7.1,11.9,4.3
2007/1/25,6.4,10.2,3.9
2007/1/26,5.8,9.4,1.3
2007/1/27,8.4,12.3,4.7
2007/1/28,6.9,10.5,3.9
2007/1/29,8.0,12.6,4.3
2007/1/30,7.1,11.2,3.7
2007/1/31,8.7,13.2,4.8
2007/2/1,5.8,9.3,3.1
2007/2/2,3.0,6.4,0.8
2007/2/3,5.6,10.7,0.9
2007/2/4,7.2,9.6,3.5
2007/2/5,6.2,11.7,-0.3
2007/2/6,11.5,16.7,5.7
2007/2/7,9.8,14.0,7.1
2007/2/8,9.0,13.4,4.4
2007/2/9,10.8,14.4,7.4
2007/2/10,11.0,13.2,8.1
2007/2/11,6.8,9.6,4.5
2007/2/12,8.2,14.1,2.7
2007/2/13,7.3,12.1,2.9
2007/2/14,11.3,16.9,5.2
2007/2/15,7.6,10.9,5.1
2007/2/16,6.6,10.5,4.5
2007/2/17,4.3,7.0,0.8
2007/2/18,9.2,14.0,5.7
2007/2/19,8.6,12.2,5.3
2007/2/20,7.4,11.8,1.6
2007/2/21,10.0,15.2,4.1
2007/2/22,9.1,13.1,3.1
2007/2/23,10.3,14.6,7.0
2007/2/24,5.8,9.8,2.8
2007/2/25,5.3,7.7,2.2
2007/2/26,8.4,11.7,5.0
2007/2/27,8.4,13.0,3.0
2007/2/28,8.4,12.8,5.8
2007/3/1,8.7,15.0,4.7
2007/3/2,8.1,12.3,3.8
2007/3/3,11.1,14.7,6.2
2007/3/4,14.1,18.3,10.5
2007/3/5,15.1,20.4,10.8
2007/3/6,7.8,12.1,3.1
2007/3/7,5.5,11.0,1.9
2007/3/8,5.5,11.0,0.9
2007/3/9,6.8,11.9,1.7
2007/3/10,8.5,14.1,2.3
2007/3/11,7.0,9.7,4.0
2007/3/12,6.2,10.1,3.7
2007/3/13,5.8,10.2,3.3
2007/3/14,6.7,11.3,3.2
2007/3/15,6.7,10.2,2.8
2007/3/16,7.4,13.4,2.6
2007/3/17,6.2,10.9,3.2
2007/3/18,5.4,10.3,1.6
2007/3/19,6.0,11.0,2.4
2007/3/20,6.3,11.5,2.5
2007/3/21,9.2,16.4,2.7
2007/3/22,9.4,14.8,3.9
2007/3/23,12.4,19.8,7.3
2007/3/24,10.2,11.9,8.4
2007/3/25,12.7,16.0,9.9
2007/3/26,13.7,20.1,6.3
2007/3/27,10.7,14.4,7.6
2007/3/28,14.1,20.7,8.0
2007/3/29,14.2,21.4,7.7
2007/3/30,13.3,18.1,9.2
2007/3/31,12.0,17.0,6.2
