ダウンロードした時刻：2019/10/10 15:46:19

,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,4.8,10.3,1.2
2001/12/2,3.7,9.9,-0.9
2001/12/3,5.8,10.4,0.8
2001/12/4,4.4,6.5,1.3
2001/12/5,5.1,9.5,1.2
2001/12/6,5.3,7.9,3.0
2001/12/7,1.7,3.1,0.7
2001/12/8,2.5,7.3,-0.5
2001/12/9,1.5,2.9,0.3
2001/12/10,0.9,5.0,-1.2
2001/12/11,0.8,4.0,-1.4
2001/12/12,1.6,7.8,-3.3
2001/12/13,5.7,9.0,0.2
2001/12/14,1.9,5.2,-0.7
2001/12/15,-0.9,-0.6,-1.2
2001/12/16,-0.5,2.9,-3.7
2001/12/17,-0.4,4.0,-4.8
2001/12/18,0.0,3.2,-3.2
2001/12/19,-0.9,3.5,-4.3
2001/12/20,0.0,3.5,-2.1
2001/12/21,-1.1,0.6,-3.1
2001/12/22,-0.8,1.9,-3.5
2001/12/23,-1.7,4.0,-6.6
2001/12/24,-1.3,5.4,-6.5
2001/12/25,0.0,4.6,-5.6
2001/12/26,0.3,3.3,-1.2
2001/12/27,0.5,4.4,-1.7
2001/12/28,-0.2,2.9,-1.8
2001/12/29,1.0,6.8,-3.9
2001/12/30,0.8,5.2,-2.2
2001/12/31,-0.6,3.2,-3.0
2002/1/1,0.1,6.3,-5.6
2002/1/2,-1.4,2.1,-4.8
2002/1/3,-3.4,-1.4,-5.2
2002/1/4,-1.1,1.5,-5.2
2002/1/5,-0.4,1.4,-2.9
2002/1/6,-2.1,1.5,-5.6
2002/1/7,-1.2,4.9,-8.7
2002/1/8,1.3,5.5,-2.2
2002/1/9,-0.6,2.3,-2.2
2002/1/10,0.5,4.7,-3.9
2002/1/11,1.0,3.7,-0.5
2002/1/12,1.7,7.5,-3.7
2002/1/13,3.0,6.0,1.3
2002/1/14,3.2,8.8,-0.7
2002/1/15,3.1,8.5,-1.5
2002/1/16,3.0,5.3,1.8
2002/1/17,1.2,3.8,-2.2
2002/1/18,-0.1,4.4,-3.4
2002/1/19,-0.2,4.0,-3.2
2002/1/20,1.9,8.0,-5.1
2002/1/21,4.9,8.1,2.8
2002/1/22,2.7,7.4,-1.6
2002/1/23,0.5,4.9,-2.7
2002/1/24,0.9,5.2,-1.2
2002/1/25,-0.3,3.6,-3.5
2002/1/26,-0.4,4.4,-6.5
2002/1/27,1.6,5.5,-0.1
2002/1/28,0.5,3.1,-1.8
2002/1/29,-1.1,1.2,-2.9
2002/1/30,-1.2,2.6,-5.0
2002/1/31,-1.4,3.1,-5.4
2002/2/1,-2.7,3.7,-8.3
2002/2/2,-0.5,5.5,-6.3
2002/2/3,1.1,2.5,-0.2
2002/2/4,2.7,7.1,-0.4
2002/2/5,3.1,7.5,-1.3
2002/2/6,4.4,11.2,-0.3
2002/2/7,2.1,9.6,-2.0
2002/2/8,3.2,9.5,-2.4
2002/2/9,-0.6,2.8,-3.9
2002/2/10,-2.1,1.7,-4.3
2002/2/11,-2.1,0.7,-4.4
2002/2/12,-1.6,2.3,-4.3
2002/2/13,-1.7,2.0,-4.6
2002/2/14,-2.5,3.2,-7.3
2002/2/15,-1.6,3.9,-4.4
2002/2/16,0.3,7.1,-4.8
2002/2/17,1.9,7.7,-3.8
2002/2/18,0.1,4.9,-3.3
2002/2/19,-1.2,4.0,-3.9
2002/2/20,1.5,7.0,-3.3
2002/2/21,3.2,11.1,-3.6
2002/2/22,5.3,10.8,2.4
2002/2/23,2.8,7.0,0.6
2002/2/24,0.5,5.5,-2.4
2002/2/25,2.2,9.8,-3.1
2002/2/26,3.9,10.9,-1.2
2002/2/27,4.4,11.8,-0.9
2002/2/28,5.5,8.0,3.4
2002/3/1,6.5,11.3,4.2
2002/3/2,4.3,11.1,-0.9
2002/3/3,-0.1,4.4,-2.6
2002/3/4,2.2,10.5,-4.9
2002/3/5,2.8,7.8,-1.7
2002/3/6,5.8,11.0,1.1
2002/3/7,3.0,7.8,-0.3
2002/3/8,1.1,6.1,-2.3
2002/3/9,4.0,13.7,-3.8
2002/3/10,5.0,15.2,-2.2
2002/3/11,4.6,9.8,1.1
2002/3/12,3.6,13.3,-1.1
2002/3/13,4.1,10.1,-0.7
2002/3/14,8.3,18.4,-2.0
2002/3/15,11.8,18.9,5.5
2002/3/16,7.1,13.0,3.2
2002/3/17,9.4,20.7,1.9
2002/3/18,6.2,14.2,0.6
2002/3/19,8.3,15.8,1.5
2002/3/20,6.4,12.0,1.6
2002/3/21,10.0,19.1,0.5
2002/3/22,6.2,10.5,3.7
2002/3/23,3.8,10.1,0.3
2002/3/24,2.6,8.2,-1.1
2002/3/25,4.9,12.2,-1.1
2002/3/26,9.8,20.4,1.4
2002/3/27,5.7,8.6,1.0
2002/3/28,5.4,12.1,-0.5
2002/3/29,9.3,17.9,2.5
2002/3/30,8.4,11.2,4.0
2002/3/31,8.5,17.4,2.2
