ダウンロードした時刻：2019/10/10 16:05:12

,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/12/1,9.1,13.1,6.1
2006/12/2,6.8,12.1,3.4
2006/12/3,5.6,8.9,2.6
2006/12/4,5.7,9.4,2.8
2006/12/5,6.7,11.5,2.9
2006/12/6,7.4,13.4,3.7
2006/12/7,8.9,11.8,4.2
2006/12/8,8.9,10.4,7.6
2006/12/9,9.2,11.6,7.3
2006/12/10,8.2,9.8,4.5
2006/12/11,6.8,13.3,1.7
2006/12/12,8.9,13.1,6.2
2006/12/13,7.8,9.6,4.5
2006/12/14,9.1,11.0,7.1
2006/12/15,8.8,13.8,4.2
2006/12/16,8.8,13.8,3.0
2006/12/17,7.4,11.2,0.6
2006/12/18,3.9,6.5,0.7
2006/12/19,5.4,12.1,1.2
2006/12/20,6.1,13.5,0.7
2006/12/21,7.8,12.4,3.7
2006/12/22,8.1,12.4,5.9
2006/12/23,8.6,13.1,6.1
2006/12/24,7.8,10.0,2.5
2006/12/25,6.2,14.1,1.4
2006/12/26,7.2,10.7,3.6
2006/12/27,10.6,12.9,7.4
2006/12/28,4.5,9.6,-1.3
2006/12/29,2.9,5.6,-1.1
2006/12/30,3.7,6.0,2.3
2006/12/31,4.0,9.7,0.0
2007/1/1,4.9,12.5,-1.8
2007/1/2,7.6,10.5,4.6
2007/1/3,6.8,11.1,2.4
2007/1/4,5.4,9.8,1.3
2007/1/5,6.7,11.1,4.5
2007/1/6,7.1,13.5,2.6
2007/1/7,3.9,7.6,0.4
2007/1/8,3.6,7.4,0.7
2007/1/9,3.3,8.7,0.8
2007/1/10,4.3,10.5,-0.1
2007/1/11,4.7,8.1,3.2
2007/1/12,5.0,9.6,1.6
2007/1/13,2.9,4.7,1.8
2007/1/14,3.3,5.7,1.4
2007/1/15,4.1,11.4,-0.5
2007/1/16,6.6,12.9,0.9
2007/1/17,6.5,7.7,4.9
2007/1/18,5.9,11.2,3.4
2007/1/19,4.4,7.2,0.3
2007/1/20,4.3,11.1,-0.6
2007/1/21,5.0,10.6,0.5
2007/1/22,4.5,7.4,0.8
2007/1/23,5.0,8.9,1.5
2007/1/24,4.0,7.0,0.2
2007/1/25,5.7,9.7,0.8
2007/1/26,5.5,12.4,-0.3
2007/1/27,4.7,7.4,2.6
2007/1/28,4.3,9.7,0.7
2007/1/29,4.6,10.4,-1.2
2007/1/30,7.1,13.3,0.8
2007/1/31,6.2,9.7,1.8
2007/2/1,3.1,6.9,0.1
2007/2/2,0.5,1.0,0.1
2007/2/3,4.5,9.2,0.1
2007/2/4,5.3,9.2,-1.2
2007/2/5,5.7,15.5,-2.2
2007/2/6,8.4,14.9,2.8
2007/2/7,6.6,13.2,1.9
2007/2/8,7.3,13.2,0.6
2007/2/9,10.1,12.2,8.8
2007/2/10,7.9,10.5,4.7
2007/2/11,5.1,9.0,2.0
2007/2/12,5.8,12.6,0.9
2007/2/13,7.5,14.7,0.2
2007/2/14,12.8,17.5,7.2
2007/2/15,5.9,7.3,4.0
2007/2/16,5.7,9.9,0.0
2007/2/17,3.5,8.7,-1.3
2007/2/18,8.0,10.8,4.7
2007/2/19,7.4,11.2,1.9
2007/2/20,6.0,14.5,-1.2
2007/2/21,6.7,14.5,0.3
2007/2/22,9.9,16.9,1.1
2007/2/23,9.1,15.0,5.4
2007/2/24,4.9,7.6,1.2
2007/2/25,4.2,8.6,-1.0
2007/2/26,6.3,14.2,-0.7
2007/2/27,8.9,14.9,3.4
2007/2/28,6.7,8.9,2.1
2007/3/1,5.3,12.1,0.0
2007/3/2,7.6,16.0,0.4
2007/3/3,11.1,15.6,7.1
2007/3/4,16.0,23.3,10.0
2007/3/5,15.1,19.7,7.8
2007/3/6,3.0,8.1,0.0
2007/3/7,2.4,6.7,-0.9
2007/3/8,1.8,5.4,-0.3
2007/3/9,5.0,11.2,-0.6
2007/3/10,7.4,14.7,-0.5
2007/3/11,5.0,8.4,2.1
2007/3/12,5.0,7.3,1.7
2007/3/13,3.1,4.9,0.5
2007/3/14,5.3,12.7,-0.4
2007/3/15,4.8,9.0,1.7
2007/3/16,5.1,10.2,0.0
2007/3/17,5.9,9.2,3.1
2007/3/18,5.4,9.9,0.3
2007/3/19,2.5,6.9,-1.3
2007/3/20,4.5,9.9,0.0
2007/3/21,5.8,13.4,-2.0
2007/3/22,8.8,16.2,1.9
2007/3/23,10.7,17.8,3.8
2007/3/24,14.6,17.3,8.8
2007/3/25,12.5,16.7,6.3
2007/3/26,10.8,16.9,4.8
2007/3/27,12.8,18.1,7.5
2007/3/28,13.4,18.4,7.5
2007/3/29,13.1,18.1,9.6
2007/3/30,10.2,19.2,3.8
2007/3/31,12.8,20.3,3.4
