ダウンロードした時刻：2017/07/24 15:36:46

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,-2.0,0.7,-5.5
1984/1/2,-2.3,-0.3,-7.8
1984/1/3,-3.9,-1.2,-9.8
1984/1/4,-0.2,0.9,-1.7
1984/1/5,-2.4,0.7,-5.5
1984/1/6,-2.2,-0.4,-7.2
1984/1/7,-3.4,-1.8,-5.4
1984/1/8,-5.6,-1.7,-9.9
1984/1/9,-3.1,-1.0,-6.6
1984/1/10,-0.4,1.8,-2.8
1984/1/11,-3.0,-0.6,-4.6
1984/1/12,-3.6,-0.9,-5.2
1984/1/13,-3.4,0.0,-7.3
1984/1/14,-3.2,1.1,-8.0
1984/1/15,-1.6,1.1,-7.6
1984/1/16,-6.1,-4.7,-6.9
1984/1/17,-6.2,-5.2,-7.1
1984/1/18,-4.9,-3.7,-6.2
1984/1/19,-4.7,-2.7,-6.4
1984/1/20,-4.2,-2.4,-6.1
1984/1/21,-5.1,-1.9,-7.6
1984/1/22,-1.8,-0.1,-9.3
1984/1/23,-0.9,2.3,-3.2
1984/1/24,-2.5,-1.3,-3.4
1984/1/25,-3.6,-2.1,-6.5
1984/1/26,-4.6,-2.0,-8.0
1984/1/27,-4.7,-1.2,-12.6
1984/1/28,-3.7,-0.1,-8.3
1984/1/29,-2.8,0.7,-5.0
1984/1/30,-3.0,-1.5,-5.4
1984/1/31,-3.3,-2.2,-5.4
1984/2/1,-1.8,1.8,-8.9
1984/2/2,-0.9,2.5,-3.0
1984/2/3,-4.8,-2.3,-6.9
1984/2/4,-6.2,-5.0,-7.8
1984/2/5,-5.2,-3.2,-6.8
1984/2/6,-7.4,-6.4,-8.8
1984/2/7,-6.8,-5.5,-9.2
1984/2/8,-5.7,-4.5,-7.4
1984/2/9,-4.7,-2.7,-7.0
1984/2/10,-3.6,-1.1,-8.8
1984/2/11,-2.6,-0.2,-8.1
1984/2/12,-6.2,-0.6,-14.3
1984/2/13,-2.6,1.6,-6.3
1984/2/14,-2.7,0.4,-5.7
1984/2/15,-5.8,-2.2,-13.2
1984/2/16,-6.2,-3.7,-13.3
1984/2/17,-4.5,-2.6,-6.6
1984/2/18,-6.1,-2.3,-13.7
1984/2/19,-3.4,-2.0,-5.3
1984/2/20,-1.3,1.3,-3.3
1984/2/21,-1.7,1.6,-7.2
1984/2/22,-1.7,0.8,-5.5
1984/2/23,-1.2,-0.2,-4.4
1984/2/24,0.1,1.6,-2.3
1984/2/25,-1.3,1.2,-3.5
1984/2/26,-0.4,1.1,-3.2
1984/2/27,0.1,2.7,-2.7
1984/2/28,-3.1,-1.2,-5.1
1984/2/29,-4.0,-2.1,-5.3
1984/3/1,-4.3,-1.6,-10.1
1984/3/2,-2.8,2.0,-12.7
1984/3/3,-2.3,1.0,-9.6
1984/3/4,-5.6,0.8,-12.3
1984/3/5,-4.3,-0.8,-9.1
1984/3/6,-3.6,0.1,-8.4
1984/3/7,-1.3,0.6,-4.1
1984/3/8,-1.5,1.1,-4.9
1984/3/9,-3.1,1.6,-7.4
1984/3/10,-1.8,1.5,-10.1
1984/3/11,-1.5,0.1,-3.1
1984/3/12,-3.1,-1.4,-5.1
1984/3/13,-3.2,0.1,-6.3
1984/3/14,-3.2,2.2,-8.6
1984/3/15,-4.9,3.2,-14.2
1984/3/16,0.2,2.8,-7.6
1984/3/17,1.5,4.2,0.0
1984/3/18,0.9,2.3,-0.8
1984/3/19,1.3,4.6,-0.8
1984/3/20,0.2,2.5,-1.6
1984/3/21,-0.6,2.1,-4.1
1984/3/22,-3.1,-0.2,-7.4
1984/3/23,-2.8,1.0,-6.8
1984/3/24,-2.3,3.1,-9.7
1984/3/25,1.7,5.6,-2.0
1984/3/26,-0.8,1.8,-5.5
1984/3/27,-0.9,3.5,-5.6
1984/3/28,-1.9,2.6,-6.3
1984/3/29,-1.0,4.4,-6.3
1984/3/30,2.0,5.6,-0.2
1984/3/31,1.8,3.9,-1.7
1984/4/1,-0.3,6.2,-4.5
1984/4/2,-1.1,4.6,-9.3
1984/4/3,0.9,6.5,-6.3
1984/4/4,3.7,12.4,-1.6
1984/4/5,3.7,6.6,0.4
1984/4/6,2.9,6.5,0.5
1984/4/7,0.5,3.3,-3.9
1984/4/8,0.1,4.6,-4.4
1984/4/9,2.0,7.7,-5.8
1984/4/10,2.4,5.5,0.4
1984/4/11,4.4,11.7,0.3
1984/4/12,2.6,5.5,-1.4
1984/4/13,2.9,6.6,-1.5
1984/4/14,2.0,9.1,-4.2
1984/4/15,2.6,9.0,-4.3
1984/4/16,4.4,9.5,0.4
1984/4/17,4.9,11.4,1.8
1984/4/18,3.9,7.0,1.6
1984/4/19,1.9,3.6,0.4
1984/4/20,3.0,4.7,1.0
1984/4/21,5.1,9.4,1.6
1984/4/22,6.0,9.4,3.7
1984/4/23,5.1,9.5,0.9
1984/4/24,5.1,13.7,-1.3
1984/4/25,7.6,17.4,-1.4
1984/4/26,10.2,21.8,0.8
1984/4/27,10.9,21.7,1.2
1984/4/28,11.2,22.6,1.6
1984/4/29,7.4,11.0,4.3
1984/4/30,10.3,14.5,6.1
1984/5/1,12.2,16.3,8.6
