ダウンロードした時刻：2017/07/24 15:44:25

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/1/1,5.9,9.8,2.0
2012/1/2,5.3,8.7,2.9
2012/1/3,4.5,7.9,2.1
2012/1/4,3.5,6.7,0.6
2012/1/5,3.5,8.6,-0.2
2012/1/6,3.7,8.9,-1.8
2012/1/7,4.2,9.3,0.0
2012/1/8,4.1,9.4,-1.2
2012/1/9,6.4,11.6,3.2
2012/1/10,6.1,11.1,1.2
2012/1/11,5.6,10.4,1.4
2012/1/12,3.6,7.0,-1.2
2012/1/13,5.1,9.8,1.1
2012/1/14,6.0,10.2,2.3
2012/1/15,5.8,8.9,2.3
2012/1/16,5.5,6.6,4.3
2012/1/17,5.1,9.8,0.0
2012/1/18,5.3,10.3,0.1
2012/1/19,6.6,7.4,5.9
2012/1/20,8.3,11.2,5.6
2012/1/21,7.6,8.9,4.3
2012/1/22,7.2,12.0,2.4
2012/1/23,6.0,10.1,1.7
2012/1/24,2.1,6.3,0.3
2012/1/25,1.0,5.6,-1.4
2012/1/26,1.4,6.3,-2.9
2012/1/27,3.4,8.5,-0.6
2012/1/28,4.7,8.6,1.4
2012/1/29,3.6,8.8,0.0
2012/1/30,3.3,8.6,-0.4
2012/1/31,3.0,7.9,-1.2
2012/2/1,3.2,8.2,-0.5
2012/2/2,-0.2,3.4,-2.9
2012/2/3,0.9,5.2,-4.2
2012/2/4,3.7,8.1,0.0
2012/2/5,3.0,7.1,-1.3
2012/2/6,5.7,8.0,3.3
2012/2/7,7.2,10.7,3.8
2012/2/8,1.7,6.1,-1.5
2012/2/9,1.1,5.2,-2.6
2012/2/10,2.9,7.9,-2.1
2012/2/11,4.0,9.1,-1.0
2012/2/12,4.1,9.7,-1.4
2012/2/13,3.2,4.4,2.0
2012/2/14,5.6,6.9,4.3
2012/2/15,6.0,9.0,3.4
2012/2/16,3.9,8.0,0.9
2012/2/17,2.4,7.2,-0.4
2012/2/18,1.4,4.9,-1.6
2012/2/19,2.1,7.5,-3.2
2012/2/20,3.6,8.8,-1.9
2012/2/21,4.6,8.4,0.0
2012/2/22,6.6,9.2,4.4
2012/2/23,9.4,13.7,6.9
2012/2/24,8.6,12.1,6.4
2012/2/25,7.2,10.3,4.6
2012/2/26,4.7,7.2,1.4
2012/2/27,3.2,7.5,-0.8
2012/2/28,3.4,6.6,-0.9
2012/2/29,6.8,11.6,2.0
2012/3/1,8.4,13.3,3.4
2012/3/2,10.4,12.5,9.0
2012/3/3,9.4,12.5,6.8
2012/3/4,5.7,7.4,3.0
2012/3/5,9.7,11.4,7.3
2012/3/6,12.3,16.1,9.8
2012/3/7,10.6,13.2,8.3
2012/3/8,9.1,11.6,5.5
2012/3/9,7.1,9.7,5.7
2012/3/10,7.3,10.7,4.2
2012/3/11,4.4,10.8,0.7
2012/3/12,3.6,8.6,-0.1
2012/3/13,4.5,9.8,-0.2
2012/3/14,5.8,11.2,-0.3
2012/3/15,6.9,11.2,3.4
2012/3/16,6.4,10.4,1.2
2012/3/17,12.6,16.9,7.9
2012/3/18,12.0,14.5,10.0
2012/3/19,8.6,11.4,5.0
2012/3/20,7.5,13.9,1.2
2012/3/21,7.7,12.4,2.4
2012/3/22,9.9,16.1,2.8
2012/3/23,8.8,11.0,7.0
2012/3/24,10.1,13.7,6.3
2012/3/25,6.6,11.4,2.9
2012/3/26,5.5,9.5,1.8
2012/3/27,8.8,14.6,1.6
2012/3/28,10.5,17.7,4.7
2012/3/29,10.4,16.8,3.1
2012/3/30,14.5,20.5,7.5
2012/3/31,10.8,15.9,5.1
2012/4/1,8.7,13.9,3.5
2012/4/2,9.6,14.7,3.1
2012/4/3,12.0,18.3,6.1
2012/4/4,10.3,15.3,4.9
2012/4/5,13.3,17.0,9.6
2012/4/6,10.4,13.5,7.4
2012/4/7,7.3,11.5,3.9
2012/4/8,9.3,17.2,1.6
2012/4/9,15.0,21.9,6.4
2012/4/10,15.8,19.7,10.9
2012/4/11,14.9,16.3,13.7
2012/4/12,16.8,21.7,11.5
2012/4/13,14.2,18.7,11.6
2012/4/14,14.7,21.1,10.8
2012/4/15,12.6,18.7,6.1
2012/4/16,13.5,17.3,9.7
2012/4/17,14.9,21.1,9.6
2012/4/18,15.7,21.9,9.4
2012/4/19,16.4,22.4,11.4
2012/4/20,15.5,17.5,13.9
2012/4/21,17.8,22.3,13.3
2012/4/22,16.3,17.7,15.5
2012/4/23,18.8,23.8,14.9
2012/4/24,20.2,27.0,12.7
2012/4/25,19.0,23.5,14.8
2012/4/26,16.8,19.1,13.5
2012/4/27,17.0,23.7,9.6
2012/4/28,19.3,27.7,10.9
2012/4/29,19.5,25.2,13.9
2012/4/30,19.4,21.5,18.4
2012/5/1,21.2,25.4,16.9
