ダウンロードした時刻：2017/07/24 15:37:51

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,0.4,3.8,-2.8
1985/1/2,-0.1,2.5,-3.8
1985/1/3,-0.6,3.7,-4.3
1985/1/4,-0.9,2.7,-3.7
1985/1/5,-2.6,0.9,-4.5
1985/1/6,-3.7,-1.6,-5.6
1985/1/7,-3.4,0.1,-6.5
1985/1/8,-1.9,1.7,-5.1
1985/1/9,0.7,6.1,-4.6
1985/1/10,3.0,8.1,-0.8
1985/1/11,1.4,4.9,-1.3
1985/1/12,0.7,4.2,-2.1
1985/1/13,-0.6,4.1,-4.4
1985/1/14,-3.8,-1.1,-5.6
1985/1/15,-2.2,0.9,-5.6
1985/1/16,-1.3,2.1,-3.5
1985/1/17,-4.1,-1.2,-7.2
1985/1/18,-3.3,0.8,-7.2
1985/1/19,-1.5,3.0,-7.3
1985/1/20,3.0,10.4,-1.0
1985/1/21,0.3,3.1,-2.2
1985/1/22,1.6,6.1,-3.4
1985/1/23,1.3,3.9,-1.3
1985/1/24,-2.2,0.6,-4.0
1985/1/25,-4.1,-1.1,-5.9
1985/1/26,-3.9,-1.1,-6.0
1985/1/27,-2.5,0.5,-7.6
1985/1/28,1.7,7.7,-1.7
1985/1/29,-1.5,1.7,-4.3
1985/1/30,-3.6,-0.6,-5.9
1985/1/31,-0.2,4.5,-5.9
1985/2/1,4.3,9.3,0.0
1985/2/2,0.2,3.2,-3.0
1985/2/3,1.7,7.3,-3.7
1985/2/4,2.3,7.7,-2.9
1985/2/5,2.4,5.0,-1.1
1985/2/6,3.5,8.2,0.8
1985/2/7,4.0,10.4,-0.6
1985/2/8,1.7,3.4,-1.6
1985/2/9,1.6,6.0,-0.5
1985/2/10,6.6,11.7,2.6
1985/2/11,2.8,5.2,0.6
1985/2/12,3.2,7.3,-0.5
1985/2/13,2.8,9.5,-0.3
1985/2/14,0.4,3.5,-1.8
1985/2/15,-0.1,2.4,-1.9
1985/2/16,3.4,8.6,0.5
1985/2/17,3.5,6.9,-0.1
1985/2/18,4.4,8.1,1.2
1985/2/19,3.3,5.4,0.9
1985/2/20,5.6,7.1,2.3
1985/2/21,3.2,7.6,-1.4
1985/2/22,-0.6,2.7,-3.1
1985/2/23,1.7,4.4,-1.3
1985/2/24,1.7,5.7,-1.7
1985/2/25,2.1,5.3,0.1
1985/2/26,1.8,5.7,-1.2
1985/2/27,1.3,5.1,-1.3
1985/2/28,-0.9,-0.3,-2.0
1985/3/1,1.7,3.6,-1.1
1985/3/2,4.0,6.3,1.3
1985/3/3,2.5,7.6,-0.7
1985/3/4,1.7,6.2,-1.1
1985/3/5,3.4,7.4,-0.2
1985/3/6,1.4,5.3,-1.5
1985/3/7,3.0,8.2,-1.6
1985/3/8,4.4,6.2,2.8
1985/3/9,4.5,10.0,2.0
1985/3/10,1.1,4.7,-2.0
1985/3/11,-1.4,-0.1,-2.1
1985/3/12,2.8,5.5,-2.0
1985/3/13,3.8,8.3,-1.5
1985/3/14,1.3,3.1,-0.2
1985/3/15,1.5,4.7,-1.6
1985/3/16,1.6,4.9,-3.5
1985/3/17,3.9,8.1,-0.3
1985/3/18,7.6,13.7,3.2
1985/3/19,3.6,6.4,1.2
1985/3/20,4.6,9.1,0.7
1985/3/21,5.2,7.6,3.5
1985/3/22,5.3,10.3,1.4
1985/3/23,3.4,10.1,-0.9
1985/3/24,3.5,8.3,-0.9
1985/3/25,6.7,10.2,0.1
1985/3/26,10.0,15.1,3.3
1985/3/27,1.9,5.2,0.4
1985/3/28,5.6,10.4,1.8
1985/3/29,6.8,9.2,4.7
1985/3/30,5.9,9.4,1.7
1985/3/31,4.7,10.6,0.7
1985/4/1,5.8,9.7,0.7
1985/4/2,6.7,11.9,0.1
1985/4/3,10.4,16.4,3.8
1985/4/4,10.8,12.9,9.5
1985/4/5,11.3,14.4,8.7
1985/4/6,11.5,16.0,7.4
1985/4/7,8.8,11.0,5.9
1985/4/8,10.4,11.8,8.5
1985/4/9,9.7,16.7,6.3
1985/4/10,6.8,8.2,5.9
1985/4/11,8.7,11.2,6.8
1985/4/12,5.4,8.0,3.7
1985/4/13,6.2,9.2,3.9
1985/4/14,6.6,10.5,4.3
1985/4/15,6.3,8.2,4.4
1985/4/16,9.3,14.6,6.2
1985/4/17,9.6,15.0,6.1
1985/4/18,9.1,11.3,7.1
1985/4/19,9.1,12.6,4.5
1985/4/20,10.7,14.3,8.2
1985/4/21,11.4,17.6,7.4
1985/4/22,10.6,14.0,7.2
1985/4/23,12.2,13.7,10.4
1985/4/24,12.5,15.6,9.8
1985/4/25,13.6,19.6,9.6
1985/4/26,13.7,19.0,7.7
1985/4/27,12.1,15.4,8.9
1985/4/28,11.0,17.6,5.2
1985/4/29,11.2,16.3,5.8
1985/4/30,14.4,21.5,6.7
1985/5/1,14.0,19.7,8.0
