É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:55:11

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1983/12/1,8.7,13.7,2.3
1983/12/2,4.9,13.8,-1.7
1983/12/3,7.8,17.8,-1.1
1983/12/4,5.4,11.6,-0.2
1983/12/5,5.3,11.3,-1.1
1983/12/6,7.3,12.0,3.2
1983/12/7,3.7,10.2,-1.7
1983/12/8,5.4,13.7,0.5
1983/12/9,4.0,11.8,-2.6
1983/12/10,5.2,13.5,-1.2
1983/12/11,5.9,12.9,2.2
1983/12/12,5.4,11.9,-0.6
1983/12/13,2.6,10.2,-3.6
1983/12/14,4.9,15.6,-1.3
1983/12/15,2.9,8.7,-1.5
1983/12/16,3.6,11.4,-2.9
1983/12/17,2.1,9.4,-3.8
1983/12/18,1.8,6.4,-3.9
1983/12/19,-0.4,7.0,-6.9
1983/12/20,1.8,7.5,-3.6
1983/12/21,-0.3,6.9,-6.4
1983/12/22,1.3,6.1,-4.9
1983/12/23,4.1,12.8,0.2
1983/12/24,-0.1,3.7,-2.8
1983/12/25,0.9,6.5,-4.9
1983/12/26,-0.2,6.1,-6.4
1983/12/27,-1.4,6.2,-7.3
1983/12/28,-1.0,6.1,-6.7
1983/12/29,-0.2,6.7,-6.5
1983/12/30,-1.5,5.0,-5.9
1983/12/31,1.1,7.4,-5.8
1984/1/1,0.4,8.3,-6.1
1984/1/2,0.0,8.9,-6.3
1984/1/3,-0.2,4.5,-5.3
1984/1/4,2.7,9.6,-1.8
1984/1/5,0.3,5.4,-6.2
1984/1/6,1.4,6.7,-3.2
1984/1/7,0.4,9.0,-6.1
1984/1/8,-0.6,6.9,-6.7
1984/1/9,-0.4,7.9,-7.2
1984/1/10,1.1,9.7,-6.3
1984/1/11,3.2,7.6,-1.3
1984/1/12,-0.7,5.9,-6.7
1984/1/13,0.0,8.2,-6.8
1984/1/14,1.1,9.0,-4.4
1984/1/15,3.4,11.5,-5.1
1984/1/16,2.4,5.8,-3.7
1984/1/17,-0.2,5.8,-6.0
1984/1/18,0.2,5.9,-7.8
1984/1/19,-0.5,0.9,-1.5
1984/1/20,-2.7,1.4,-9.1
1984/1/21,-0.9,2.7,-6.0
1984/1/22,0.7,5.3,-1.7
1984/1/23,-0.2,7.4,-5.6
1984/1/24,-0.7,5.4,-6.8
1984/1/25,-1.0,4.9,-6.3
1984/1/26,-1.3,3.2,-6.0
1984/1/27,-0.9,6.4,-8.0
1984/1/28,-0.7,6.4,-5.9
1984/1/29,0.0,4.7,-4.2
1984/1/30,-1.3,4.0,-6.7
1984/1/31,-0.9,-0.2,-1.6
1984/2/1,0.1,6.5,-4.3
1984/2/2,-0.1,8.5,-6.0
1984/2/3,-1.5,5.6,-6.9
1984/2/4,-3.1,0.7,-7.1
1984/2/5,-2.2,3.8,-7.3
1984/2/6,0.0,5.9,-3.1
1984/2/7,-3.5,1.3,-7.5
1984/2/8,-3.6,3.4,-10.4
1984/2/9,-2.2,4.1,-9.0
1984/2/10,-1.2,4.9,-7.8
1984/2/11,-0.5,5.3,-6.9
1984/2/12,2.4,7.5,-2.7
1984/2/13,2.9,7.1,-0.4
1984/2/14,3.6,9.3,0.0
1984/2/15,1.9,6.5,-1.0
1984/2/16,1.1,7.2,-5.0
1984/2/17,-1.2,1.8,-3.2
1984/2/18,0.8,5.7,-2.5
1984/2/19,-0.1,7.0,-7.6
1984/2/20,1.5,7.2,-2.4
1984/2/21,2.6,9.9,-3.9
1984/2/22,4.5,9.6,-0.9
1984/2/23,2.1,4.4,0.4
1984/2/24,3.9,9.9,-0.7
1984/2/25,3.6,8.3,-1.4
1984/2/26,0.9,4.2,-0.1
1984/2/27,1.4,5.7,-1.6
1984/2/28,-0.3,4.8,-5.3
1984/2/29,-0.7,4.0,-6.5
1984/3/1,0.4,6.7,-6.1
1984/3/2,1.6,9.5,-6.2
1984/3/3,2.2,7.4,-3.5
1984/3/4,2.3,8.9,-2.9
1984/3/5,2.3,9.1,-3.3
1984/3/6,2.7,9.1,-4.6
1984/3/7,2.8,9.4,-3.3
1984/3/8,2.7,9.6,-4.8
1984/3/9,3.0,9.2,-4.1
1984/3/10,0.7,3.0,-0.9
1984/3/11,3.0,7.6,-1.4
1984/3/12,1.9,6.7,-5.1
1984/3/13,3.0,9.2,-2.8
1984/3/14,0.6,2.9,-0.1
1984/3/15,3.4,8.0,-1.0
1984/3/16,2.0,3.7,0.5
1984/3/17,5.6,12.9,1.8
1984/3/18,5.0,11.2,-1.5
1984/3/19,0.8,2.7,0.1
1984/3/20,1.7,3.9,0.0
1984/3/21,2.1,9.2,-3.3
1984/3/22,2.6,8.4,-3.2
1984/3/23,3.1,10.4,-4.7
1984/3/24,4.0,10.3,-1.0
1984/3/25,7.8,15.0,3.1
1984/3/26,7.8,15.2,1.8
1984/3/27,7.9,16.7,-0.9
1984/3/28,6.5,12.1,3.3
1984/3/29,8.5,18.6,-0.1
1984/3/30,10.7,19.5,1.3
1984/3/31,11.1,20.7,3.7
