ダウンロードした時刻：2019/10/10 16:13:36

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,14.6,18.1,12.6
1980/12/2,15.9,18.1,12.4
1980/12/3,15.1,18.3,12.9
1980/12/4,11.0,17.6,7.8
1980/12/5,10.1,13.2,8.1
1980/12/6,9.9,13.1,5.6
1980/12/7,10.7,14.4,7.7
1980/12/8,9.7,12.4,7.8
1980/12/9,9.1,12.5,7.7
1980/12/10,8.0,11.2,5.7
1980/12/11,10.7,15.1,5.7
1980/12/12,12.0,16.6,6.0
1980/12/13,5.5,9.5,3.8
1980/12/14,6.4,9.9,3.3
1980/12/15,5.8,8.5,4.5
1980/12/16,7.3,10.5,4.5
1980/12/17,8.4,12.0,6.3
1980/12/18,9.5,13.0,5.8
1980/12/19,9.3,11.7,8.0
1980/12/20,6.9,8.7,4.9
1980/12/21,6.1,9.7,3.8
1980/12/22,6.9,9.9,3.5
1980/12/23,7.3,8.8,5.8
1980/12/24,6.8,9.5,4.4
1980/12/25,9.1,12.0,7.0
1980/12/26,7.0,11.4,3.2
1980/12/27,3.7,6.0,1.8
1980/12/28,2.5,4.4,1.3
1980/12/29,2.1,4.2,0.6
1980/12/30,4.3,7.0,1.7
1980/12/31,4.8,7.7,2.4
1981/1/1,7.1,11.8,2.0
1981/1/2,7.3,13.4,3.9
1981/1/3,3.7,6.0,2.4
1981/1/4,3.4,6.0,1.9
1981/1/5,3.3,5.6,1.8
1981/1/6,3.5,5.9,2.0
1981/1/7,5.0,7.1,2.9
1981/1/8,6.4,10.0,3.3
1981/1/9,7.8,11.8,3.7
1981/1/10,6.5,10.1,3.3
1981/1/11,2.5,4.2,1.2
1981/1/12,3.8,5.8,1.9
1981/1/13,3.5,6.7,1.3
1981/1/14,3.2,6.5,0.6
1981/1/15,5.1,9.1,2.4
1981/1/16,4.8,8.7,2.2
1981/1/17,3.4,7.8,0.6
1981/1/18,5.3,8.8,1.3
1981/1/19,6.8,10.0,4.8
1981/1/20,5.7,8.8,3.4
1981/1/21,4.8,8.2,2.1
1981/1/22,3.3,6.8,1.6
1981/1/23,4.6,8.0,-0.2
1981/1/24,12.2,15.2,4.5
1981/1/25,10.4,14.6,6.3
1981/1/26,5.2,7.4,2.3
1981/1/27,3.8,8.0,1.4
1981/1/28,5.0,9.0,2.3
1981/1/29,6.7,10.9,3.6
1981/1/30,5.6,9.9,2.5
1981/1/31,7.9,11.9,2.6
1981/2/1,6.8,9.3,5.0
1981/2/2,5.9,10.3,3.9
1981/2/3,6.5,10.5,3.2
1981/2/4,3.4,6.9,1.5
1981/2/5,4.3,8.7,1.0
1981/2/6,6.6,11.0,1.7
1981/2/7,7.6,11.5,4.7
1981/2/8,7.5,10.7,4.3
1981/2/9,8.1,11.3,5.1
1981/2/10,7.3,10.8,5.1
1981/2/11,5.8,8.1,3.6
1981/2/12,8.7,12.3,3.2
1981/2/13,9.9,11.4,7.8
1981/2/14,12.3,15.0,10.3
1981/2/15,12.6,16.0,9.6
1981/2/16,15.4,19.1,12.1
1981/2/17,8.7,13.8,5.0
1981/2/18,8.8,10.9,5.0
1981/2/19,9.7,12.1,5.8
1981/2/20,7.9,12.1,3.9
1981/2/21,6.8,10.1,4.9
1981/2/22,7.5,10.9,3.3
1981/2/23,9.7,14.0,7.5
1981/2/24,10.4,13.6,6.4
1981/2/25,3.8,6.8,0.0
1981/2/26,-2.0,1.0,-5.0
1981/2/27,-0.6,3.4,-4.8
1981/2/28,4.2,8.6,-1.1
1981/3/1,4.2,7.8,1.9
1981/3/2,6.0,9.4,1.8
1981/3/3,8.2,11.5,5.4
1981/3/4,11.8,15.0,8.8
1981/3/5,9.1,12.3,6.3
1981/3/6,8.8,12.9,3.2
1981/3/7,9.5,12.6,4.9
1981/3/8,11.9,17.1,8.9
1981/3/9,10.6,13.7,8.4
1981/3/10,7.0,11.1,4.4
1981/3/11,6.4,11.4,1.9
1981/3/12,10.9,16.4,4.1
1981/3/13,13.0,14.9,11.0
1981/3/14,16.8,19.7,13.2
1981/3/15,13.1,19.4,8.1
1981/3/16,8.2,12.2,4.9
1981/3/17,10.1,14.2,5.6
1981/3/18,11.4,15.1,6.3
1981/3/19,12.7,16.4,10.1
1981/3/20,15.2,18.4,11.0
1981/3/21,12.3,15.0,11.0
1981/3/22,15.7,20.5,11.1
1981/3/23,14.7,18.1,10.6
1981/3/24,12.9,16.5,9.2
1981/3/25,18.1,20.0,12.8
1981/3/26,13.6,18.8,8.5
1981/3/27,10.2,14.3,7.3
1981/3/28,11.4,15.3,6.4
1981/3/29,11.7,15.7,9.8
1981/3/30,12.3,15.0,10.2
1981/3/31,9.5,10.9,8.5
