ダウンロードした時刻：2019/10/10 16:24:29

,延岡,延岡,延岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,11.5,17.9,6.8
1982/12/2,10.9,18.9,5.4
1982/12/3,11.4,20.0,6.4
1982/12/4,10.4,17.9,4.5
1982/12/5,10.7,14.6,7.8
1982/12/6,6.1,11.2,2.2
1982/12/7,6.8,13.6,1.4
1982/12/8,8.6,15.0,2.3
1982/12/9,9.6,14.7,5.1
1982/12/10,11.3,15.8,5.4
1982/12/11,14.8,23.3,9.2
1982/12/12,7.6,11.4,3.4
1982/12/13,5.6,10.4,1.2
1982/12/14,6.8,12.7,1.0
1982/12/15,6.2,13.7,0.0
1982/12/16,5.8,9.7,0.6
1982/12/17,7.7,12.1,2.9
1982/12/18,4.0,8.9,-1.3
1982/12/19,2.7,10.9,-3.1
1982/12/20,4.9,13.6,-1.3
1982/12/21,6.2,12.6,0.7
1982/12/22,9.8,13.5,6.3
1982/12/23,10.6,14.8,5.0
1982/12/24,8.3,17.3,1.5
1982/12/25,10.9,17.6,5.8
1982/12/26,6.9,9.6,2.0
1982/12/27,6.0,13.3,-0.4
1982/12/28,5.0,13.7,-0.5
1982/12/29,7.8,17.6,0.7
1982/12/30,9.0,16.7,3.0
1982/12/31,5.5,12.8,-0.6
1983/1/1,5.3,14.0,0.7
1983/1/2,7.3,15.0,0.9
1983/1/3,8.2,13.5,3.0
1983/1/4,6.3,13.5,-0.2
1983/1/5,11.0,13.7,7.6
1983/1/6,11.7,16.0,8.1
1983/1/7,12.4,16.5,8.2
1983/1/8,9.2,13.5,5.1
1983/1/9,4.8,11.7,-0.5
1983/1/10,2.8,8.5,-1.6
1983/1/11,3.1,9.3,-4.4
1983/1/12,6.2,8.3,4.1
1983/1/13,6.1,9.6,2.4
1983/1/14,3.2,11.4,-2.7
1983/1/15,4.9,12.6,-2.9
1983/1/16,6.2,14.4,0.1
1983/1/17,5.8,9.9,0.9
1983/1/18,9.2,13.2,5.1
1983/1/19,5.9,10.0,2.5
1983/1/20,2.5,6.7,-0.7
1983/1/21,2.2,7.5,-2.2
1983/1/22,1.4,6.9,-2.7
1983/1/23,2.1,9.7,-4.4
1983/1/24,5.4,13.9,-1.4
1983/1/25,5.9,13.7,-0.6
1983/1/26,6.0,15.4,-1.6
1983/1/27,6.7,14.9,-0.4
1983/1/28,8.9,17.3,1.6
1983/1/29,8.5,17.1,1.7
1983/1/30,11.3,21.6,6.6
1983/1/31,6.9,14.7,0.1
1983/2/1,8.7,11.2,3.9
1983/2/2,13.4,19.2,10.6
1983/2/3,9.1,14.0,2.8
1983/2/4,5.1,13.2,-1.1
1983/2/5,8.2,16.8,2.2
1983/2/6,9.5,18.2,1.8
1983/2/7,9.0,13.7,4.2
1983/2/8,6.9,11.6,3.6
1983/2/9,8.0,12.7,2.6
1983/2/10,5.3,9.6,1.9
1983/2/11,4.0,11.7,-3.5
1983/2/12,5.1,10.3,1.7
1983/2/13,2.6,10.0,-3.0
1983/2/14,2.9,9.6,-5.0
1983/2/15,9.2,19.4,3.0
1983/2/16,6.4,11.6,0.1
1983/2/17,6.2,7.9,2.6
1983/2/18,3.3,7.7,-0.4
1983/2/19,2.9,7.8,0.4
1983/2/20,3.1,10.1,-1.9
1983/2/21,2.0,10.6,-5.2
1983/2/22,4.2,12.5,-3.5
1983/2/23,7.1,12.0,1.3
1983/2/24,9.5,13.9,5.7
1983/2/25,8.6,14.7,3.6
1983/2/26,7.0,14.7,-0.3
1983/2/27,6.0,14.4,-0.9
1983/2/28,7.7,15.4,0.8
1983/3/1,10.8,13.0,7.5
1983/3/2,15.5,22.3,12.3
1983/3/3,12.7,18.3,8.8
1983/3/4,7.8,14.0,2.6
1983/3/5,7.1,12.2,2.5
1983/3/6,7.8,15.0,0.5
1983/3/7,7.6,14.4,1.5
1983/3/8,5.5,11.1,1.1
1983/3/9,6.4,12.8,-1.1
1983/3/10,10.6,19.6,5.2
1983/3/11,9.3,17.6,2.2
1983/3/12,9.7,11.6,5.6
1983/3/13,10.7,16.8,6.6
1983/3/14,7.8,13.4,3.3
1983/3/15,8.2,13.0,2.0
1983/3/16,9.3,10.6,7.9
1983/3/17,8.3,11.8,4.4
1983/3/18,7.1,13.6,0.9
1983/3/19,7.7,14.5,-0.5
1983/3/20,11.6,15.7,6.6
1983/3/21,14.3,19.4,11.8
1983/3/22,15.1,19.6,11.5
1983/3/23,17.1,19.7,14.6
1983/3/24,14.5,19.0,7.6
1983/3/25,12.0,18.2,6.6
1983/3/26,9.0,11.7,7.1
1983/3/27,11.2,14.0,8.4
1983/3/28,12.0,14.4,10.7
1983/3/29,11.1,13.6,9.1
1983/3/30,11.5,13.7,9.7
1983/3/31,12.1,13.7,10.3
