ダウンロードした時刻：2019/10/10 16:26:19

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,15.1,19.6,10.8
2016/12/2,11.5,17.2,7.0
2016/12/3,11.9,18.4,6.0
2016/12/4,14.8,20.7,10.1
2016/12/5,15.4,19.9,11.9
2016/12/6,13.7,17.4,7.3
2016/12/7,10.4,16.9,5.0
2016/12/8,10.4,16.4,6.4
2016/12/9,12.9,21.3,6.7
2016/12/10,10.9,16.5,6.4
2016/12/11,9.4,15.7,4.8
2016/12/12,10.8,16.8,4.2
2016/12/13,13.9,16.5,11.9
2016/12/14,12.8,17.0,9.1
2016/12/15,9.6,13.5,7.0
2016/12/16,7.0,11.7,3.3
2016/12/17,7.2,15.1,1.8
2016/12/18,9.2,17.3,2.4
2016/12/19,11.2,18.1,5.1
2016/12/20,14.4,20.3,9.6
2016/12/21,14.6,17.5,11.9
2016/12/22,16.3,20.3,14.1
2016/12/23,11.3,14.4,7.2
2016/12/24,8.7,13.5,4.1
2016/12/25,10.7,16.5,5.6
2016/12/26,14.3,19.2,9.1
2016/12/27,13.6,19.9,6.3
2016/12/28,6.7,11.5,2.6
2016/12/29,7.9,14.5,3.0
2016/12/30,5.5,11.9,-0.5
2016/12/31,7.2,14.7,1.4
2017/1/1,7.9,15.3,2.0
2017/1/2,11.4,19.3,5.0
2017/1/3,12.8,19.7,7.7
2017/1/4,10.5,18.3,4.9
2017/1/5,9.4,13.7,5.5
2017/1/6,8.1,11.3,5.9
2017/1/7,10.0,15.3,3.7
2017/1/8,13.6,16.6,12.2
2017/1/9,12.0,16.3,7.4
2017/1/10,9.0,14.4,4.8
2017/1/11,7.9,13.0,4.7
2017/1/12,7.3,10.8,5.1
2017/1/13,8.6,12.7,6.0
2017/1/14,6.5,10.3,3.3
2017/1/15,3.9,9.1,0.1
2017/1/16,4.4,11.6,-1.4
2017/1/17,5.1,11.6,-1.1
2017/1/18,7.5,9.9,4.8
2017/1/19,9.3,13.8,6.5
2017/1/20,7.9,12.1,3.9
2017/1/21,5.6,12.0,0.3
2017/1/22,6.3,12.6,1.3
2017/1/23,4.0,8.5,-0.2
2017/1/24,3.4,10.2,-2.3
2017/1/25,3.2,10.3,-3.3
2017/1/26,5.3,13.9,-1.8
2017/1/27,9.3,17.4,2.4
2017/1/28,9.3,15.2,3.2
2017/1/29,12.4,18.5,7.6
2017/1/30,13.4,17.7,4.8
2017/1/31,6.6,13.1,0.5
2017/2/1,9.1,13.9,5.2
2017/2/2,7.5,15.7,0.3
2017/2/3,8.1,17.0,0.2
2017/2/4,10.7,16.2,5.1
2017/2/5,12.4,16.7,9.2
2017/2/6,9.7,16.2,3.6
2017/2/7,6.7,12.8,0.9
2017/2/8,8.3,14.0,2.1
2017/2/9,7.1,10.7,3.2
2017/2/10,3.5,7.8,1.0
2017/2/11,4.1,9.2,1.1
2017/2/12,4.7,11.4,-0.6
2017/2/13,5.2,12.4,-2.3
2017/2/14,7.7,15.0,0.2
2017/2/15,6.9,13.7,0.2
2017/2/16,10.6,20.2,0.7
2017/2/17,14.9,22.8,7.9
2017/2/18,11.3,16.7,5.8
2017/2/19,9.0,15.0,2.3
2017/2/20,14.3,20.4,8.5
2017/2/21,8.0,12.5,3.0
2017/2/22,7.8,11.5,3.0
2017/2/23,12.3,15.2,7.9
2017/2/24,8.3,13.1,4.7
2017/2/25,8.2,13.4,3.3
2017/2/26,8.8,13.4,4.8
2017/2/27,8.8,14.2,3.0
2017/2/28,8.7,14.9,2.7
2017/3/1,7.9,12.5,3.2
2017/3/2,9.9,15.1,6.5
2017/3/3,9.3,15.0,4.6
2017/3/4,10.5,17.6,5.1
2017/3/5,8.9,11.6,5.2
2017/3/6,11.5,17.1,8.2
2017/3/7,9.1,14.2,4.3
2017/3/8,7.6,11.9,4.9
2017/3/9,8.8,14.2,4.6
2017/3/10,11.5,17.9,4.1
2017/3/11,9.7,15.3,3.1
2017/3/12,10.9,17.4,3.5
2017/3/13,10.7,11.8,9.5
2017/3/14,11.3,16.1,7.2
2017/3/15,9.7,14.7,4.6
2017/3/16,8.2,12.4,1.7
2017/3/17,10.7,16.0,5.6
2017/3/18,11.1,16.0,4.6
2017/3/19,12.7,17.5,8.3
2017/3/20,11.4,15.0,7.7
2017/3/21,14.3,19.2,9.7
2017/3/22,10.8,14.7,5.3
2017/3/23,9.4,10.8,8.3
2017/3/24,10.2,14.5,5.1
2017/3/25,9.0,10.8,7.4
2017/3/26,12.0,18.5,8.7
2017/3/27,10.6,15.8,7.3
2017/3/28,11.5,18.7,5.6
2017/3/29,11.7,16.3,7.9
2017/3/30,16.0,24.3,10.5
2017/3/31,12.3,14.2,10.4
