ダウンロードした時刻：2019/10/10 16:13:06

,和歌山,和歌山,和歌山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,7.5,10.8,4.6
1995/12/2,8.9,12.8,5.4
1995/12/3,8.8,13.3,4.4
1995/12/4,9.6,13.3,7.5
1995/12/5,8.0,10.7,5.2
1995/12/6,7.3,9.6,5.0
1995/12/7,6.8,10.4,3.9
1995/12/8,6.2,10.2,3.0
1995/12/9,6.4,8.7,2.9
1995/12/10,5.3,11.4,1.0
1995/12/11,7.5,13.0,0.9
1995/12/12,9.3,13.9,5.2
1995/12/13,7.8,11.3,3.3
1995/12/14,9.3,15.4,3.7
1995/12/15,11.2,13.8,8.5
1995/12/16,7.4,9.8,5.4
1995/12/17,7.1,11.2,4.1
1995/12/18,6.4,10.1,1.7
1995/12/19,6.5,9.2,4.3
1995/12/20,6.6,12.3,1.4
1995/12/21,7.6,11.0,5.0
1995/12/22,6.2,10.3,1.9
1995/12/23,6.7,12.7,1.9
1995/12/24,5.7,12.2,2.9
1995/12/25,2.7,3.4,1.2
1995/12/26,3.3,4.8,2.3
1995/12/27,4.3,7.2,0.9
1995/12/28,4.6,10.6,-1.0
1995/12/29,6.5,9.3,3.9
1995/12/30,4.9,7.9,2.9
1995/12/31,5.0,10.0,2.4
1996/1/1,6.4,11.2,3.0
1996/1/2,5.7,10.0,2.5
1996/1/3,7.5,15.6,1.1
1996/1/4,4.3,6.5,1.6
1996/1/5,4.6,10.3,-0.9
1996/1/6,7.8,13.7,2.3
1996/1/7,9.2,15.5,4.4
1996/1/8,8.9,16.2,2.9
1996/1/9,2.6,4.4,1.5
1996/1/10,5.2,7.5,3.4
1996/1/11,6.7,9.7,4.3
1996/1/12,6.1,10.3,1.7
1996/1/13,6.1,11.7,0.6
1996/1/14,10.1,15.0,3.7
1996/1/15,14.1,18.3,9.9
1996/1/16,11.1,13.6,6.9
1996/1/17,7.2,9.7,5.3
1996/1/18,5.4,7.0,2.9
1996/1/19,4.2,5.8,2.0
1996/1/20,6.7,10.4,4.4
1996/1/21,6.2,10.6,2.4
1996/1/22,4.0,5.1,2.9
1996/1/23,5.4,9.7,1.3
1996/1/24,5.3,7.8,3.2
1996/1/25,4.5,6.8,2.6
1996/1/26,3.1,6.3,1.0
1996/1/27,2.4,7.1,-1.0
1996/1/28,3.8,9.5,-1.2
1996/1/29,5.6,9.9,1.7
1996/1/30,4.9,7.5,2.1
1996/1/31,3.5,5.9,1.7
1996/2/1,2.9,5.5,1.1
1996/2/2,1.1,3.1,-0.8
1996/2/3,3.7,6.7,0.7
1996/2/4,4.5,9.8,-0.6
1996/2/5,5.2,12.7,0.1
1996/2/6,2.7,5.2,1.1
1996/2/7,3.1,6.5,0.6
1996/2/8,5.0,11.4,-1.4
1996/2/9,6.0,9.6,1.7
1996/2/10,2.6,5.8,0.6
1996/2/11,3.3,8.5,-1.5
1996/2/12,7.7,14.2,0.4
1996/2/13,11.2,16.0,6.5
1996/2/14,13.0,21.5,7.5
1996/2/15,10.5,13.9,5.5
1996/2/16,6.3,10.7,3.4
1996/2/17,1.9,3.6,0.0
1996/2/18,3.2,7.3,0.5
1996/2/19,3.2,6.7,1.0
1996/2/20,3.8,7.4,-0.1
1996/2/21,3.8,7.6,1.3
1996/2/22,2.7,7.3,-1.2
1996/2/23,4.0,8.6,-1.0
1996/2/24,4.2,8.7,-0.3
1996/2/25,4.4,7.9,2.3
1996/2/26,6.7,10.3,3.3
1996/2/27,6.6,11.9,4.4
1996/2/28,6.6,11.3,3.4
1996/2/29,8.0,13.7,1.5
1996/3/1,8.1,12.0,4.6
1996/3/2,6.2,10.0,3.6
1996/3/3,4.9,9.5,0.1
1996/3/4,6.7,12.6,1.0
1996/3/5,3.5,6.1,1.5
1996/3/6,4.2,9.0,-0.2
1996/3/7,6.1,15.6,0.8
1996/3/8,11.0,16.1,6.9
1996/3/9,6.9,10.2,4.6
1996/3/10,6.3,10.5,1.4
1996/3/11,6.9,12.7,2.1
1996/3/12,4.4,7.2,2.1
1996/3/13,6.1,9.2,1.9
1996/3/14,9.4,14.6,2.9
1996/3/15,11.4,19.4,8.0
1996/3/16,10.4,14.2,5.8
1996/3/17,16.2,20.6,12.2
1996/3/18,9.3,12.3,5.5
1996/3/19,6.7,11.2,1.3
1996/3/20,8.9,13.6,5.5
1996/3/21,10.9,17.1,5.1
1996/3/22,11.7,16.6,8.5
1996/3/23,7.2,9.4,4.5
1996/3/24,7.4,11.1,2.8
1996/3/25,9.3,13.0,7.7
1996/3/26,10.1,15.2,6.0
1996/3/27,10.4,15.2,5.7
1996/3/28,12.2,16.8,9.1
1996/3/29,11.0,14.6,8.7
1996/3/30,17.1,21.0,11.4
1996/3/31,14.5,17.9,11.9
