ダウンロードした時刻：2017/07/24 15:47:29

,延岡,延岡,延岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,11.9,17.5,7.5
1991/1/2,10.2,13.6,4.2
1991/1/3,5.1,12.0,-0.8
1991/1/4,5.8,10.2,1.6
1991/1/5,4.9,8.5,2.8
1991/1/6,4.9,10.2,0.4
1991/1/7,4.9,12.8,-1.0
1991/1/8,5.3,8.8,0.1
1991/1/9,4.4,10.6,-1.4
1991/1/10,6.7,14.3,-1.2
1991/1/11,6.2,8.4,4.0
1991/1/12,7.0,11.1,4.6
1991/1/13,5.1,9.2,0.8
1991/1/14,3.6,10.6,-2.0
1991/1/15,4.8,11.5,-0.9
1991/1/16,5.3,13.8,-1.3
1991/1/17,7.6,15.0,0.1
1991/1/18,4.7,14.0,-3.0
1991/1/19,5.2,12.1,-1.9
1991/1/20,9.3,11.7,7.2
1991/1/21,13.0,18.8,10.0
1991/1/22,11.2,15.1,4.5
1991/1/23,7.2,12.2,1.5
1991/1/24,6.0,10.3,1.4
1991/1/25,9.6,13.0,6.9
1991/1/26,6.7,11.8,2.3
1991/1/27,4.6,12.1,-0.6
1991/1/28,4.6,9.8,-0.7
1991/1/29,6.5,11.4,2.4
1991/1/30,5.8,12.4,-0.2
1991/1/31,4.1,11.1,-1.4
1991/2/1,6.7,14.1,0.5
1991/2/2,5.8,13.0,-1.0
1991/2/3,5.6,13.1,-2.0
1991/2/4,8.1,13.0,5.0
1991/2/5,4.8,13.4,-0.8
1991/2/6,5.9,11.5,-0.5
1991/2/7,8.1,14.6,4.0
1991/2/8,10.3,17.7,4.4
1991/2/9,7.2,14.7,-0.6
1991/2/10,13.8,21.4,9.1
1991/2/11,12.2,18.7,7.9
1991/2/12,8.9,15.8,2.6
1991/2/13,4.8,8.1,1.6
1991/2/14,9.7,13.4,5.8
1991/2/15,12.6,16.2,9.3
1991/2/16,8.0,12.8,2.7
1991/2/17,5.0,10.3,-0.5
1991/2/18,4.6,8.3,0.1
1991/2/19,5.6,10.0,-0.6
1991/2/20,3.6,9.4,-1.7
1991/2/21,3.8,8.2,0.9
1991/2/22,3.6,12.1,-2.2
1991/2/23,1.0,5.1,-1.4
1991/2/24,1.6,7.7,-2.9
1991/2/25,2.3,10.9,-4.2
1991/2/26,4.0,13.1,-2.9
1991/2/27,7.3,15.6,-1.0
1991/2/28,12.3,19.2,8.4
1991/3/1,8.1,11.9,2.4
1991/3/2,7.6,14.7,1.2
1991/3/3,7.1,15.3,-0.1
1991/3/4,7.4,11.0,3.5
1991/3/5,12.1,14.3,10.1
1991/3/6,14.0,21.6,9.7
1991/3/7,12.1,19.2,7.5
1991/3/8,12.6,15.5,9.2
1991/3/9,14.2,18.9,8.4
1991/3/10,11.4,17.8,4.3
1991/3/11,14.7,20.1,12.1
1991/3/12,12.8,17.6,9.3
1991/3/13,12.7,18.8,8.4
1991/3/14,11.4,17.5,5.5
1991/3/15,7.8,13.2,1.9
1991/3/16,8.5,14.3,4.9
1991/3/17,8.2,15.4,2.7
1991/3/18,9.3,15.6,2.5
1991/3/19,11.9,19.6,6.6
1991/3/20,14.1,20.4,9.1
1991/3/21,11.5,15.3,9.1
1991/3/22,12.6,14.6,9.0
1991/3/23,16.0,22.3,10.1
1991/3/24,13.2,20.4,7.4
1991/3/25,12.2,16.1,8.7
1991/3/26,13.5,14.7,12.0
1991/3/27,17.6,22.7,14.0
1991/3/28,15.3,20.2,11.3
1991/3/29,12.9,18.5,6.2
1991/3/30,13.0,16.3,9.9
1991/3/31,11.3,14.7,8.6
1991/4/1,10.4,15.4,7.5
1991/4/2,10.0,16.1,4.3
1991/4/3,9.1,17.5,1.1
1991/4/4,12.4,20.4,4.0
1991/4/5,14.1,18.9,11.0
1991/4/6,16.2,21.5,13.6
1991/4/7,14.7,15.9,14.0
1991/4/8,16.9,23.0,13.2
1991/4/9,16.5,22.8,10.5
1991/4/10,16.8,20.7,13.8
1991/4/11,17.4,18.9,15.8
1991/4/12,19.4,21.1,17.7
1991/4/13,20.9,24.8,18.2
1991/4/14,19.5,25.0,15.0
1991/4/15,17.1,23.2,11.5
1991/4/16,16.8,22.3,13.3
1991/4/17,16.8,19.1,12.6
1991/4/18,18.2,22.0,13.5
1991/4/19,15.7,21.1,10.5
1991/4/20,15.4,23.3,8.4
1991/4/21,14.6,20.6,9.5
1991/4/22,15.5,21.9,7.9
1991/4/23,14.2,18.6,11.0
1991/4/24,16.5,20.4,14.0
1991/4/25,18.6,23.7,13.9
1991/4/26,15.3,18.7,12.7
1991/4/27,15.3,21.6,10.8
1991/4/28,15.3,17.3,13.4
1991/4/29,18.3,23.1,14.9
1991/4/30,15.8,22.9,9.2
1991/5/1,16.0,20.8,12.5
