ダウンロードした時刻：2019/10/10 15:46:03

,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,3.7,9.1,-0.1
1989/12/2,3.1,9.6,-2.6
1989/12/3,4.7,12.9,-1.5
1989/12/4,6.9,15.2,-1.0
1989/12/5,5.4,9.6,1.2
1989/12/6,2.5,6.7,-1.1
1989/12/7,5.5,12.5,0.3
1989/12/8,3.0,7.8,0.1
1989/12/9,-0.2,0.7,-1.4
1989/12/10,0.6,4.8,-2.1
1989/12/11,1.9,7.6,-4.7
1989/12/12,1.4,3.3,-0.7
1989/12/13,0.4,4.8,-3.7
1989/12/14,2.5,6.9,-1.7
1989/12/15,2.3,5.8,-0.3
1989/12/16,2.2,8.2,-1.9
1989/12/17,2.9,8.0,-1.1
1989/12/18,2.4,5.2,-0.8
1989/12/19,-1.6,1.0,-3.1
1989/12/20,-0.6,3.6,-4.8
1989/12/21,1.6,5.7,-0.5
1989/12/22,2.1,7.8,-2.1
1989/12/23,3.2,7.6,-0.2
1989/12/24,1.6,4.3,-0.6
1989/12/25,3.6,5.5,1.4
1989/12/26,4.8,9.9,1.0
1989/12/27,3.2,5.5,0.0
1989/12/28,1.1,6.1,-2.7
1989/12/29,1.2,7.0,-3.7
1989/12/30,1.2,5.4,-0.6
1989/12/31,-0.7,1.8,-2.3
1990/1/1,-1.3,2.3,-4.8
1990/1/2,0.1,4.1,-3.3
1990/1/3,-0.9,1.9,-3.3
1990/1/4,-1.9,2.7,-4.6
1990/1/5,-1.5,5.0,-6.8
1990/1/6,0.3,6.5,-4.0
1990/1/7,-1.0,1.3,-3.3
1990/1/8,-0.5,5.7,-4.3
1990/1/9,1.1,8.6,-4.5
1990/1/10,7.3,14.5,0.0
1990/1/11,2.5,9.2,0.1
1990/1/12,4.3,12.9,-1.5
1990/1/13,-0.9,5.0,-4.4
1990/1/14,-1.5,3.1,-6.7
1990/1/15,-0.5,2.2,-2.3
1990/1/16,-2.0,-0.4,-4.4
1990/1/17,-2.6,1.0,-6.1
1990/1/18,1.5,8.5,-5.7
1990/1/19,1.6,4.5,0.2
1990/1/20,-2.7,0.6,-6.3
1990/1/21,-2.7,4.6,-8.2
1990/1/22,-0.8,4.2,-6.5
1990/1/23,-2.8,0.3,-5.0
1990/1/24,-2.6,1.5,-5.7
1990/1/25,-4.7,-1.7,-7.3
1990/1/26,-5.6,-2.5,-7.9
1990/1/27,-6.0,-1.3,-10.4
1990/1/28,-5.0,-1.2,-9.4
1990/1/29,-2.0,1.9,-6.2
1990/1/30,0.0,3.1,-1.9
1990/1/31,-1.6,-0.5,-2.7
1990/2/1,-1.1,0.7,-2.1
1990/2/2,-0.7,3.1,-3.8
1990/2/3,-0.1,3.9,-5.7
1990/2/4,1.9,3.2,0.7
1990/2/5,1.7,4.9,0.1
1990/2/6,1.9,5.5,-1.5
1990/2/7,2.3,7.0,-2.0
1990/2/8,1.5,4.2,-0.1
1990/2/9,-0.1,3.3,-2.4
1990/2/10,3.8,11.0,-5.4
1990/2/11,8.2,11.5,4.4
1990/2/12,3.4,8.7,-0.3
1990/2/13,1.0,4.4,-1.5
1990/2/14,1.5,4.4,-1.3
1990/2/15,3.1,6.5,0.6
1990/2/16,2.4,4.5,0.9
1990/2/17,3.0,5.8,0.3
1990/2/18,4.5,8.9,-0.1
1990/2/19,7.5,9.4,6.3
1990/2/20,8.8,12.6,4.9
1990/2/21,5.5,10.2,1.7
1990/2/22,7.9,16.4,1.3
1990/2/23,11.8,14.8,6.6
1990/2/24,8.1,10.6,6.2
1990/2/25,5.7,8.1,4.6
1990/2/26,4.8,6.4,3.6
1990/2/27,3.1,5.5,0.8
1990/2/28,3.0,8.4,-0.8
1990/3/1,4.8,10.6,-0.3
1990/3/2,5.0,7.2,3.1
1990/3/3,7.0,10.7,4.6
1990/3/4,3.9,8.0,1.1
1990/3/5,3.3,8.7,0.5
1990/3/6,3.0,9.1,-1.6
1990/3/7,2.4,11.7,-2.1
1990/3/8,-0.6,2.5,-2.6
1990/3/9,3.1,9.2,-2.5
1990/3/10,4.9,12.6,-2.3
1990/3/11,8.4,17.1,0.0
1990/3/12,5.5,11.5,-0.6
1990/3/13,1.6,6.2,-1.8
1990/3/14,4.8,12.6,-3.2
1990/3/15,7.1,13.2,2.9
1990/3/16,4.6,9.4,1.0
1990/3/17,3.1,7.6,0.1
1990/3/18,2.4,8.7,-1.9
1990/3/19,4.3,10.4,0.9
1990/3/20,4.8,14.3,-0.9
1990/3/21,4.1,9.6,-0.2
1990/3/22,5.6,14.6,-2.3
1990/3/23,9.7,19.2,1.6
1990/3/24,8.7,12.8,4.1
1990/3/25,1.7,5.4,-0.3
1990/3/26,1.7,5.3,-1.4
1990/3/27,4.8,12.3,-2.4
1990/3/28,7.3,14.5,2.3
1990/3/29,6.2,7.6,4.6
1990/3/30,10.1,15.4,6.4
1990/3/31,9.8,12.2,8.4
