ダウンロードした時刻：2019/10/10 16:21:45

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/12/1,10.8,15.1,7.5
2009/12/2,11.7,18.4,5.9
2009/12/3,12.0,15.6,9.7
2009/12/4,11.5,16.8,6.9
2009/12/5,10.0,14.5,6.4
2009/12/6,7.6,11.4,3.8
2009/12/7,6.3,12.9,1.3
2009/12/8,8.6,15.4,2.3
2009/12/9,10.4,13.3,7.2
2009/12/10,12.3,14.3,10.4
2009/12/11,15.1,18.1,12.7
2009/12/12,13.4,17.3,11.0
2009/12/13,10.5,13.2,7.5
2009/12/14,8.9,14.8,4.6
2009/12/15,7.2,10.9,4.7
2009/12/16,5.6,8.3,3.2
2009/12/17,3.8,8.0,0.4
2009/12/18,2.9,5.3,0.5
2009/12/19,3.1,6.7,0.3
2009/12/20,3.4,7.1,0.7
2009/12/21,4.5,8.4,-0.2
2009/12/22,4.9,10.9,-0.4
2009/12/23,8.3,15.0,3.6
2009/12/24,9.1,15.1,3.5
2009/12/25,8.1,9.2,6.4
2009/12/26,7.0,10.5,1.7
2009/12/27,5.7,11.8,-0.1
2009/12/28,5.9,8.0,4.5
2009/12/29,6.2,10.9,2.8
2009/12/30,6.5,9.4,4.3
2009/12/31,1.8,4.5,-0.5
2010/1/1,1.8,6.4,-1.1
2010/1/2,4.0,9.3,-0.9
2010/1/3,5.7,9.4,0.9
2010/1/4,5.2,11.2,-1.0
2010/1/5,4.3,6.8,3.0
2010/1/6,3.7,5.9,1.7
2010/1/7,3.4,5.3,0.8
2010/1/8,2.8,8.2,-1.2
2010/1/9,4.8,9.9,-0.5
2010/1/10,7.3,10.7,5.0
2010/1/11,6.6,8.5,4.9
2010/1/12,4.8,8.1,0.4
2010/1/13,0.0,2.0,-1.1
2010/1/14,1.4,5.0,-0.9
2010/1/15,3.6,7.1,0.2
2010/1/16,4.7,10.1,0.9
2010/1/17,4.1,11.2,-1.8
2010/1/18,5.2,12.3,-1.1
2010/1/19,7.3,14.8,0.5
2010/1/20,11.8,15.9,6.0
2010/1/21,11.9,15.1,6.9
2010/1/22,6.4,11.3,3.5
2010/1/23,3.9,6.3,0.9
2010/1/24,4.6,10.3,-0.6
2010/1/25,5.7,11.0,3.2
2010/1/26,4.7,11.6,-1.1
2010/1/27,6.3,13.0,-1.7
2010/1/28,10.3,13.4,4.9
2010/1/29,6.0,11.9,2.2
2010/1/30,5.7,10.5,0.9
2010/1/31,8.2,9.9,6.3
2010/2/1,7.8,8.8,6.3
2010/2/2,6.5,10.8,2.1
2010/2/3,4.5,7.4,0.7
2010/2/4,3.0,7.1,-0.1
2010/2/5,3.5,9.5,-1.2
2010/2/6,3.6,8.6,-1.0
2010/2/7,5.4,11.8,-1.7
2010/2/8,11.8,18.5,6.3
2010/2/9,15.5,20.2,12.1
2010/2/10,15.8,18.2,13.3
2010/2/11,11.0,13.7,7.6
2010/2/12,7.3,10.2,4.9
2010/2/13,5.2,9.0,1.8
2010/2/14,5.2,10.8,0.0
2010/2/15,7.8,11.9,5.5
2010/2/16,6.5,9.2,4.0
2010/2/17,6.5,10.7,3.5
2010/2/18,5.0,7.8,2.9
2010/2/19,4.9,8.5,2.6
2010/2/20,5.9,11.9,0.8
2010/2/21,6.6,13.9,-0.5
2010/2/22,10.2,17.4,3.0
2010/2/23,12.8,20.9,6.0
2010/2/24,14.8,22.8,6.3
2010/2/25,15.9,20.2,11.4
2010/2/26,15.1,17.0,12.6
2010/2/27,12.5,15.2,10.8
2010/2/28,13.4,18.4,10.0
2010/3/1,12.7,15.6,9.6
2010/3/2,12.1,15.7,10.0
2010/3/3,10.9,13.0,9.0
2010/3/4,12.4,16.3,7.9
2010/3/5,14.3,17.0,12.2
2010/3/6,12.8,16.3,10.0
2010/3/7,9.9,11.3,8.3
2010/3/8,8.9,12.7,6.0
2010/3/9,6.6,8.8,5.2
2010/3/10,2.5,5.7,0.3
2010/3/11,5.5,11.6,-0.6
2010/3/12,11.8,17.7,4.7
2010/3/13,14.6,16.2,11.8
2010/3/14,15.6,21.5,11.5
2010/3/15,15.6,18.1,12.8
2010/3/16,9.4,12.8,4.1
2010/3/17,8.0,14.5,1.8
2010/3/18,8.1,14.0,3.5
2010/3/19,9.2,15.6,1.2
2010/3/20,16.9,22.6,10.9
2010/3/21,10.3,13.5,5.2
2010/3/22,10.8,16.6,3.8
2010/3/23,11.3,13.7,10.4
2010/3/24,10.5,13.6,9.2
2010/3/25,9.1,11.4,7.4
2010/3/26,6.4,9.3,1.7
2010/3/27,7.0,13.7,-0.1
2010/3/28,10.6,15.8,6.8
2010/3/29,9.2,14.6,5.6
2010/3/30,9.4,15.3,3.4
2010/3/31,12.5,17.1,9.4
