ダウンロードした時刻：2017/07/24 15:44:55

,和歌山,和歌山,和歌山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,5.2,9.9,1.0
1983/1/2,6.1,10.2,1.3
1983/1/3,6.3,10.1,3.9
1983/1/4,5.9,10.9,2.1
1983/1/5,9.2,14.0,3.1
1983/1/6,10.4,13.0,8.8
1983/1/7,8.6,10.8,5.9
1983/1/8,9.9,13.6,6.4
1983/1/9,5.8,8.0,4.6
1983/1/10,3.5,4.9,2.1
1983/1/11,4.5,7.4,2.0
1983/1/12,5.4,8.8,1.9
1983/1/13,6.2,9.0,2.1
1983/1/14,6.2,8.7,3.5
1983/1/15,5.7,8.9,1.9
1983/1/16,5.5,11.5,0.5
1983/1/17,5.7,11.0,0.6
1983/1/18,6.9,8.1,5.2
1983/1/19,6.1,9.0,3.8
1983/1/20,3.3,5.2,2.0
1983/1/21,3.3,6.1,1.2
1983/1/22,1.2,3.2,-0.7
1983/1/23,1.0,5.7,-3.0
1983/1/24,4.9,9.7,0.0
1983/1/25,4.6,10.8,-0.1
1983/1/26,5.8,11.8,0.1
1983/1/27,6.2,11.4,1.2
1983/1/28,7.1,13.5,2.0
1983/1/29,8.2,15.0,1.6
1983/1/30,8.7,17.1,4.8
1983/1/31,5.2,9.3,1.7
1983/2/1,6.4,11.9,-0.8
1983/2/2,9.1,10.2,8.0
1983/2/3,6.9,9.8,3.1
1983/2/4,5.2,9.1,1.9
1983/2/5,5.1,11.0,-0.3
1983/2/6,7.9,13.3,1.5
1983/2/7,8.4,11.2,5.4
1983/2/8,6.3,8.1,4.5
1983/2/9,7.0,10.2,4.6
1983/2/10,4.4,8.0,2.0
1983/2/11,3.9,8.4,-1.2
1983/2/12,3.9,7.2,1.6
1983/2/13,2.3,4.8,1.0
1983/2/14,2.8,7.3,-1.3
1983/2/15,7.4,13.6,0.8
1983/2/16,7.0,12.2,1.6
1983/2/17,6.7,9.7,5.1
1983/2/18,5.0,8.5,1.8
1983/2/19,3.3,6.3,-0.4
1983/2/20,3.5,6.7,0.4
1983/2/21,3.3,6.6,-0.3
1983/2/22,4.0,9.8,-1.4
1983/2/23,5.8,12.7,-0.9
1983/2/24,6.1,8.9,4.3
1983/2/25,6.6,10.4,3.7
1983/2/26,4.9,8.4,1.0
1983/2/27,5.0,9.4,0.8
1983/2/28,6.1,12.2,0.0
1983/3/1,8.2,14.8,1.6
1983/3/2,16.9,19.3,13.2
1983/3/3,11.4,15.2,8.4
1983/3/4,7.7,10.3,5.9
1983/3/5,5.1,7.9,2.1
1983/3/6,5.0,10.8,-0.2
1983/3/7,4.1,9.2,-0.1
1983/3/8,4.2,7.7,1.2
1983/3/9,5.8,11.9,-0.9
1983/3/10,7.6,14.2,5.0
1983/3/11,9.8,13.9,6.3
1983/3/12,8.5,12.2,3.0
1983/3/13,9.2,11.7,6.2
1983/3/14,5.7,8.7,4.0
1983/3/15,6.5,12.0,0.3
1983/3/16,7.4,9.4,5.8
1983/3/17,8.5,12.0,6.1
1983/3/18,5.4,8.7,3.6
1983/3/19,6.9,12.7,1.5
1983/3/20,10.1,15.5,3.3
1983/3/21,12.1,16.9,9.9
1983/3/22,12.7,19.0,8.2
1983/3/23,13.9,19.5,10.0
1983/3/24,11.6,17.1,8.2
1983/3/25,9.0,12.9,6.9
1983/3/26,8.5,13.2,3.1
1983/3/27,10.7,14.4,7.2
1983/3/28,11.8,15.3,9.4
1983/3/29,9.9,11.4,8.9
1983/3/30,10.9,13.0,8.5
1983/3/31,11.9,16.1,9.1
1983/4/1,11.8,18.7,9.7
1983/4/2,13.5,17.1,9.8
1983/4/3,12.9,16.2,10.1
1983/4/4,14.8,19.6,10.9
1983/4/5,14.0,20.1,8.1
1983/4/6,14.7,20.3,7.7
1983/4/7,15.2,19.8,10.4
1983/4/8,16.2,21.9,12.8
1983/4/9,15.5,20.9,9.9
1983/4/10,14.2,16.1,12.3
1983/4/11,16.9,19.9,13.3
1983/4/12,16.2,20.2,13.2
1983/4/13,15.6,20.6,11.1
1983/4/14,15.8,22.3,9.0
1983/4/15,19.8,26.1,14.4
1983/4/16,15.0,20.7,12.2
1983/4/17,13.2,14.9,11.9
1983/4/18,15.8,20.8,10.2
1983/4/19,18.7,21.9,14.4
1983/4/20,17.3,21.3,12.1
1983/4/21,15.2,18.7,8.6
1983/4/22,17.7,23.4,15.0
1983/4/23,16.9,22.2,12.6
1983/4/24,17.9,25.6,11.7
1983/4/25,18.3,26.9,11.4
1983/4/26,19.8,24.7,12.4
1983/4/27,20.9,23.6,19.0
1983/4/28,22.1,25.3,18.7
1983/4/29,21.3,26.3,15.1
1983/4/30,15.2,19.1,12.1
1983/5/1,13.4,16.3,10.3
