ダウンロードした時刻：2019/10/10 15:54:24

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2011/12/1,11.9,15.2,9.8
2011/12/2,9.3,11.0,6.9
2011/12/3,12.2,15.2,9.5
2011/12/4,11.9,15.1,9.8
2011/12/5,10.4,15.4,6.8
2011/12/6,8.0,12.3,5.5
2011/12/7,10.1,14.7,6.0
2011/12/8,9.9,12.2,7.4
2011/12/9,7.0,11.2,2.6
2011/12/10,5.6,10.6,0.3
2011/12/11,7.7,12.0,4.3
2011/12/12,8.3,13.6,3.3
2011/12/13,9.1,14.7,4.6
2011/12/14,8.5,14.8,3.6
2011/12/15,8.5,13.4,3.8
2011/12/16,5.9,10.1,2.3
2011/12/17,4.4,9.4,1.9
2011/12/18,5.1,9.3,0.7
2011/12/19,6.0,10.1,4.4
2011/12/20,5.3,10.1,1.7
2011/12/21,6.3,10.8,2.2
2011/12/22,6.0,11.0,3.3
2011/12/23,4.2,8.6,1.4
2011/12/24,3.5,7.7,-0.5
2011/12/25,2.2,6.2,0.3
2011/12/26,1.4,4.8,0.1
2011/12/27,2.3,7.4,-1.7
2011/12/28,3.6,8.7,-0.3
2011/12/29,4.6,10.1,-0.5
2011/12/30,4.0,8.5,0.9
2011/12/31,3.7,9.5,-1.1
2012/1/1,3.5,7.9,-0.7
2012/1/2,4.8,10.7,1.4
2012/1/3,4.5,8.6,1.3
2012/1/4,4.2,8.5,0.7
2012/1/5,2.7,6.7,-0.4
2012/1/6,3.9,8.3,-0.1
2012/1/7,3.9,8.9,0.7
2012/1/8,3.7,9.0,-0.7
2012/1/9,4.5,9.6,1.1
2012/1/10,5.4,10.7,0.6
2012/1/11,5.0,9.0,1.3
2012/1/12,2.7,7.7,-1.1
2012/1/13,4.3,9.3,-0.4
2012/1/14,4.9,8.3,2.2
2012/1/15,4.6,7.8,1.6
2012/1/16,4.5,6.3,2.5
2012/1/17,4.9,9.6,1.5
2012/1/18,4.3,10.0,-1.3
2012/1/19,4.8,8.4,2.0
2012/1/20,6.8,9.6,4.7
2012/1/21,7.2,9.3,6.3
2012/1/22,7.6,11.9,4.0
2012/1/23,6.8,11.8,3.4
2012/1/24,3.3,7.5,0.3
2012/1/25,2.9,7.1,0.9
2012/1/26,1.5,6.5,-0.9
2012/1/27,2.4,7.3,-0.7
2012/1/28,2.9,6.8,0.4
2012/1/29,2.3,7.8,-0.8
2012/1/30,2.1,6.9,-1.7
2012/1/31,2.0,6.9,-0.7
2012/2/1,1.2,6.0,-2.1
2012/2/2,-0.9,1.3,-3.1
2012/2/3,-0.7,3.6,-5.2
2012/2/4,2.2,7.6,-3.1
2012/2/5,4.6,8.0,-0.3
2012/2/6,4.6,5.7,2.9
2012/2/7,7.3,10.5,5.4
2012/2/8,2.7,6.0,-0.7
2012/2/9,1.2,5.4,-2.0
2012/2/10,2.8,7.9,-1.1
2012/2/11,3.4,8.4,-0.2
2012/2/12,3.7,8.9,0.0
2012/2/13,3.0,6.4,0.5
2012/2/14,4.4,6.0,2.3
2012/2/15,4.4,9.5,1.3
2012/2/16,4.0,9.4,0.1
2012/2/17,3.3,7.3,1.0
2012/2/18,1.5,6.4,-1.3
2012/2/19,1.6,7.2,-3.6
2012/2/20,3.8,10.7,-1.5
2012/2/21,5.3,10.1,-0.8
2012/2/22,8.3,13.3,2.1
2012/2/23,9.1,13.5,7.0
2012/2/24,10.2,14.8,6.4
2012/2/25,8.0,9.7,5.5
2012/2/26,4.6,8.9,1.7
2012/2/27,3.2,8.8,0.2
2012/2/28,4.2,9.3,-1.6
2012/2/29,8.0,14.7,3.2
2012/3/1,10.4,16.6,5.2
2012/3/2,8.9,9.7,7.6
2012/3/3,9.3,15.7,5.3
2012/3/4,6.3,8.7,4.0
2012/3/5,9.6,11.3,7.2
2012/3/6,13.6,18.8,10.4
2012/3/7,11.0,13.2,8.4
2012/3/8,11.0,16.9,6.1
2012/3/9,7.9,9.6,6.7
2012/3/10,8.2,14.7,5.1
2012/3/11,6.3,12.6,2.2
2012/3/12,2.9,8.3,0.1
2012/3/13,3.7,8.8,0.2
2012/3/14,5.1,11.3,-1.0
2012/3/15,6.1,12.6,1.8
2012/3/16,7.4,14.3,0.5
2012/3/17,9.8,11.2,7.4
2012/3/18,11.3,13.7,8.8
2012/3/19,7.3,11.5,2.6
2012/3/20,6.8,13.7,0.1
2012/3/21,6.8,11.9,3.0
2012/3/22,9.0,16.4,1.8
2012/3/23,8.7,10.1,7.8
2012/3/24,9.2,12.9,6.2
2012/3/25,5.6,9.3,2.7
2012/3/26,5.5,11.2,1.4
2012/3/27,8.3,14.9,2.1
2012/3/28,8.9,15.3,3.9
2012/3/29,10.4,17.9,3.0
2012/3/30,12.7,19.2,5.4
2012/3/31,10.5,15.7,4.7
