ダウンロードした時刻：2019/10/10 15:59:18

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,8.9,10.7,7.0
2000/12/2,8.5,11.5,5.0
2000/12/3,9.3,12.7,5.4
2000/12/4,9.8,12.6,7.4
2000/12/5,9.3,14.4,4.1
2000/12/6,9.9,13.6,6.6
2000/12/7,7.3,9.4,4.4
2000/12/8,8.6,13.4,4.0
2000/12/9,11.2,16.9,4.3
2000/12/10,11.9,18.0,6.3
2000/12/11,10.3,13.4,5.4
2000/12/12,7.0,11.0,4.0
2000/12/13,8.2,12.5,2.5
2000/12/14,7.2,9.3,5.0
2000/12/15,9.4,12.7,5.5
2000/12/16,11.7,20.2,4.6
2000/12/17,8.8,11.4,6.6
2000/12/18,9.4,11.5,6.8
2000/12/19,12.3,18.6,7.7
2000/12/20,9.8,11.3,7.9
2000/12/21,11.0,16.0,8.1
2000/12/22,8.3,10.7,6.0
2000/12/23,9.8,13.9,6.4
2000/12/24,9.8,14.6,5.2
2000/12/25,8.1,12.5,4.5
2000/12/26,5.4,9.4,2.8
2000/12/27,6.0,9.6,2.7
2000/12/28,6.4,10.2,1.7
2000/12/29,6.5,10.0,3.8
2000/12/30,5.3,7.5,2.2
2000/12/31,8.1,9.9,6.4
2001/1/1,7.5,10.8,4.8
2001/1/2,8.3,13.8,1.5
2001/1/3,7.8,11.7,2.7
2001/1/4,4.7,9.0,1.0
2001/1/5,5.7,10.0,3.4
2001/1/6,4.5,8.0,2.4
2001/1/7,2.9,5.8,0.5
2001/1/8,3.4,6.2,0.7
2001/1/9,4.6,8.4,2.0
2001/1/10,7.8,13.4,2.6
2001/1/11,7.9,11.6,5.5
2001/1/12,6.6,10.3,4.2
2001/1/13,3.8,6.3,1.6
2001/1/14,2.0,6.2,-0.8
2001/1/15,1.7,6.2,-2.4
2001/1/16,3.0,7.0,-0.8
2001/1/17,3.3,8.0,-0.5
2001/1/18,4.7,9.5,0.5
2001/1/19,3.6,5.6,1.9
2001/1/20,2.1,4.4,0.7
2001/1/21,4.9,10.4,0.3
2001/1/22,6.9,9.5,4.5
2001/1/23,5.6,9.8,3.3
2001/1/24,5.3,9.1,1.5
2001/1/25,3.5,5.4,1.9
2001/1/26,5.5,8.1,3.5
2001/1/27,1.8,4.5,0.5
2001/1/28,5.6,10.1,0.4
2001/1/29,5.8,9.8,2.0
2001/1/30,5.3,9.9,0.8
2001/1/31,5.8,8.8,3.0
2001/2/1,5.2,7.3,4.2
2001/2/2,5.1,6.9,3.2
2001/2/3,5.7,10.5,0.2
2001/2/4,5.4,8.2,2.4
2001/2/5,6.7,10.0,3.2
2001/2/6,8.0,12.1,3.5
2001/2/7,4.1,8.6,1.4
2001/2/8,5.5,10.8,1.5
2001/2/9,4.7,8.0,1.4
2001/2/10,6.5,10.6,1.6
2001/2/11,6.6,10.8,2.4
2001/2/12,4.1,6.4,1.7
2001/2/13,4.0,7.2,1.7
2001/2/14,2.9,5.1,0.8
2001/2/15,3.8,7.6,0.0
2001/2/16,5.8,11.8,2.1
2001/2/17,4.9,8.7,1.1
2001/2/18,6.8,11.4,3.1
2001/2/19,9.1,15.3,3.4
2001/2/20,7.5,10.7,3.7
2001/2/21,10.1,15.9,4.0
2001/2/22,13.9,19.7,9.1
2001/2/23,12.5,17.3,8.1
2001/2/24,6.5,11.2,3.7
2001/2/25,5.9,9.7,3.5
2001/2/26,5.1,10.0,1.4
2001/2/27,8.0,12.4,2.0
2001/2/28,11.2,15.7,4.9
2001/3/1,7.1,13.1,4.3
2001/3/2,6.1,11.5,2.1
2001/3/3,7.6,10.6,3.4
2001/3/4,7.4,10.1,5.4
2001/3/5,8.3,13.7,3.3
2001/3/6,10.3,15.1,4.3
2001/3/7,12.4,19.4,6.0
2001/3/8,5.9,10.4,1.3
2001/3/9,5.2,9.8,1.3
2001/3/10,6.4,11.2,2.0
2001/3/11,5.8,9.8,2.4
2001/3/12,4.1,6.7,1.1
2001/3/13,5.2,8.6,1.6
2001/3/14,9.3,15.2,2.4
2001/3/15,13.7,21.7,7.7
2001/3/16,9.4,12.7,5.6
2001/3/17,8.6,11.2,6.3
2001/3/18,11.7,17.2,7.7
2001/3/19,13.3,18.3,7.4
2001/3/20,14.8,20.7,8.0
2001/3/21,16.3,22.8,11.0
2001/3/22,14.4,19.3,9.7
2001/3/23,14.0,18.1,11.1
2001/3/24,15.0,19.5,10.6
2001/3/25,14.8,16.9,13.5
2001/3/26,13.5,16.9,9.6
2001/3/27,12.2,17.2,8.0
2001/3/28,12.4,16.2,8.6
2001/3/29,7.6,12.2,4.0
2001/3/30,8.1,13.5,3.8
2001/3/31,3.5,7.6,1.8
