ダウンロードした時刻：2019/10/10 16:20:32

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,12.9,17.3,9.0
1991/12/2,12.6,17.5,8.3
1991/12/3,12.3,17.6,8.4
1991/12/4,11.1,16.1,7.8
1991/12/5,11.6,16.2,6.8
1991/12/6,11.9,14.8,9.9
1991/12/7,12.1,18.5,8.1
1991/12/8,12.0,14.6,10.1
1991/12/9,9.1,11.2,5.9
1991/12/10,9.5,14.0,3.7
1991/12/11,12.3,17.8,7.2
1991/12/12,5.1,7.2,2.8
1991/12/13,5.1,9.2,1.6
1991/12/14,7.4,12.5,2.1
1991/12/15,10.0,16.1,5.4
1991/12/16,12.5,18.8,8.1
1991/12/17,15.3,19.8,10.9
1991/12/18,12.8,15.1,9.3
1991/12/19,9.5,11.6,7.0
1991/12/20,9.6,15.1,5.5
1991/12/21,11.5,14.3,7.9
1991/12/22,12.3,16.7,8.1
1991/12/23,13.5,16.2,10.7
1991/12/24,14.0,17.0,12.0
1991/12/25,13.2,14.4,11.6
1991/12/26,13.3,15.8,11.7
1991/12/27,11.1,14.2,9.1
1991/12/28,5.9,9.7,2.7
1991/12/29,4.4,6.0,2.5
1991/12/30,5.3,10.0,2.2
1991/12/31,7.4,10.0,4.7
1992/1/1,9.8,12.7,7.8
1992/1/2,10.4,13.0,8.0
1992/1/3,9.1,10.4,6.8
1992/1/4,6.8,10.9,3.8
1992/1/5,6.3,8.9,3.0
1992/1/6,10.5,13.4,8.0
1992/1/7,11.0,14.6,7.1
1992/1/8,8.2,11.0,4.2
1992/1/9,9.1,10.9,7.7
1992/1/10,7.9,11.0,5.2
1992/1/11,7.7,13.0,3.0
1992/1/12,8.4,13.3,4.9
1992/1/13,8.1,9.1,6.3
1992/1/14,6.6,9.3,4.8
1992/1/15,6.5,10.3,3.9
1992/1/16,6.0,9.9,3.1
1992/1/17,6.8,8.2,5.3
1992/1/18,5.3,7.0,3.8
1992/1/19,6.2,9.8,3.8
1992/1/20,6.6,11.9,1.7
1992/1/21,8.5,12.0,4.9
1992/1/22,7.6,10.3,5.2
1992/1/23,6.8,8.0,5.5
1992/1/24,7.6,11.3,5.3
1992/1/25,8.9,14.0,4.6
1992/1/26,9.4,13.7,5.3
1992/1/27,8.0,12.1,4.2
1992/1/28,9.8,15.3,4.8
1992/1/29,14.8,17.8,9.5
1992/1/30,11.0,13.9,9.5
1992/1/31,7.9,9.6,5.4
1992/2/1,4.1,6.4,2.0
1992/2/2,6.1,10.5,0.8
1992/2/3,13.4,16.7,9.5
1992/2/4,8.7,11.3,4.6
1992/2/5,7.5,12.1,4.0
1992/2/6,7.5,12.2,3.0
1992/2/7,7.0,9.2,5.7
1992/2/8,5.4,8.1,2.6
1992/2/9,4.8,8.5,1.7
1992/2/10,6.0,9.6,3.2
1992/2/11,6.5,11.9,1.7
1992/2/12,7.7,12.8,3.2
1992/2/13,7.8,13.3,4.1
1992/2/14,6.4,9.6,2.6
1992/2/15,7.1,9.6,4.4
1992/2/16,6.1,8.6,1.1
1992/2/17,5.5,10.5,0.3
1992/2/18,8.7,12.9,4.2
1992/2/19,8.0,10.8,5.7
1992/2/20,5.7,7.7,3.2
1992/2/21,5.0,7.7,2.4
1992/2/22,5.7,9.1,2.9
1992/2/23,7.3,12.5,1.3
1992/2/24,6.8,8.4,3.8
1992/2/25,8.6,12.3,4.4
1992/2/26,8.5,14.3,2.6
1992/2/27,12.4,17.4,6.3
1992/2/28,18.0,20.4,14.9
1992/2/29,18.9,21.2,16.4
1992/3/1,15.9,18.8,12.6
1992/3/2,11.8,15.7,8.9
1992/3/3,9.7,14.0,7.1
1992/3/4,8.8,10.5,7.4
1992/3/5,10.0,11.5,8.3
1992/3/6,8.2,10.6,6.0
1992/3/7,7.8,12.4,3.7
1992/3/8,8.2,12.1,3.8
1992/3/9,9.9,12.5,7.9
1992/3/10,11.8,17.3,8.2
1992/3/11,11.2,16.6,6.1
1992/3/12,12.2,17.8,6.9
1992/3/13,13.4,17.9,8.5
1992/3/14,16.5,20.5,11.9
1992/3/15,16.1,19.0,12.7
1992/3/16,11.6,13.1,9.3
1992/3/17,11.2,16.2,8.3
1992/3/18,10.3,14.3,8.5
1992/3/19,10.7,12.9,8.5
1992/3/20,10.1,11.2,9.2
1992/3/21,10.7,13.9,8.2
1992/3/22,11.8,17.3,6.7
1992/3/23,13.6,16.3,11.0
1992/3/24,11.5,12.5,10.5
1992/3/25,12.0,15.9,8.7
1992/3/26,11.5,12.6,9.8
1992/3/27,11.8,16.1,9.1
1992/3/28,12.0,13.1,10.9
1992/3/29,13.0,13.7,12.1
1992/3/30,14.5,19.2,10.5
1992/3/31,14.9,18.6,11.8
