ダウンロードした時刻：2019/10/10 16:12:11

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/12/1,7.9,9.9,4.9
2012/12/2,6.3,8.7,4.7
2012/12/3,8.2,13.6,2.8
2012/12/4,9.3,12.6,5.4
2012/12/5,7.3,9.4,4.1
2012/12/6,7.5,12.6,2.7
2012/12/7,5.4,9.2,1.5
2012/12/8,6.5,10.6,3.6
2012/12/9,4.4,7.2,2.4
2012/12/10,4.5,7.9,1.8
2012/12/11,5.5,10.0,1.4
2012/12/12,5.1,9.6,1.8
2012/12/13,6.3,10.6,2.4
2012/12/14,7.3,12.3,1.5
2012/12/15,11.3,14.7,8.0
2012/12/16,11.3,13.6,7.9
2012/12/17,9.1,13.6,5.4
2012/12/18,8.2,11.4,5.4
2012/12/19,4.8,8.3,2.2
2012/12/20,6.0,9.9,0.8
2012/12/21,6.4,8.8,3.5
2012/12/22,8.0,11.6,4.7
2012/12/23,6.1,9.9,2.2
2012/12/24,3.6,6.0,1.4
2012/12/25,4.8,7.4,0.6
2012/12/26,4.3,7.7,1.3
2012/12/27,3.1,7.0,-0.6
2012/12/28,4.1,6.8,1.4
2012/12/29,9.4,13.8,6.0
2012/12/30,9.3,10.4,7.6
2012/12/31,4.6,7.7,2.5
2013/1/1,4.6,7.5,0.5
2013/1/2,8.0,12.5,4.2
2013/1/3,3.5,5.8,1.4
2013/1/4,2.4,6.3,-0.1
2013/1/5,2.9,6.8,-0.5
2013/1/6,4.3,9.5,-0.6
2013/1/7,5.7,10.3,1.3
2013/1/8,5.9,11.3,1.7
2013/1/9,6.1,10.7,2.8
2013/1/10,5.0,7.9,3.2
2013/1/11,4.7,8.6,2.3
2013/1/12,4.9,10.1,1.0
2013/1/13,6.1,9.6,1.2
2013/1/14,6.0,8.0,3.7
2013/1/15,4.9,7.2,3.2
2013/1/16,5.0,8.8,-0.1
2013/1/17,5.2,8.7,1.9
2013/1/18,2.7,5.9,0.6
2013/1/19,5.1,9.1,-0.1
2013/1/20,6.7,9.9,4.2
2013/1/21,5.1,8.6,1.0
2013/1/22,7.9,10.9,5.6
2013/1/23,7.0,10.0,4.4
2013/1/24,7.4,11.8,2.4
2013/1/25,5.8,9.0,1.8
2013/1/26,3.4,7.5,0.8
2013/1/27,2.8,6.5,-1.1
2013/1/28,3.4,6.4,0.0
2013/1/29,5.5,9.8,0.6
2013/1/30,7.4,10.7,4.2
2013/1/31,7.1,13.3,1.7
2013/2/1,8.9,13.6,3.7
2013/2/2,12.3,17.1,9.1
2013/2/3,9.0,12.4,6.6
2013/2/4,7.9,10.8,5.0
2013/2/5,6.7,8.8,4.3
2013/2/6,6.1,9.8,3.7
2013/2/7,6.7,9.8,3.7
2013/2/8,1.7,4.2,-0.3
2013/2/9,2.8,6.6,0.5
2013/2/10,4.9,9.3,-0.2
2013/2/11,5.4,9.6,2.0
2013/2/12,4.0,8.3,0.3
2013/2/13,6.0,9.6,3.6
2013/2/14,7.0,12.1,2.7
2013/2/15,5.4,7.3,3.2
2013/2/16,3.0,6.2,1.2
2013/2/17,2.6,5.7,-1.0
2013/2/18,4.8,7.2,2.4
2013/2/19,3.5,6.0,1.3
2013/2/20,4.5,9.2,1.0
2013/2/21,4.0,7.9,1.8
2013/2/22,5.2,8.3,0.6
2013/2/23,5.0,7.7,3.3
2013/2/24,4.4,8.5,1.3
2013/2/25,3.3,7.7,0.7
2013/2/26,5.1,9.7,0.9
2013/2/27,7.7,12.5,4.4
2013/2/28,9.8,15.1,5.4
2013/3/1,11.0,18.1,5.9
2013/3/2,5.2,8.9,2.7
2013/3/3,4.5,9.0,2.3
2013/3/4,6.0,11.2,0.4
2013/3/5,8.1,12.5,3.6
2013/3/6,9.7,15.6,3.2
2013/3/7,12.5,18.8,5.2
2013/3/8,15.8,19.7,11.7
2013/3/9,16.8,22.3,11.1
2013/3/10,10.4,19.6,3.4
2013/3/11,6.5,12.0,2.7
2013/3/12,9.5,17.1,1.7
2013/3/13,13.2,20.0,7.2
2013/3/14,5.6,8.9,2.9
2013/3/15,6.9,13.7,1.0
2013/3/16,10.2,14.9,3.9
2013/3/17,12.2,19.2,5.9
2013/3/18,17.6,21.6,12.8
2013/3/19,16.8,21.2,14.1
2013/3/20,13.7,16.8,9.6
2013/3/21,7.5,12.1,4.6
2013/3/22,10.2,17.4,3.0
2013/3/23,10.6,14.9,6.7
2013/3/24,11.8,18.7,5.8
2013/3/25,10.3,13.6,5.9
2013/3/26,8.2,12.1,4.3
2013/3/27,10.5,15.9,5.7
2013/3/28,13.6,16.7,11.7
2013/3/29,13.9,17.6,10.2
2013/3/30,11.9,17.3,8.0
2013/3/31,11.9,16.6,9.2
