ダウンロードした時刻：2019/10/10 16:19:08

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,14.4,16.6,10.7
1993/12/2,13.0,16.3,8.4
1993/12/3,13.1,16.7,8.4
1993/12/4,7.7,8.7,7.0
1993/12/5,8.6,9.7,7.3
1993/12/6,8.5,9.7,6.9
1993/12/7,8.3,12.1,4.8
1993/12/8,8.6,12.6,5.1
1993/12/9,9.2,12.9,5.4
1993/12/10,11.9,14.7,9.4
1993/12/11,9.3,12.6,5.8
1993/12/12,9.2,13.7,4.8
1993/12/13,11.1,14.3,9.1
1993/12/14,9.0,11.2,6.8
1993/12/15,7.6,10.3,6.2
1993/12/16,7.6,10.8,4.0
1993/12/17,5.7,8.2,3.6
1993/12/18,6.6,8.6,3.9
1993/12/19,8.4,11.0,4.9
1993/12/20,9.8,14.2,6.6
1993/12/21,7.3,10.9,4.1
1993/12/22,5.2,8.1,1.1
1993/12/23,7.4,9.5,5.6
1993/12/24,8.7,11.8,5.9
1993/12/25,10.4,13.6,7.7
1993/12/26,11.0,16.8,8.3
1993/12/27,9.6,11.0,8.7
1993/12/28,8.4,10.6,5.5
1993/12/29,7.6,11.1,4.5
1993/12/30,9.6,11.7,6.5
1993/12/31,9.5,14.2,7.0
1994/1/1,7.8,10.1,6.2
1994/1/2,9.0,11.8,6.6
1994/1/3,9.1,11.4,7.1
1994/1/4,10.3,12.3,8.2
1994/1/5,8.5,12.1,4.6
1994/1/6,10.4,12.8,7.9
1994/1/7,7.6,11.4,5.3
1994/1/8,6.7,8.8,4.8
1994/1/9,8.3,13.0,5.9
1994/1/10,8.9,14.1,5.3
1994/1/11,9.5,13.5,6.7
1994/1/12,9.3,11.7,7.0
1994/1/13,8.4,9.9,6.8
1994/1/14,6.5,9.0,3.9
1994/1/15,6.7,9.6,3.8
1994/1/16,8.5,11.3,4.9
1994/1/17,11.6,13.6,9.9
1994/1/18,7.6,10.4,4.4
1994/1/19,2.7,4.4,1.9
1994/1/20,4.0,5.6,2.9
1994/1/21,3.4,5.1,1.6
1994/1/22,5.4,6.9,1.1
1994/1/23,4.0,6.8,1.2
1994/1/24,4.6,8.3,1.7
1994/1/25,5.5,7.5,3.1
1994/1/26,9.0,12.8,5.2
1994/1/27,6.9,10.8,5.2
1994/1/28,6.4,8.8,4.4
1994/1/29,3.1,6.8,0.5
1994/1/30,3.7,5.9,1.5
1994/1/31,6.4,8.8,2.9
1994/2/1,9.1,10.3,8.1
1994/2/2,6.4,8.2,5.4
1994/2/3,5.6,7.5,3.7
1994/2/4,5.1,6.9,2.6
1994/2/5,8.7,10.2,6.8
1994/2/6,8.6,12.3,4.1
1994/2/7,9.9,11.4,6.5
1994/2/8,7.2,9.7,4.5
1994/2/9,5.5,9.6,2.9
1994/2/10,3.3,5.5,1.8
1994/2/11,2.7,5.4,0.9
1994/2/12,3.9,6.7,0.8
1994/2/13,6.7,9.2,2.1
1994/2/14,8.2,11.3,4.4
1994/2/15,6.4,8.4,4.4
1994/2/16,6.6,8.2,5.1
1994/2/17,7.4,11.6,4.9
1994/2/18,7.3,11.8,3.4
1994/2/19,9.1,14.0,4.7
1994/2/20,10.6,11.4,9.4
1994/2/21,9.5,12.4,7.9
1994/2/22,8.1,9.5,6.0
1994/2/23,8.1,10.5,4.6
1994/2/24,5.5,8.2,4.2
1994/2/25,5.7,7.7,4.7
1994/2/26,6.0,7.8,5.1
1994/2/27,6.9,10.2,5.0
1994/2/28,7.9,11.4,2.8
1994/3/1,7.8,9.6,5.7
1994/3/2,6.6,9.2,4.4
1994/3/3,6.7,10.8,2.0
1994/3/4,8.6,11.9,5.4
1994/3/5,9.3,12.4,6.8
1994/3/6,8.4,11.6,5.4
1994/3/7,9.4,10.3,8.0
1994/3/8,11.9,14.0,10.0
1994/3/9,10.5,13.4,7.7
1994/3/10,6.4,8.5,3.6
1994/3/11,7.0,10.8,2.8
1994/3/12,7.2,8.8,5.1
1994/3/13,8.9,11.4,7.4
1994/3/14,6.1,9.0,4.9
1994/3/15,6.6,9.6,4.5
1994/3/16,7.0,9.9,3.3
1994/3/17,8.8,12.5,5.2
1994/3/18,9.1,13.9,4.5
1994/3/19,10.6,14.7,7.2
1994/3/20,9.7,12.7,7.2
1994/3/21,8.6,12.9,5.4
1994/3/22,8.4,9.5,7.4
1994/3/23,9.7,14.4,7.7
1994/3/24,8.1,13.7,5.6
1994/3/25,6.5,8.6,5.0
1994/3/26,6.3,8.0,4.3
1994/3/27,8.4,11.2,5.4
1994/3/28,11.1,13.1,8.3
1994/3/29,12.0,15.7,8.8
1994/3/30,10.8,15.5,7.1
1994/3/31,12.5,16.4,8.5
