ダウンロードした時刻：2019/10/10 15:56:37

,銚子,銚子,銚子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/12/1,8.4,12.7,4.1
2012/12/2,7.6,11.3,3.2
2012/12/3,11.6,15.2,7.2
2012/12/4,10.4,14.1,8.1
2012/12/5,9.9,13.7,5.1
2012/12/6,12.3,16.8,5.8
2012/12/7,8.0,12.2,3.9
2012/12/8,10.3,15.9,4.6
2012/12/9,6.1,10.6,2.0
2012/12/10,4.6,8.6,1.0
2012/12/11,6.4,11.1,3.1
2012/12/12,5.8,9.9,2.1
2012/12/13,5.8,10.6,1.1
2012/12/14,7.5,13.1,1.7
2012/12/15,12.2,16.5,8.1
2012/12/16,12.2,16.4,7.7
2012/12/17,12.3,15.8,7.2
2012/12/18,10.2,16.0,6.8
2012/12/19,5.7,8.0,2.8
2012/12/20,5.4,9.8,2.3
2012/12/21,6.0,9.2,1.4
2012/12/22,9.0,15.1,5.4
2012/12/23,7.9,10.5,4.0
2012/12/24,4.6,7.3,1.2
2012/12/25,5.1,10.0,-0.1
2012/12/26,4.6,7.3,0.6
2012/12/27,3.1,6.5,0.2
2012/12/28,5.3,8.9,1.1
2012/12/29,10.4,12.3,5.8
2012/12/30,10.9,17.5,6.7
2012/12/31,8.7,10.8,4.9
2013/1/1,6.4,10.1,4.1
2013/1/2,10.9,13.4,7.2
2013/1/3,5.2,10.7,-0.2
2013/1/4,2.3,5.7,-0.5
2013/1/5,3.1,6.4,-1.2
2013/1/6,4.9,10.0,0.1
2013/1/7,6.3,9.0,1.7
2013/1/8,7.4,11.0,3.3
2013/1/9,8.9,10.1,6.8
2013/1/10,5.3,8.1,1.2
2013/1/11,4.1,7.5,0.2
2013/1/12,4.8,9.8,1.2
2013/1/13,7.8,13.6,1.8
2013/1/14,8.2,11.4,4.9
2013/1/15,4.3,7.6,1.8
2013/1/16,4.6,7.6,1.9
2013/1/17,4.6,9.0,0.4
2013/1/18,3.0,5.4,-0.1
2013/1/19,5.1,10.8,0.4
2013/1/20,5.1,9.2,0.9
2013/1/21,6.7,9.8,1.8
2013/1/22,8.1,10.1,5.6
2013/1/23,7.7,9.1,6.4
2013/1/24,6.4,9.2,2.8
2013/1/25,6.9,12.7,2.1
2013/1/26,3.2,8.2,0.2
2013/1/27,4.1,8.4,0.3
2013/1/28,3.7,6.6,0.3
2013/1/29,5.3,10.2,1.6
2013/1/30,6.1,11.3,2.1
2013/1/31,6.0,9.2,2.7
2013/2/1,8.3,13.0,1.4
2013/2/2,14.2,16.1,12.2
2013/2/3,9.5,13.0,7.5
2013/2/4,10.5,13.1,7.6
2013/2/5,8.9,10.4,7.1
2013/2/6,7.6,9.4,6.7
2013/2/7,8.5,14.6,3.0
2013/2/8,4.7,8.1,1.0
2013/2/9,3.7,7.3,-0.4
2013/2/10,6.0,10.5,1.9
2013/2/11,5.5,10.2,1.8
2013/2/12,5.3,9.7,-0.4
2013/2/13,7.7,11.5,3.2
2013/2/14,7.8,10.7,4.2
2013/2/15,6.8,10.6,3.5
2013/2/16,2.7,5.7,-0.6
2013/2/17,2.7,6.7,-2.1
2013/2/18,6.6,9.5,5.0
2013/2/19,4.6,8.3,1.1
2013/2/20,4.3,8.7,0.6
2013/2/21,3.8,7.8,-0.9
2013/2/22,4.7,8.0,0.4
2013/2/23,5.6,9.5,2.5
2013/2/24,3.3,7.6,-1.0
2013/2/25,2.0,7.4,-2.1
2013/2/26,4.9,8.3,-0.6
2013/2/27,8.0,10.2,5.2
2013/2/28,9.3,13.2,3.3
2013/3/1,14.4,16.0,12.2
2013/3/2,8.2,14.0,3.5
2013/3/3,5.7,8.7,2.1
2013/3/4,6.9,8.9,5.0
2013/3/5,8.2,12.1,3.0
2013/3/6,10.7,17.1,4.5
2013/3/7,14.2,18.2,10.9
2013/3/8,16.2,20.5,13.2
2013/3/9,14.7,19.9,11.1
2013/3/10,13.6,23.0,6.4
2013/3/11,6.7,9.1,3.7
2013/3/12,11.4,16.2,5.7
2013/3/13,16.2,19.7,13.4
2013/3/14,7.7,17.1,4.7
2013/3/15,9.7,12.7,6.5
2013/3/16,13.2,18.1,9.0
2013/3/17,12.2,15.5,6.7
2013/3/18,16.9,19.1,13.9
2013/3/19,17.3,19.1,15.8
2013/3/20,16.1,18.9,13.8
2013/3/21,11.1,16.2,8.8
2013/3/22,13.1,16.5,10.1
2013/3/23,12.0,14.8,10.7
2013/3/24,10.9,11.5,10.2
2013/3/25,10.3,11.9,6.8
2013/3/26,8.5,10.2,6.3
2013/3/27,12.2,14.4,9.6
2013/3/28,14.2,17.9,9.7
2013/3/29,14.6,18.0,12.2
2013/3/30,9.7,12.2,8.6
2013/3/31,9.5,11.0,8.2
