ダウンロードした時刻：2019/10/10 15:41:34

,白河,白河,白河
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,-0.7,1.6,-4.0
1996/12/2,1.7,5.7,-0.7
1996/12/3,2.0,7.7,-2.3
1996/12/4,3.1,9.5,-4.0
1996/12/5,6.9,10.6,2.9
1996/12/6,4.0,10.2,-2.1
1996/12/7,0.9,7.2,-3.3
1996/12/8,1.4,6.3,-2.5
1996/12/9,2.1,8.2,-2.9
1996/12/10,2.9,10.9,-2.6
1996/12/11,6.6,12.8,0.4
1996/12/12,5.2,13.2,-0.9
1996/12/13,4.7,8.8,1.0
1996/12/14,5.5,12.8,-2.4
1996/12/15,5.5,11.0,-1.3
1996/12/16,3.3,11.6,-3.4
1996/12/17,8.1,13.1,0.9
1996/12/18,7.3,10.5,1.3
1996/12/19,1.0,5.2,-2.1
1996/12/20,0.3,5.0,-3.7
1996/12/21,2.9,8.9,-0.8
1996/12/22,2.3,9.2,-3.4
1996/12/23,2.7,6.6,0.6
1996/12/24,2.1,7.1,-1.6
1996/12/25,4.3,11.1,-2.9
1996/12/26,2.3,5.0,-0.6
1996/12/27,1.9,6.6,-2.6
1996/12/28,2.1,8.7,-3.2
1996/12/29,2.8,7.5,-1.0
1996/12/30,5.0,12.8,-0.7
1996/12/31,2.9,10.6,-2.8
1997/1/1,4.9,12.7,-1.7
1997/1/2,5.1,7.0,1.5
1997/1/3,0.9,3.0,-0.7
1997/1/4,0.6,4.0,-1.4
1997/1/5,1.7,6.0,-0.8
1997/1/6,2.2,7.5,-0.7
1997/1/7,2.0,7.6,-2.6
1997/1/8,0.6,4.1,-2.3
1997/1/9,1.0,3.8,-2.1
1997/1/10,1.3,5.3,-2.0
1997/1/11,0.1,4.3,-3.8
1997/1/12,-0.6,6.3,-6.4
1997/1/13,-0.6,6.6,-6.0
1997/1/14,1.1,6.6,-5.6
1997/1/15,1.0,3.2,-1.0
1997/1/16,1.0,6.1,-3.8
1997/1/17,2.8,9.6,-2.5
1997/1/18,2.0,8.3,-2.2
1997/1/19,0.9,4.5,-0.9
1997/1/20,1.0,8.3,-4.2
1997/1/21,-1.1,7.2,-4.7
1997/1/22,-4.6,-2.1,-8.0
1997/1/23,0.9,4.4,-3.2
1997/1/24,1.0,4.7,-1.8
1997/1/25,-1.9,-0.2,-3.3
1997/1/26,-1.0,1.8,-3.7
1997/1/27,1.7,5.9,-1.9
1997/1/28,1.5,7.5,-3.0
1997/1/29,0.5,3.6,-3.5
1997/1/30,-1.4,1.5,-3.9
1997/1/31,0.3,3.9,-2.4
1997/2/1,0.4,4.1,-2.5
1997/2/2,0.1,5.4,-3.2
1997/2/3,0.3,4.2,-1.7
1997/2/4,0.0,2.4,-2.9
1997/2/5,0.3,5.1,-4.0
1997/2/6,0.6,7.2,-4.1
1997/2/7,1.2,5.2,-1.7
1997/2/8,0.5,6.4,-4.3
1997/2/9,3.2,8.9,-1.8
1997/2/10,3.4,8.4,-0.5
1997/2/11,1.0,3.5,-0.4
1997/2/12,1.0,4.3,-2.9
1997/2/13,-0.6,3.1,-2.9
1997/2/14,-1.1,2.5,-5.8
1997/2/15,1.4,7.0,-5.6
1997/2/16,4.6,8.7,2.1
1997/2/17,2.1,4.4,-1.1
1997/2/18,-0.9,2.0,-3.5
1997/2/19,-0.7,1.3,-3.9
1997/2/20,2.5,9.9,-3.3
1997/2/21,-2.6,3.5,-6.4
1997/2/22,-3.9,-1.1,-6.4
1997/2/23,0.4,5.0,-3.9
1997/2/24,2.0,10.5,-3.7
1997/2/25,5.1,12.2,-4.0
1997/2/26,5.9,9.2,2.5
1997/2/27,2.9,8.4,-3.2
1997/2/28,4.3,10.2,-4.2
1997/3/1,6.3,11.2,0.0
1997/3/2,2.1,6.4,-2.3
1997/3/3,-0.1,4.8,-5.1
1997/3/4,1.5,9.8,-7.3
1997/3/5,3.7,10.8,-2.3
1997/3/6,6.1,12.3,-3.5
1997/3/7,10.2,17.4,4.9
1997/3/8,5.6,11.2,0.2
1997/3/9,2.7,5.6,1.1
1997/3/10,5.4,11.3,-0.1
1997/3/11,5.3,9.9,1.7
1997/3/12,2.9,7.3,-0.2
1997/3/13,5.0,12.5,-3.3
1997/3/14,8.8,16.9,0.6
1997/3/15,2.0,4.8,0.5
1997/3/16,0.5,1.4,-0.2
1997/3/17,1.7,6.2,-1.5
1997/3/18,4.0,10.5,-2.1
1997/3/19,4.7,12.1,-1.4
1997/3/20,3.8,11.1,-1.7
1997/3/21,6.0,13.3,-3.5
1997/3/22,5.2,8.8,3.0
1997/3/23,2.9,4.9,0.8
1997/3/24,1.0,3.3,-1.9
1997/3/25,5.6,13.7,-4.0
1997/3/26,8.9,15.2,5.9
1997/3/27,5.4,7.1,3.9
1997/3/28,9.2,16.2,1.6
1997/3/29,8.2,12.7,1.3
1997/3/30,9.4,16.4,3.8
1997/3/31,6.4,13.3,2.0
