ダウンロードした時刻：2019/10/10 16:22:54

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,11.7,14.6,7.3
1985/12/2,9.2,12.9,6.6
1985/12/3,10.1,14.6,2.7
1985/12/4,14.6,17.6,9.5
1985/12/5,11.1,16.5,6.9
1985/12/6,12.1,14.5,7.3
1985/12/7,12.2,16.1,7.3
1985/12/8,9.3,12.8,5.3
1985/12/9,4.4,6.7,2.7
1985/12/10,4.2,6.2,2.9
1985/12/11,5.6,7.1,4.1
1985/12/12,5.4,7.4,3.9
1985/12/13,7.5,10.0,4.5
1985/12/14,7.0,9.9,3.8
1985/12/15,3.2,4.6,2.3
1985/12/16,2.9,5.4,1.1
1985/12/17,2.6,5.1,-1.4
1985/12/18,5.2,9.9,-1.5
1985/12/19,6.9,8.7,5.6
1985/12/20,5.8,8.0,4.2
1985/12/21,8.2,11.8,4.9
1985/12/22,9.2,10.9,7.6
1985/12/23,7.0,8.9,4.4
1985/12/24,4.7,9.6,0.5
1985/12/25,8.6,12.4,0.6
1985/12/26,7.1,13.2,3.1
1985/12/27,8.7,14.0,2.0
1985/12/28,8.7,13.1,3.6
1985/12/29,12.4,16.7,3.8
1985/12/30,14.1,19.1,10.0
1985/12/31,7.8,10.2,6.3
1986/1/1,4.9,6.3,3.3
1986/1/2,2.5,5.3,-1.6
1986/1/3,7.2,12.6,-1.9
1986/1/4,3.3,9.6,-0.6
1986/1/5,0.3,1.9,-1.5
1986/1/6,2.6,4.5,0.8
1986/1/7,5.0,8.4,1.4
1986/1/8,4.6,7.6,3.2
1986/1/9,3.9,5.4,2.0
1986/1/10,3.8,5.4,1.2
1986/1/11,3.2,4.8,2.0
1986/1/12,3.4,8.9,-0.5
1986/1/13,6.1,9.9,0.5
1986/1/14,5.4,8.9,1.6
1986/1/15,6.4,9.6,1.5
1986/1/16,9.3,11.3,6.2
1986/1/17,7.4,12.9,2.3
1986/1/18,7.9,10.4,5.9
1986/1/19,9.6,12.1,8.1
1986/1/20,7.3,12.8,2.3
1986/1/21,6.8,9.2,2.7
1986/1/22,4.4,5.5,3.3
1986/1/23,6.6,8.6,4.6
1986/1/24,6.2,7.9,3.4
1986/1/25,4.5,6.6,3.3
1986/1/26,3.9,5.4,2.9
1986/1/27,3.8,5.4,2.4
1986/1/28,4.7,8.7,0.6
1986/1/29,6.1,12.7,0.5
1986/1/30,9.1,13.5,2.6
1986/1/31,7.8,10.2,5.9
1986/2/1,5.0,6.5,3.5
1986/2/2,5.1,9.0,0.4
1986/2/3,4.3,8.2,-0.4
1986/2/4,3.6,5.4,2.0
1986/2/5,3.8,5.3,1.6
1986/2/6,3.2,4.4,1.8
1986/2/7,3.0,4.9,1.5
1986/2/8,4.0,5.9,1.5
1986/2/9,4.5,7.2,3.0
1986/2/10,4.6,7.8,0.6
1986/2/11,5.3,7.2,2.8
1986/2/12,5.0,9.1,-0.7
1986/2/13,9.0,14.6,-1.1
1986/2/14,12.4,15.2,10.0
1986/2/15,7.1,10.5,4.5
1986/2/16,6.2,9.3,3.5
1986/2/17,7.7,11.3,4.1
1986/2/18,11.2,14.7,8.6
1986/2/19,8.1,10.4,5.3
1986/2/20,6.1,8.8,4.0
1986/2/21,4.4,6.6,2.6
1986/2/22,6.4,9.3,3.2
1986/2/23,6.8,9.4,5.2
1986/2/24,3.9,6.7,0.2
1986/2/25,4.2,9.7,-1.5
1986/2/26,5.6,8.9,0.2
1986/2/27,1.6,3.9,0.4
1986/2/28,4.0,6.8,0.9
1986/3/1,3.5,5.1,1.0
1986/3/2,3.6,5.8,0.7
1986/3/3,6.8,10.9,2.1
1986/3/4,8.3,13.5,-0.9
1986/3/5,12.7,17.1,8.5
1986/3/6,8.4,14.1,2.9
1986/3/7,9.4,14.4,2.8
1986/3/8,10.0,17.0,2.7
1986/3/9,14.6,19.2,5.7
1986/3/10,9.1,12.6,7.1
1986/3/11,8.6,12.7,6.4
1986/3/12,8.6,13.0,3.2
1986/3/13,12.8,17.0,4.9
1986/3/14,13.5,18.1,11.3
1986/3/15,11.9,13.4,10.4
1986/3/16,9.9,12.3,7.7
1986/3/17,9.0,12.2,6.9
1986/3/18,11.7,14.9,7.6
1986/3/19,9.6,12.3,8.5
1986/3/20,9.1,12.0,7.1
1986/3/21,10.8,14.4,7.4
1986/3/22,8.6,10.2,7.7
1986/3/23,8.6,10.7,5.8
1986/3/24,7.8,13.1,2.4
1986/3/25,8.1,14.6,2.2
1986/3/26,9.4,14.6,3.3
1986/3/27,11.3,13.6,7.4
1986/3/28,12.9,14.4,12.5
1986/3/29,12.5,16.4,7.9
1986/3/30,12.4,16.9,7.5
1986/3/31,11.5,13.9,8.9
