ダウンロードした時刻：2019/10/10 16:06:46

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,8.0,10.0,6.8
1983/12/2,12.0,14.1,9.0
1983/12/3,11.9,14.1,7.2
1983/12/4,9.3,13.0,5.0
1983/12/5,11.7,13.1,10.5
1983/12/6,8.7,12.4,4.8
1983/12/7,8.4,14.4,4.1
1983/12/8,10.9,14.0,7.4
1983/12/9,11.4,14.0,7.1
1983/12/10,13.5,16.8,10.3
1983/12/11,8.7,15.0,5.0
1983/12/12,7.6,9.7,6.2
1983/12/13,12.0,14.1,7.5
1983/12/14,11.2,13.9,8.5
1983/12/15,7.4,9.2,4.9
1983/12/16,6.7,8.0,5.9
1983/12/17,4.7,6.9,0.7
1983/12/18,4.8,6.7,0.8
1983/12/19,7.1,8.6,4.8
1983/12/20,7.0,9.4,4.7
1983/12/21,5.7,10.8,1.8
1983/12/22,9.5,12.2,6.6
1983/12/23,3.7,7.8,1.9
1983/12/24,2.9,5.1,0.8
1983/12/25,1.1,3.2,-0.9
1983/12/26,1.0,3.7,0.1
1983/12/27,2.0,3.9,0.5
1983/12/28,3.4,5.1,0.6
1983/12/29,1.6,2.8,0.4
1983/12/30,3.9,7.3,1.1
1983/12/31,5.3,6.8,2.3
1984/1/1,6.2,7.7,4.1
1984/1/2,5.7,8.9,4.0
1984/1/3,6.2,9.5,3.7
1984/1/4,4.3,5.5,1.0
1984/1/5,3.1,4.4,0.2
1984/1/6,3.7,6.1,0.6
1984/1/7,3.9,7.0,1.8
1984/1/8,5.1,7.0,3.1
1984/1/9,6.7,8.0,4.9
1984/1/10,9.4,11.8,6.8
1984/1/11,5.7,8.0,3.2
1984/1/12,5.4,7.7,1.0
1984/1/13,5.3,8.7,3.7
1984/1/14,6.9,9.4,3.2
1984/1/15,5.6,9.3,2.2
1984/1/16,1.3,3.5,-0.1
1984/1/17,1.9,2.8,1.0
1984/1/18,2.4,4.5,0.5
1984/1/19,1.9,6.6,0.1
1984/1/20,3.0,7.4,-1.2
1984/1/21,3.6,6.7,2.2
1984/1/22,3.4,5.4,1.8
1984/1/23,2.6,4.7,0.3
1984/1/24,2.6,4.8,0.5
1984/1/25,1.9,4.5,0.8
1984/1/26,0.2,1.1,-1.3
1984/1/27,0.9,1.9,-0.6
1984/1/28,1.1,2.2,0.2
1984/1/29,2.5,4.9,-0.2
1984/1/30,3.8,8.0,0.6
1984/1/31,2.8,6.1,0.3
1984/2/1,4.8,8.4,0.9
1984/2/2,3.8,7.7,1.4
1984/2/3,0.3,1.6,-1.3
1984/2/4,1.1,3.4,-0.6
1984/2/5,3.1,5.3,-0.7
1984/2/6,-0.3,4.5,-2.9
1984/2/7,-2.3,0.3,-5.4
1984/2/8,0.3,1.3,-1.9
1984/2/9,0.5,1.7,-1.2
1984/2/10,2.3,5.7,-0.6
1984/2/11,2.4,8.3,-2.0
1984/2/12,2.0,6.5,-1.4
1984/2/13,3.0,6.8,-1.1
1984/2/14,4.2,6.6,0.3
1984/2/15,3.1,4.8,1.1
1984/2/16,2.8,7.5,-0.7
1984/2/17,3.1,5.0,0.7
1984/2/18,4.1,7.0,1.4
1984/2/19,3.8,7.4,0.3
1984/2/20,4.9,10.5,-1.2
1984/2/21,4.6,9.6,0.3
1984/2/22,4.5,11.3,-0.2
1984/2/23,7.2,8.9,5.3
1984/2/24,5.7,10.0,2.4
1984/2/25,6.4,12.2,1.6
1984/2/26,6.8,8.4,5.2
1984/2/27,2.0,5.5,0.3
1984/2/28,2.0,4.4,-0.4
1984/2/29,1.6,2.9,-0.2
1984/3/1,2.8,4.1,0.6
1984/3/2,5.1,7.3,2.2
1984/3/3,2.5,5.4,0.3
1984/3/4,2.8,4.0,2.0
1984/3/5,3.5,6.7,-0.4
1984/3/6,3.2,6.5,0.9
1984/3/7,4.0,7.0,0.8
1984/3/8,4.9,8.4,0.6
1984/3/9,4.9,10.7,0.7
1984/3/10,5.8,9.1,1.2
1984/3/11,4.2,6.2,2.5
1984/3/12,7.9,10.9,4.3
1984/3/13,6.3,9.1,2.9
1984/3/14,5.2,7.9,1.7
1984/3/15,5.6,9.1,0.7
1984/3/16,9.3,11.4,5.7
1984/3/17,7.8,10.3,6.4
1984/3/18,7.9,11.0,5.9
1984/3/19,4.0,6.0,2.4
1984/3/20,5.8,10.3,2.7
1984/3/21,3.6,5.8,0.6
1984/3/22,3.9,7.5,0.3
1984/3/23,4.9,10.2,-0.8
1984/3/24,8.8,13.4,2.1
1984/3/25,10.1,13.7,6.2
1984/3/26,6.3,10.7,1.6
1984/3/27,8.2,13.3,1.0
1984/3/28,8.0,13.2,4.5
1984/3/29,11.4,16.1,4.3
1984/3/30,13.1,18.4,5.3
1984/3/31,9.0,12.0,8.0
