ダウンロードした時刻：2019/10/10 15:48:54

,高山,高山,高山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,2.5,7.0,-1.4
1981/12/2,-2.2,1.5,-5.4
1981/12/3,-2.4,2.1,-7.3
1981/12/4,-3.3,3.9,-7.9
1981/12/5,-0.9,3.8,-5.8
1981/12/6,1.1,7.6,-2.4
1981/12/7,-0.5,1.7,-3.4
1981/12/8,1.4,5.8,-1.0
1981/12/9,1.5,6.1,-1.4
1981/12/10,0.7,5.4,-4.4
1981/12/11,1.7,9.5,-6.2
1981/12/12,3.0,7.9,0.2
1981/12/13,-1.0,0.6,-3.4
1981/12/14,-3.6,-1.5,-4.5
1981/12/15,-3.1,-1.0,-4.6
1981/12/16,-2.9,3.0,-6.9
1981/12/17,-3.2,3.8,-6.8
1981/12/18,-4.1,2.9,-6.9
1981/12/19,-1.3,1.0,-6.4
1981/12/20,0.5,3.8,-1.3
1981/12/21,-0.4,6.0,-4.6
1981/12/22,-2.0,6.1,-6.2
1981/12/23,0.7,7.5,-4.5
1981/12/24,0.6,3.6,-3.0
1981/12/25,-2.5,3.8,-7.8
1981/12/26,-1.3,7.9,-6.7
1981/12/27,1.3,11.0,-4.4
1981/12/28,0.4,9.3,-2.9
1981/12/29,1.5,5.4,-2.9
1981/12/30,1.4,3.7,-1.4
1981/12/31,0.5,2.6,-0.2
1982/1/1,0.5,5.2,-2.0
1982/1/2,0.1,4.9,-2.4
1982/1/3,0.5,8.4,-2.7
1982/1/4,4.9,12.4,-2.3
1982/1/5,3.8,6.7,-0.2
1982/1/6,0.0,3.6,-3.6
1982/1/7,-4.1,-1.4,-10.1
1982/1/8,-5.9,3.5,-14.0
1982/1/9,-1.1,3.9,-7.7
1982/1/10,-1.0,5.0,-5.9
1982/1/11,-1.8,8.6,-9.3
1982/1/12,3.1,9.5,-1.9
1982/1/13,1.0,5.0,-2.2
1982/1/14,-0.6,3.0,-3.6
1982/1/15,-0.7,3.4,-3.0
1982/1/16,-2.7,0.0,-4.6
1982/1/17,-5.1,0.5,-11.3
1982/1/18,-6.5,-1.4,-15.1
1982/1/19,-3.0,-0.6,-4.7
1982/1/20,-3.7,-0.1,-5.7
1982/1/21,-0.8,4.7,-6.0
1982/1/22,2.4,9.2,-1.0
1982/1/23,-0.3,2.3,-3.1
1982/1/24,-4.0,1.0,-10.1
1982/1/25,-0.9,1.8,-3.8
1982/1/26,-3.1,3.3,-7.8
1982/1/27,-2.7,1.6,-9.9
1982/1/28,-3.0,0.2,-5.8
1982/1/29,-6.7,-4.4,-8.2
1982/1/30,-6.9,-1.9,-10.1
1982/1/31,-4.0,2.3,-11.5
1982/2/1,-2.2,0.7,-4.8
1982/2/2,-5.6,-1.1,-12.0
1982/2/3,-6.2,0.8,-14.6
1982/2/4,-1.4,3.3,-4.6
1982/2/5,-4.7,0.3,-10.9
1982/2/6,-5.0,1.4,-12.9
1982/2/7,-5.3,-2.0,-7.0
1982/2/8,-4.8,0.0,-9.0
1982/2/9,-2.1,2.6,-6.5
1982/2/10,-3.0,0.0,-5.6
1982/2/11,-3.1,3.0,-8.3
1982/2/12,-1.3,6.4,-6.6
1982/2/13,-1.9,4.8,-8.2
1982/2/14,-2.7,2.3,-8.1
1982/2/15,-3.4,2.5,-8.2
1982/2/16,-1.8,6.6,-9.6
1982/2/17,-3.0,1.4,-6.4
1982/2/18,-1.8,7.0,-9.5
1982/2/19,1.4,8.8,-4.9
1982/2/20,3.3,6.4,1.4
1982/2/21,2.8,5.7,1.4
1982/2/22,1.5,4.5,0.4
1982/2/23,1.4,7.0,-2.2
1982/2/24,0.0,3.1,-1.7
1982/2/25,-1.9,2.8,-4.1
1982/2/26,-3.2,0.6,-5.7
1982/2/27,-0.7,8.5,-9.4
1982/2/28,2.5,10.8,-5.2
1982/3/1,1.7,4.2,0.3
1982/3/2,-0.4,3.7,-4.3
1982/3/3,-1.2,4.1,-4.3
1982/3/4,1.9,12.6,-7.2
1982/3/5,5.5,14.5,0.6
1982/3/6,3.0,8.9,-0.5
1982/3/7,-1.0,3.3,-4.4
1982/3/8,-1.1,6.8,-7.7
1982/3/9,-0.3,6.1,-5.9
1982/3/10,2.2,13.1,-6.0
1982/3/11,3.9,15.0,-5.1
1982/3/12,4.3,12.0,-3.2
1982/3/13,5.5,12.7,1.6
1982/3/14,6.0,14.7,-1.6
1982/3/15,6.6,9.5,4.9
1982/3/16,9.5,17.6,5.2
1982/3/17,6.9,16.9,0.6
1982/3/18,3.5,8.5,-1.7
1982/3/19,5.2,12.1,-2.2
1982/3/20,6.3,8.9,3.2
1982/3/21,5.8,8.6,2.2
1982/3/22,5.8,15.9,-0.6
1982/3/23,9.9,21.7,-2.0
1982/3/24,4.2,9.5,-1.9
1982/3/25,-1.2,3.0,-3.2
1982/3/26,-0.9,3.8,-4.2
1982/3/27,-0.4,7.0,-7.1
1982/3/28,1.0,10.0,-5.9
1982/3/29,3.8,16.5,-7.2
1982/3/30,8.1,17.7,-4.2
1982/3/31,7.9,11.0,4.7
