ダウンロードした時刻：2019/10/10 15:35:42

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/12/1,3.9,10.8,-1.0
1994/12/2,9.1,16.5,1.0
1994/12/3,3.4,9.1,1.4
1994/12/4,1.3,4.8,0.0
1994/12/5,1.4,4.7,-0.6
1994/12/6,2.6,5.4,0.0
1994/12/7,4.3,8.2,0.0
1994/12/8,5.1,8.6,2.5
1994/12/9,5.3,11.8,1.4
1994/12/10,0.7,3.8,-1.3
1994/12/11,3.1,7.1,-0.7
1994/12/12,3.3,7.0,-0.7
1994/12/13,2.5,5.4,-1.8
1994/12/14,0.2,4.6,-2.0
1994/12/15,-1.9,1.1,-3.4
1994/12/16,-6.1,-3.3,-7.7
1994/12/17,-2.1,2.1,-7.9
1994/12/18,-2.5,0.2,-5.4
1994/12/19,-3.9,-0.4,-6.1
1994/12/20,-1.8,2.4,-6.1
1994/12/21,-0.6,1.3,-2.8
1994/12/22,4.0,6.7,-2.7
1994/12/23,4.1,8.9,0.9
1994/12/24,6.8,10.8,1.6
1994/12/25,3.0,10.0,0.6
1994/12/26,1.5,6.2,-2.1
1994/12/27,1.6,5.4,-1.4
1994/12/28,2.4,5.3,0.3
1994/12/29,-0.4,1.6,-2.4
1994/12/30,-0.8,2.9,-4.1
1994/12/31,-0.9,1.8,-3.7
1995/1/1,-3.8,-1.3,-5.3
1995/1/2,-1.8,1.3,-5.6
1995/1/3,3.2,7.2,-3.1
1995/1/4,3.0,5.0,0.6
1995/1/5,2.1,6.8,-0.2
1995/1/6,-1.4,1.0,-3.4
1995/1/7,-0.1,2.0,-2.9
1995/1/8,1.2,5.1,-1.5
1995/1/9,4.3,11.9,-2.7
1995/1/10,-0.8,3.2,-2.8
1995/1/11,-2.2,0.2,-4.2
1995/1/12,-3.0,2.1,-6.3
1995/1/13,-4.9,-1.3,-8.1
1995/1/14,-5.2,-2.6,-7.1
1995/1/15,-4.9,-1.8,-7.1
1995/1/16,-5.2,-2.0,-7.7
1995/1/17,-5.5,-0.6,-10.4
1995/1/18,-3.0,1.0,-9.9
1995/1/19,-3.2,-0.5,-4.5
1995/1/20,-2.0,0.8,-3.8
1995/1/21,-3.0,1.7,-8.4
1995/1/22,-0.7,5.4,-8.3
1995/1/23,2.6,4.2,0.6
1995/1/24,0.9,4.7,-1.7
1995/1/25,-0.8,2.6,-2.0
1995/1/26,-0.7,3.4,-3.5
1995/1/27,-2.8,0.4,-6.1
1995/1/28,-3.6,0.4,-7.9
1995/1/29,-2.3,3.2,-6.5
1995/1/30,-3.5,1.0,-6.5
1995/1/31,-1.9,1.7,-6.7
1995/2/1,1.8,4.6,-0.6
1995/2/2,-1.3,0.8,-3.3
1995/2/3,-3.0,1.5,-7.1
1995/2/4,-1.4,3.6,-6.2
1995/2/5,-1.7,3.0,-6.5
1995/2/6,-2.0,1.3,-5.3
1995/2/7,-0.4,3.8,-4.0
1995/2/8,1.7,6.1,-0.3
1995/2/9,0.5,3.6,-3.1
1995/2/10,-1.4,1.9,-4.3
1995/2/11,1.1,6.3,-3.3
1995/2/12,3.9,9.8,-2.3
1995/2/13,1.9,5.5,-0.9
1995/2/14,0.5,4.3,-2.7
1995/2/15,-0.2,5.0,-3.0
1995/2/16,-1.0,1.0,-3.4
1995/2/17,0.2,4.8,-3.1
1995/2/18,-0.3,3.2,-2.5
1995/2/19,0.7,5.1,-1.9
1995/2/20,2.3,7.8,-0.9
1995/2/21,1.9,5.9,-0.2
1995/2/22,1.7,4.9,-0.6
1995/2/23,2.4,6.4,-0.4
1995/2/24,0.6,4.3,-1.9
1995/2/25,-0.5,3.5,-3.9
1995/2/26,-0.2,4.1,-5.2
1995/2/27,1.2,1.7,0.0
1995/2/28,-0.6,2.7,-3.2
1995/3/1,0.5,4.0,-5.0
1995/3/2,-0.5,2.4,-3.4
1995/3/3,-2.0,1.5,-4.6
1995/3/4,-3.0,0.1,-6.3
1995/3/5,-2.0,2.2,-8.0
1995/3/6,-0.6,3.0,-5.4
1995/3/7,2.1,7.1,-1.7
1995/3/8,2.8,6.4,-0.1
1995/3/9,3.5,8.0,-0.4
1995/3/10,1.4,4.3,-2.4
1995/3/11,2.0,3.2,0.9
1995/3/12,3.0,4.9,1.6
1995/3/13,2.5,5.3,0.6
1995/3/14,3.0,7.3,-0.9
1995/3/15,3.4,9.4,-2.0
1995/3/16,6.6,12.7,-2.5
1995/3/17,11.0,17.6,2.3
1995/3/18,1.1,3.8,-1.7
1995/3/19,2.2,8.5,-3.1
1995/3/20,4.7,9.7,-1.4
1995/3/21,10.5,14.0,6.3
1995/3/22,3.1,7.2,-0.6
1995/3/23,1.3,4.4,-0.7
1995/3/24,2.2,4.7,0.2
1995/3/25,0.5,2.8,-2.5
1995/3/26,-0.4,2.8,-3.2
1995/3/27,2.8,8.5,-2.8
1995/3/28,3.9,7.6,0.9
1995/3/29,3.7,7.9,-2.2
1995/3/30,9.8,16.2,5.0
1995/3/31,7.4,10.5,5.7
