ダウンロードした時刻：2019/10/10 16:09:11

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,,,
1987/12/2,,,
1987/12/3,,,
1987/12/4,,,
1987/12/5,,,
1987/12/6,,,
1987/12/7,,,
1987/12/8,,,
1987/12/9,,,
1987/12/10,,,
1987/12/11,,,
1987/12/12,,,
1987/12/13,,,
1987/12/14,,,
1987/12/15,,,
1987/12/16,,,
1987/12/17,,,
1987/12/18,,,
1987/12/19,,,
1987/12/20,,,
1987/12/21,,,
1987/12/22,,,
1987/12/23,,,
1987/12/24,,,
1987/12/25,,,
1987/12/26,,,
1987/12/27,,,
1987/12/28,,,
1987/12/29,,,
1987/12/30,,,
1987/12/31,,,
1988/1/1,6.7,13.6,1.0
1988/1/2,9.9,14.0,6.2
1988/1/3,9.7,14.6,6.5
1988/1/4,8.7,10.8,5.9
1988/1/5,7.0,9.0,4.3
1988/1/6,5.3,10.7,1.3
1988/1/7,4.9,6.9,2.2
1988/1/8,9.0,13.3,5.6
1988/1/9,5.9,10.4,3.9
1988/1/10,3.2,5.9,1.6
1988/1/11,3.7,8.2,0.4
1988/1/12,3.3,7.7,-0.3
1988/1/13,5.1,11.7,-0.5
1988/1/14,6.8,13.7,0.5
1988/1/15,8.0,10.1,5.4
1988/1/16,9.0,14.7,5.8
1988/1/17,5.8,11.1,2.5
1988/1/18,5.3,8.9,3.0
1988/1/19,4.5,8.8,1.3
1988/1/20,5.8,12.9,0.1
1988/1/21,6.6,9.7,3.0
1988/1/22,10.4,14.2,6.5
1988/1/23,3.1,12.0,-1.6
1988/1/24,1.8,4.3,-1.6
1988/1/25,4.6,8.2,1.8
1988/1/26,5.1,8.9,2.6
1988/1/27,4.8,9.9,1.5
1988/1/28,5.2,11.3,0.5
1988/1/29,6.8,13.6,1.8
1988/1/30,6.2,11.4,0.8
1988/1/31,5.1,7.9,1.7
1988/2/1,4.1,9.3,-0.9
1988/2/2,4.1,11.2,-1.1
1988/2/3,-0.8,2.0,-2.9
1988/2/4,3.1,8.6,-4.2
1988/2/5,7.9,11.7,4.5
1988/2/6,7.1,11.6,2.4
1988/2/7,1.4,5.0,-1.3
1988/2/8,3.0,7.6,-0.4
1988/2/9,3.1,8.0,-0.3
1988/2/10,3.6,7.2,0.7
1988/2/11,4.7,8.1,0.8
1988/2/12,6.0,11.4,3.1
1988/2/13,5.6,11.7,0.3
1988/2/14,6.4,11.5,0.7
1988/2/15,5.8,8.7,3.6
1988/2/16,3.8,8.5,0.8
1988/2/17,3.6,6.8,0.8
1988/2/18,2.2,5.3,-0.2
1988/2/19,4.3,8.8,-0.3
1988/2/20,5.2,9.6,0.4
1988/2/21,5.7,10.7,2.1
1988/2/22,5.6,10.5,-0.5
1988/2/23,8.2,10.6,6.4
1988/2/24,8.7,13.2,5.1
1988/2/25,7.5,12.3,2.1
1988/2/26,7.3,10.0,4.2
1988/2/27,5.7,8.2,3.8
1988/2/28,6.7,10.9,1.7
1988/2/29,6.1,8.1,4.1
1988/3/1,7.9,9.8,5.5
1988/3/2,9.3,13.2,6.5
1988/3/3,3.8,7.3,-0.1
1988/3/4,3.1,7.3,-1.5
1988/3/5,4.3,9.3,0.9
1988/3/6,6.4,10.8,1.4
1988/3/7,3.7,7.2,1.3
1988/3/8,4.1,8.2,0.5
1988/3/9,6.0,11.4,1.3
1988/3/10,8.3,13.5,3.2
1988/3/11,8.9,14.7,2.0
1988/3/12,12.0,16.1,7.5
1988/3/13,10.6,16.0,4.2
1988/3/14,10.8,12.2,9.7
1988/3/15,9.6,13.5,4.7
1988/3/16,5.2,7.6,2.7
1988/3/17,4.3,6.2,1.4
1988/3/18,8.3,13.8,3.8
1988/3/19,9.0,13.9,3.1
1988/3/20,10.7,15.0,6.1
1988/3/21,10.3,13.6,8.0
1988/3/22,10.9,13.9,8.8
1988/3/23,10.8,15.3,6.8
1988/3/24,9.0,14.1,2.9
1988/3/25,8.2,9.4,6.4
1988/3/26,9.0,11.3,7.3
1988/3/27,8.2,14.2,2.9
1988/3/28,9.1,14.6,3.3
1988/3/29,10.7,15.5,7.7
1988/3/30,9.6,14.1,7.2
1988/3/31,10.3,17.5,3.8
