ダウンロードした時刻：2019/10/10 16:02:23

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,12.4,14.1,10.3
1987/12/2,9.5,10.9,7.8
1987/12/3,10.7,12.4,8.9
1987/12/4,11.4,12.2,10.7
1987/12/5,11.5,13.3,8.6
1987/12/6,9.8,10.8,8.8
1987/12/7,10.0,10.5,9.3
1987/12/8,12.6,14.4,10.2
1987/12/9,14.2,15.4,12.4
1987/12/10,14.3,16.2,12.3
1987/12/11,15.9,17.3,12.5
1987/12/12,13.5,15.7,12.2
1987/12/13,10.5,15.1,7.8
1987/12/14,10.0,12.5,7.3
1987/12/15,13.4,15.8,7.7
1987/12/16,14.2,16.1,12.3
1987/12/17,13.2,14.5,12.0
1987/12/18,12.0,13.6,10.0
1987/12/19,13.7,15.2,11.7
1987/12/20,14.3,14.9,13.6
1987/12/21,12.1,14.0,7.2
1987/12/22,12.9,15.5,6.4
1987/12/23,13.9,15.8,9.8
1987/12/24,14.1,16.2,10.8
1987/12/25,15.0,18.4,8.4
1987/12/26,17.5,18.4,16.8
1987/12/27,18.0,18.8,17.3
1987/12/28,17.5,18.4,16.2
1987/12/29,17.8,18.5,16.6
1987/12/30,16.3,18.8,12.1
1987/12/31,10.5,13.0,8.7
1988/1/1,13.2,14.6,8.7
1988/1/2,15.8,16.5,14.4
1988/1/3,14.4,16.3,13.7
1988/1/4,15.4,18.3,10.1
1988/1/5,11.3,15.0,7.8
1988/1/6,8.6,10.0,7.1
1988/1/7,11.3,15.7,5.0
1988/1/8,13.8,15.5,12.6
1988/1/9,11.1,13.4,8.3
1988/1/10,8.1,9.0,7.3
1988/1/11,7.9,9.7,3.7
1988/1/12,9.3,14.6,2.5
1988/1/13,9.8,13.2,4.7
1988/1/14,11.3,15.1,4.3
1988/1/15,14.6,17.0,12.2
1988/1/16,12.9,14.3,10.1
1988/1/17,11.1,13.2,9.6
1988/1/18,10.1,11.2,8.1
1988/1/19,9.2,11.6,6.3
1988/1/20,10.8,13.7,6.7
1988/1/21,13.3,17.5,5.2
1988/1/22,16.5,19.2,14.4
1988/1/23,11.4,17.3,6.8
1988/1/24,6.3,7.4,3.9
1988/1/25,8.7,10.1,6.5
1988/1/26,9.8,10.7,8.7
1988/1/27,10.1,11.1,8.8
1988/1/28,10.1,11.0,8.5
1988/1/29,12.7,15.0,10.2
1988/1/30,10.8,12.3,9.3
1988/1/31,11.2,11.9,10.4
1988/2/1,9.6,11.3,8.2
1988/2/2,11.0,12.4,8.1
1988/2/3,4.2,8.3,1.8
1988/2/4,7.5,10.9,4.1
1988/2/5,15.4,18.0,10.5
1988/2/6,13.7,17.9,8.7
1988/2/7,6.5,9.3,5.3
1988/2/8,7.1,8.5,5.1
1988/2/9,8.0,9.2,7.0
1988/2/10,7.6,8.9,6.0
1988/2/11,7.9,9.7,5.4
1988/2/12,9.8,11.2,6.6
1988/2/13,9.8,10.7,8.5
1988/2/14,10.0,11.1,5.7
1988/2/15,7.5,10.4,5.1
1988/2/16,7.4,8.9,5.7
1988/2/17,5.0,6.2,3.1
1988/2/18,7.2,8.9,4.0
1988/2/19,6.8,8.4,2.6
1988/2/20,10.0,11.3,7.0
1988/2/21,8.1,10.8,6.6
1988/2/22,6.8,9.8,4.2
1988/2/23,13.6,16.1,7.7
1988/2/24,11.3,14.4,9.2
1988/2/25,10.3,11.7,8.7
1988/2/26,10.1,11.8,9.3
1988/2/27,8.6,10.8,6.2
1988/2/28,8.7,11.6,6.6
1988/2/29,9.4,12.3,4.2
1988/3/1,11.3,13.9,8.5
1988/3/2,10.6,11.2,9.8
1988/3/3,10.1,12.2,6.8
1988/3/4,7.0,8.9,4.0
1988/3/5,9.9,11.6,5.5
1988/3/6,10.6,11.7,9.6
1988/3/7,9.2,10.6,7.1
1988/3/8,8.0,9.5,6.9
1988/3/9,8.5,10.1,6.9
1988/3/10,10.2,12.1,8.5
1988/3/11,13.7,16.1,10.1
1988/3/12,15.2,18.1,12.3
1988/3/13,13.3,14.9,10.1
1988/3/14,16.9,19.1,14.3
1988/3/15,14.9,20.1,10.1
1988/3/16,8.3,10.1,7.2
1988/3/17,10.9,12.3,9.7
1988/3/18,11.1,13.5,9.2
1988/3/19,12.8,16.6,8.8
1988/3/20,12.4,14.3,11.1
1988/3/21,11.7,13.4,9.9
1988/3/22,16.1,20.2,13.0
1988/3/23,14.5,16.9,12.8
1988/3/24,11.2,13.6,8.7
1988/3/25,11.8,14.7,7.9
1988/3/26,10.6,13.5,7.9
1988/3/27,10.3,12.4,7.6
1988/3/28,12.6,14.5,11.3
1988/3/29,11.5,13.8,10.5
1988/3/30,10.9,11.5,10.3
1988/3/31,10.1,11.2,8.8
