ダウンロードした時刻：2019/10/10 16:16:04

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,7.8,12.5,2.5
1989/12/2,7.8,15.1,0.1
1989/12/3,10.5,17.8,5.3
1989/12/4,12.1,19.1,3.9
1989/12/5,10.7,18.1,5.4
1989/12/6,10.4,15.4,5.0
1989/12/7,10.6,16.1,3.9
1989/12/8,9.9,12.7,6.9
1989/12/9,8.2,10.7,6.9
1989/12/10,7.3,11.4,1.5
1989/12/11,8.6,15.3,0.0
1989/12/12,9.8,12.7,6.4
1989/12/13,7.8,10.4,5.6
1989/12/14,7.1,11.8,5.5
1989/12/15,7.4,12.0,2.3
1989/12/16,7.4,13.8,1.2
1989/12/17,10.3,15.0,4.0
1989/12/18,9.3,14.8,4.1
1989/12/19,5.6,7.9,4.8
1989/12/20,6.0,11.4,0.1
1989/12/21,7.8,14.6,3.2
1989/12/22,5.8,10.7,1.8
1989/12/23,5.9,11.5,0.6
1989/12/24,7.7,10.0,4.3
1989/12/25,8.1,12.9,3.1
1989/12/26,8.2,11.9,3.3
1989/12/27,6.3,9.1,2.0
1989/12/28,4.2,9.4,-1.0
1989/12/29,5.9,9.6,1.8
1989/12/30,6.5,9.0,4.8
1989/12/31,5.2,9.0,1.0
1990/1/1,6.0,9.7,-0.2
1990/1/2,4.4,7.2,1.2
1990/1/3,4.4,8.8,-0.6
1990/1/4,4.9,8.8,1.4
1990/1/5,5.9,11.0,-1.8
1990/1/6,5.7,8.9,1.8
1990/1/7,5.3,8.5,1.3
1990/1/8,3.0,9.0,-2.7
1990/1/9,5.8,9.9,0.1
1990/1/10,10.9,15.1,5.9
1990/1/11,7.7,10.4,5.0
1990/1/12,8.0,11.5,4.2
1990/1/13,6.4,8.8,4.1
1990/1/14,5.3,9.5,1.4
1990/1/15,4.6,8.5,-0.6
1990/1/16,4.5,8.2,0.9
1990/1/17,5.8,10.5,0.8
1990/1/18,7.0,11.7,-0.3
1990/1/19,8.2,9.5,5.9
1990/1/20,4.5,7.1,2.5
1990/1/21,3.2,7.7,-0.5
1990/1/22,3.8,9.4,-2.1
1990/1/23,2.7,4.7,0.2
1990/1/24,0.1,3.3,-2.0
1990/1/25,0.6,3.9,-1.4
1990/1/26,1.6,5.6,-2.1
1990/1/27,2.4,6.7,-0.7
1990/1/28,3.2,7.4,-2.5
1990/1/29,7.4,10.7,3.8
1990/1/30,7.0,10.1,4.7
1990/1/31,2.5,4.8,1.7
1990/2/1,3.0,5.4,0.4
1990/2/2,3.7,7.9,-0.3
1990/2/3,4.8,5.9,2.6
1990/2/4,5.6,7.3,3.8
1990/2/5,6.8,11.0,2.4
1990/2/6,5.2,6.6,3.6
1990/2/7,7.4,12.5,3.6
1990/2/8,5.2,7.6,1.5
1990/2/9,5.9,11.1,2.9
1990/2/10,7.7,12.8,-0.1
1990/2/11,11.7,14.3,8.1
1990/2/12,8.6,12.9,5.1
1990/2/13,6.2,10.7,0.6
1990/2/14,5.8,7.2,4.8
1990/2/15,7.5,9.7,5.4
1990/2/16,7.6,10.9,4.3
1990/2/17,7.4,13.0,1.9
1990/2/18,8.7,11.3,3.3
1990/2/19,14.4,18.2,8.6
1990/2/20,12.7,16.5,8.0
1990/2/21,10.1,14.9,3.3
1990/2/22,9.7,12.2,4.7
1990/2/23,13.2,15.0,10.3
1990/2/24,12.2,15.5,10.0
1990/2/25,9.5,10.3,8.9
1990/2/26,9.8,11.7,8.4
1990/2/27,8.0,10.5,5.1
1990/2/28,6.1,8.3,1.6
1990/3/1,7.6,8.5,6.4
1990/3/2,8.6,9.9,7.8
1990/3/3,8.4,9.2,7.8
1990/3/4,8.6,12.9,4.3
1990/3/5,7.6,12.4,1.8
1990/3/6,8.9,12.8,4.0
1990/3/7,8.1,13.5,3.7
1990/3/8,5.5,10.3,2.0
1990/3/9,7.0,14.4,-1.1
1990/3/10,11.4,18.5,3.4
1990/3/11,9.7,14.5,2.9
1990/3/12,10.2,14.4,5.2
1990/3/13,7.7,13.2,2.5
1990/3/14,8.1,11.6,1.8
1990/3/15,13.1,18.6,8.8
1990/3/16,10.8,16.1,5.3
1990/3/17,9.7,14.5,5.4
1990/3/18,9.1,14.0,4.5
1990/3/19,10.3,15.6,3.5
1990/3/20,14.0,19.1,7.4
1990/3/21,11.2,17.5,6.3
1990/3/22,10.6,17.5,3.9
1990/3/23,13.8,20.8,5.2
1990/3/24,13.6,19.5,9.5
1990/3/25,8.7,11.8,5.9
1990/3/26,8.1,14.2,1.7
1990/3/27,9.7,14.6,1.7
1990/3/28,10.0,10.8,9.0
1990/3/29,11.6,14.9,9.9
1990/3/30,12.7,16.5,7.0
1990/3/31,12.6,13.3,11.8
