ダウンロードした時刻：2017/07/24 15:37:00

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,-3.8,1.6,-6.5
1996/1/2,-2.2,2.2,-5.8
1996/1/3,1.6,9.1,-5.5
1996/1/4,-2.9,-0.1,-4.1
1996/1/5,0.3,2.4,-2.2
1996/1/6,0.5,3.0,-1.6
1996/1/7,1.4,4.4,-1.3
1996/1/8,1.2,4.6,-2.3
1996/1/9,-5.7,-2.2,-7.3
1996/1/10,-1.5,1.6,-6.5
1996/1/11,2.8,6.1,-0.1
1996/1/12,2.3,5.2,-0.4
1996/1/13,1.0,5.5,-2.6
1996/1/14,1.6,8.0,-3.9
1996/1/15,4.7,11.0,1.3
1996/1/16,0.7,3.1,-2.8
1996/1/17,-2.3,0.4,-3.9
1996/1/18,-2.3,1.8,-4.3
1996/1/19,-2.5,1.0,-5.5
1996/1/20,0.0,5.2,-6.1
1996/1/21,-0.6,2.1,-2.8
1996/1/22,-1.6,1.6,-5.8
1996/1/23,-2.0,3.5,-5.2
1996/1/24,-5.3,-0.5,-8.2
1996/1/25,-3.9,0.4,-8.5
1996/1/26,-4.4,-2.3,-6.8
1996/1/27,-0.8,2.4,-3.4
1996/1/28,-1.5,3.9,-5.7
1996/1/29,-1.0,4.7,-6.2
1996/1/30,-5.1,-1.9,-8.5
1996/1/31,-8.0,-4.7,-10.1
1996/2/1,-7.1,-3.7,-9.7
1996/2/2,-6.9,-4.3,-9.2
1996/2/3,-4.5,-1.4,-7.0
1996/2/4,-1.6,3.2,-5.2
1996/2/5,1.7,6.4,-4.6
1996/2/6,1.6,5.0,-0.3
1996/2/7,-0.2,3.5,-1.9
1996/2/8,-0.3,3.2,-4.5
1996/2/9,-1.9,2.7,-4.7
1996/2/10,-3.9,-0.5,-6.0
1996/2/11,-0.5,3.5,-6.4
1996/2/12,7.0,9.9,1.5
1996/2/13,7.2,12.2,3.4
1996/2/14,7.9,15.4,1.5
1996/2/15,0.3,4.6,-4.2
1996/2/16,-4.3,-1.3,-5.9
1996/2/17,-3.2,0.6,-6.4
1996/2/18,-2.9,1.7,-5.4
1996/2/19,-4.1,0.3,-7.5
1996/2/20,-4.1,-0.3,-7.1
1996/2/21,-4.7,-0.8,-7.6
1996/2/22,-2.3,2.4,-6.1
1996/2/23,-1.4,2.5,-3.9
1996/2/24,-1.3,3.1,-4.4
1996/2/25,-0.4,7.2,-6.8
1996/2/26,2.1,6.6,-0.8
1996/2/27,2.9,8.3,-3.2
1996/2/28,2.8,6.8,0.5
1996/2/29,3.4,8.4,-0.4
1996/3/1,3.2,9.3,-0.7
1996/3/2,0.3,3.8,-3.1
1996/3/3,-1.2,2.5,-3.7
1996/3/4,-0.2,4.8,-3.6
1996/3/5,-1.9,0.9,-3.9
1996/3/6,-0.6,3.0,-5.8
1996/3/7,-0.1,2.2,-2.6
1996/3/8,-1.0,1.3,-4.6
1996/3/9,-0.9,-0.3,-1.7
1996/3/10,0.0,3.3,-2.2
1996/3/11,0.2,4.7,-3.3
1996/3/12,-1.2,0.7,-2.2
1996/3/13,0.7,6.5,-3.9
1996/3/14,3.2,8.8,-2.6
1996/3/15,6.9,12.4,2.0
1996/3/16,4.9,9.9,2.2
1996/3/17,4.5,6.2,2.0
1996/3/18,2.7,6.6,-1.4
1996/3/19,0.3,3.8,-1.7
1996/3/20,1.7,6.8,-2.3
1996/3/21,1.9,6.4,-4.8
1996/3/22,3.3,4.4,1.8
1996/3/23,0.8,3.4,-1.4
1996/3/24,1.8,6.5,-2.3
1996/3/25,3.7,5.1,1.9
1996/3/26,4.2,9.6,0.9
1996/3/27,3.5,8.9,-0.3
1996/3/28,4.1,8.9,0.4
1996/3/29,6.7,13.2,1.2
1996/3/30,6.3,11.3,1.4
1996/3/31,8.9,11.9,5.1
1996/4/1,4.2,8.3,0.8
1996/4/2,1.7,6.0,-0.7
1996/4/3,2.5,6.7,-1.1
1996/4/4,4.5,9.6,0.3
1996/4/5,4.6,8.7,2.0
1996/4/6,6.0,10.6,2.4
1996/4/7,7.2,12.9,2.7
1996/4/8,4.6,9.0,1.7
1996/4/9,3.4,6.5,1.2
1996/4/10,4.7,10.1,1.7
1996/4/11,2.2,8.7,-0.9
1996/4/12,1.0,4.0,-1.5
1996/4/13,2.9,8.4,-2.7
1996/4/14,7.3,13.5,0.0
1996/4/15,11.4,16.9,5.3
1996/4/16,5.5,10.1,2.3
1996/4/17,4.0,6.6,2.3
1996/4/18,4.1,5.8,2.7
1996/4/19,2.6,3.8,1.7
1996/4/20,4.6,7.7,2.1
1996/4/21,4.2,9.7,0.2
1996/4/22,6.5,11.4,2.0
1996/4/23,12.6,19.6,3.4
1996/4/24,17.3,24.2,12.0
1996/4/25,15.6,24.8,7.0
1996/4/26,10.5,16.7,7.6
1996/4/27,12.0,18.5,8.0
1996/4/28,10.9,14.3,7.4
1996/4/29,13.0,19.3,8.1
1996/4/30,10.0,14.2,6.9
1996/5/1,8.8,10.7,6.8
