ダウンロードした時刻：2017/07/24 15:38:35

,相川,相川,相川
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/1/1,3.4,4.9,0.6
1994/1/2,7.4,11.3,3.3
1994/1/3,9.5,11.3,8.2
1994/1/4,5.0,8.5,3.2
1994/1/5,2.1,5.0,-0.1
1994/1/6,6.4,10.5,1.6
1994/1/7,1.6,7.2,-1.3
1994/1/8,2.9,6.4,-1.5
1994/1/9,8.3,10.7,4.0
1994/1/10,6.4,9.4,2.3
1994/1/11,6.3,10.3,2.5
1994/1/12,3.3,5.4,1.5
1994/1/13,2.8,5.5,0.6
1994/1/14,4.0,6.1,1.1
1994/1/15,2.4,4.4,0.0
1994/1/16,6.8,10.1,-0.1
1994/1/17,7.9,12.0,4.4
1994/1/18,1.7,5.1,-1.8
1994/1/19,-0.5,1.0,-2.0
1994/1/20,1.0,2.5,-1.1
1994/1/21,1.1,2.4,0.2
1994/1/22,2.2,4.3,-1.8
1994/1/23,0.6,3.9,-1.6
1994/1/24,0.1,2.7,-2.3
1994/1/25,4.3,7.1,0.0
1994/1/26,6.4,9.5,3.5
1994/1/27,1.9,6.9,-0.7
1994/1/28,1.1,4.3,-1.5
1994/1/29,0.6,2.5,-1.3
1994/1/30,-0.6,1.3,-2.5
1994/1/31,2.1,4.0,-1.3
1994/2/1,4.7,6.9,2.5
1994/2/2,0.1,3.4,-1.9
1994/2/3,0.4,1.8,-1.1
1994/2/4,2.4,4.3,-1.1
1994/2/5,4.9,7.8,0.0
1994/2/6,5.5,8.8,1.3
1994/2/7,5.7,9.0,1.3
1994/2/8,5.2,8.0,-0.5
1994/2/9,6.2,8.3,3.8
1994/2/10,2.5,5.1,-0.2
1994/2/11,0.4,1.3,-0.9
1994/2/12,0.0,1.3,-1.5
1994/2/13,-0.9,0.3,-2.9
1994/2/14,1.7,3.0,-0.7
1994/2/15,4.0,5.8,2.5
1994/2/16,4.3,5.1,3.6
1994/2/17,3.1,4.8,1.7
1994/2/18,5.6,8.0,3.0
1994/2/19,7.2,10.4,3.3
1994/2/20,8.9,14.4,1.2
1994/2/21,9.0,12.6,3.7
1994/2/22,2.4,4.3,0.9
1994/2/23,1.4,3.4,-1.3
1994/2/24,1.6,3.9,-0.9
1994/2/25,4.4,7.3,1.6
1994/2/26,3.9,6.4,2.2
1994/2/27,4.2,6.1,1.1
1994/2/28,4.3,6.3,0.2
1994/3/1,4.2,7.3,0.1
1994/3/2,2.8,4.9,-0.1
1994/3/3,4.1,7.8,-0.6
1994/3/4,1.9,6.4,-0.7
1994/3/5,2.0,3.9,1.0
1994/3/6,1.5,4.8,-1.9
1994/3/7,4.9,10.2,-1.3
1994/3/8,9.5,11.6,6.4
1994/3/9,6.5,10.3,1.7
1994/3/10,1.7,4.8,0.0
1994/3/11,2.9,5.8,-0.1
1994/3/12,4.5,6.6,2.6
1994/3/13,2.2,5.2,0.6
1994/3/14,1.7,5.5,-1.3
1994/3/15,1.3,5.7,-1.3
1994/3/16,5.1,8.8,0.2
1994/3/17,4.8,6.8,2.6
1994/3/18,4.1,7.7,-0.9
1994/3/19,5.6,10.6,0.8
1994/3/20,4.7,8.0,1.6
1994/3/21,3.0,6.2,-0.8
1994/3/22,4.5,8.6,-1.8
1994/3/23,7.8,10.7,5.3
1994/3/24,6.3,7.8,2.6
1994/3/25,4.3,6.6,1.4
1994/3/26,3.2,6.0,0.8
1994/3/27,5.2,7.9,1.7
1994/3/28,9.3,11.7,7.3
1994/3/29,6.1,7.9,4.5
1994/3/30,4.6,8.1,1.3
1994/3/31,6.7,10.7,2.0
1994/4/1,10.8,16.9,2.9
1994/4/2,9.7,12.5,7.5
1994/4/3,6.9,9.0,1.9
1994/4/4,7.7,12.1,1.8
1994/4/5,11.7,16.4,8.2
1994/4/6,12.6,18.0,7.8
1994/4/7,13.0,18.2,6.4
1994/4/8,6.4,8.8,4.1
1994/4/9,5.7,7.1,4.3
1994/4/10,6.0,9.4,1.0
1994/4/11,10.3,15.9,3.0
1994/4/12,15.5,21.9,10.8
1994/4/13,10.0,12.4,8.1
1994/4/14,10.8,13.4,5.9
1994/4/15,11.6,15.5,7.7
1994/4/16,12.4,17.7,7.0
1994/4/17,11.4,15.9,3.2
1994/4/18,10.0,15.3,2.8
1994/4/19,13.1,17.3,9.4
1994/4/20,10.3,15.9,7.7
1994/4/21,10.7,16.0,5.5
1994/4/22,13.2,19.1,6.7
1994/4/23,17.3,22.5,12.1
1994/4/24,11.9,16.5,9.9
1994/4/25,11.5,14.1,8.1
1994/4/26,10.7,15.6,5.7
1994/4/27,10.9,14.9,4.8
1994/4/28,14.1,17.2,9.8
1994/4/29,12.7,16.7,9.5
1994/4/30,9.6,12.4,7.4
1994/5/1,9.7,12.3,7.7
