ダウンロードした時刻：2019/10/10 16:09:47

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/12/1,11.7,17.5,7.4
2015/12/2,10.7,14.9,6.4
2015/12/3,11.0,13.1,6.9
2015/12/4,8.7,10.6,5.7
2015/12/5,9.2,14.8,4.9
2015/12/6,10.1,13.0,7.9
2015/12/7,10.7,16.8,6.5
2015/12/8,9.9,16.0,5.7
2015/12/9,10.2,15.0,5.2
2015/12/10,11.3,12.8,9.8
2015/12/11,14.1,16.5,11.9
2015/12/12,11.5,15.0,9.4
2015/12/13,11.3,15.7,6.9
2015/12/14,13.3,17.8,10.2
2015/12/15,11.9,13.0,10.2
2015/12/16,10.2,13.8,7.8
2015/12/17,5.3,8.9,2.5
2015/12/18,5.7,10.0,2.0
2015/12/19,6.6,13.3,2.5
2015/12/20,6.7,10.7,2.2
2015/12/21,9.3,11.6,7.4
2015/12/22,10.1,15.7,6.3
2015/12/23,9.0,10.1,7.3
2015/12/24,10.8,16.0,6.7
2015/12/25,10.3,14.1,5.1
2015/12/26,7.4,12.1,2.5
2015/12/27,8.3,13.2,5.0
2015/12/28,6.1,12.2,2.4
2015/12/29,5.3,9.9,1.6
2015/12/30,5.4,11.8,1.0
2015/12/31,4.9,10.0,2.1
2016/1/1,5.9,12.1,1.1
2016/1/2,7.5,13.3,2.4
2016/1/3,9.9,15.6,5.7
2016/1/4,10.8,16.3,7.3
2016/1/5,7.7,10.6,6.0
2016/1/6,7.7,11.2,5.2
2016/1/7,7.5,12.5,4.3
2016/1/8,6.9,10.5,3.9
2016/1/9,6.0,10.8,2.7
2016/1/10,6.4,12.1,2.6
2016/1/11,7.0,12.2,3.1
2016/1/12,7.6,11.4,5.3
2016/1/13,5.2,9.3,1.9
2016/1/14,4.1,9.8,0.4
2016/1/15,4.8,10.5,1.6
2016/1/16,5.1,10.6,0.4
2016/1/17,4.9,7.8,2.9
2016/1/18,6.0,11.5,1.1
2016/1/19,0.8,4.2,-0.9
2016/1/20,2.6,8.0,-1.6
2016/1/21,3.8,7.4,0.3
2016/1/22,5.4,10.5,1.6
2016/1/23,3.9,7.1,1.0
2016/1/24,-2.2,1.2,-3.9
2016/1/25,0.8,6.1,-3.3
2016/1/26,4.0,6.8,0.8
2016/1/27,6.2,11.4,2.2
2016/1/28,5.4,7.9,2.1
2016/1/29,7.4,8.8,6.0
2016/1/30,8.6,10.9,6.3
2016/1/31,7.0,10.4,3.5
2016/2/1,6.9,9.6,5.2
2016/2/2,6.2,10.3,2.1
2016/2/3,6.1,10.0,3.6
2016/2/4,5.6,10.7,0.6
2016/2/5,5.5,10.4,1.5
2016/2/6,4.4,10.2,0.9
2016/2/7,4.7,9.2,1.8
2016/2/8,5.5,10.1,0.9
2016/2/9,7.5,11.7,3.5
2016/2/10,6.1,13.0,0.6
2016/2/11,7.4,13.5,1.8
2016/2/12,9.2,13.6,4.3
2016/2/13,11.8,13.4,10.2
2016/2/14,12.4,16.3,8.8
2016/2/15,5.1,8.9,2.1
2016/2/16,4.2,8.5,0.6
2016/2/17,5.2,9.0,1.4
2016/2/18,4.6,10.6,-0.9
2016/2/19,7.9,13.6,1.7
2016/2/20,7.8,9.5,6.8
2016/2/21,6.2,10.2,2.9
2016/2/22,5.7,10.0,1.3
2016/2/23,7.0,12.3,4.7
2016/2/24,4.9,7.4,2.3
2016/2/25,4.1,8.5,1.1
2016/2/26,4.7,10.4,-0.6
2016/2/27,6.5,11.4,2.7
2016/2/28,9.6,15.2,5.6
2016/2/29,6.0,10.3,0.0
2016/3/1,2.3,5.1,0.1
2016/3/2,5.4,12.2,-0.3
2016/3/3,8.0,14.8,1.4
2016/3/4,10.5,15.4,6.9
2016/3/5,14.1,20.1,8.4
2016/3/6,15.9,18.9,13.4
2016/3/7,16.9,22.5,13.3
2016/3/8,13.9,16.9,11.8
2016/3/9,9.3,12.8,7.1
2016/3/10,8.7,11.6,6.8
2016/3/11,7.6,12.0,4.6
2016/3/12,7.1,12.3,2.6
2016/3/13,7.8,11.6,4.6
2016/3/14,8.3,13.7,5.6
2016/3/15,9.0,14.9,4.5
2016/3/16,10.2,16.2,5.7
2016/3/17,12.4,19.2,5.6
2016/3/18,12.1,14.1,10.7
2016/3/19,14.4,20.9,10.9
2016/3/20,11.3,18.4,8.2
2016/3/21,9.9,17.1,4.9
2016/3/22,10.6,17.4,3.7
2016/3/23,12.0,18.0,6.6
2016/3/24,9.4,14.9,6.3
2016/3/25,8.0,14.2,3.2
2016/3/26,8.2,13.6,2.1
2016/3/27,9.0,14.2,6.2
2016/3/28,10.3,16.1,4.2
2016/3/29,11.3,17.0,4.3
2016/3/30,14.0,19.0,8.7
2016/3/31,14.2,19.0,9.8
