ダウンロードした時刻：2017/07/24 15:39:13

,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,0.4,5.5,-3.9
1998/1/2,3.2,8.0,0.0
1998/1/3,2.3,9.8,-3.0
1998/1/4,3.2,9.7,-1.1
1998/1/5,1.3,8.3,-3.0
1998/1/6,-0.3,1.2,-1.6
1998/1/7,-1.5,0.6,-4.9
1998/1/8,-3.4,-0.3,-6.1
1998/1/9,-1.2,0.5,-3.0
1998/1/10,-1.8,1.9,-7.5
1998/1/11,0.6,2.6,-1.0
1998/1/12,-1.0,0.4,-2.5
1998/1/13,-0.3,2.8,-2.7
1998/1/14,-0.6,3.7,-4.4
1998/1/15,-0.6,1.4,-2.4
1998/1/16,1.7,4.2,-0.4
1998/1/17,2.4,6.3,-0.9
1998/1/18,5.3,8.9,2.2
1998/1/19,0.7,4.2,-2.6
1998/1/20,-0.5,4.0,-3.4
1998/1/21,-1.1,2.5,-4.3
1998/1/22,-0.4,3.6,-2.6
1998/1/23,-0.5,2.8,-3.3
1998/1/24,-3.3,0.1,-5.7
1998/1/25,-4.3,0.8,-8.9
1998/1/26,-2.8,2.7,-8.5
1998/1/27,-2.5,1.0,-5.7
1998/1/28,-4.4,0.0,-7.9
1998/1/29,-3.2,1.1,-6.5
1998/1/30,-3.1,3.7,-9.7
1998/1/31,-2.2,1.7,-5.2
1998/2/1,-1.7,2.6,-6.3
1998/2/2,-0.7,4.8,-5.8
1998/2/3,0.2,5.9,-6.2
1998/2/4,-1.1,1.8,-4.7
1998/2/5,-2.3,3.3,-7.4
1998/2/6,-1.4,6.2,-7.7
1998/2/7,1.4,5.4,-4.0
1998/2/8,2.1,7.6,-2.6
1998/2/9,-1.3,1.8,-4.2
1998/2/10,-3.1,1.2,-6.1
1998/2/11,-2.7,3.2,-8.5
1998/2/12,0.5,7.4,-5.0
1998/2/13,4.4,11.6,-0.5
1998/2/14,1.9,4.9,-1.0
1998/2/15,0.1,2.3,-1.5
1998/2/16,0.5,5.8,-3.8
1998/2/17,-1.2,2.6,-3.0
1998/2/18,-0.8,3.6,-3.7
1998/2/19,1.7,10.9,-5.7
1998/2/20,3.8,7.6,0.1
1998/2/21,3.6,6.0,0.5
1998/2/22,1.8,7.2,-1.6
1998/2/23,2.1,10.4,-4.1
1998/2/24,3.8,9.2,-0.5
1998/2/25,5.7,8.3,4.2
1998/2/26,5.9,10.7,3.4
1998/2/27,6.0,12.1,3.1
1998/2/28,6.3,14.3,1.5
1998/3/1,1.6,4.4,0.0
1998/3/2,3.3,8.3,-0.5
1998/3/3,3.4,12.0,-2.8
1998/3/4,3.2,12.1,-2.5
1998/3/5,2.1,5.5,0.2
1998/3/6,4.3,9.8,0.1
1998/3/7,0.4,3.2,-2.4
1998/3/8,0.8,6.9,-4.0
1998/3/9,2.7,11.6,-3.2
1998/3/10,1.8,6.1,-1.7
1998/3/11,5.4,14.9,-3.8
1998/3/12,8.0,13.8,4.5
1998/3/13,6.0,13.4,1.9
1998/3/14,5.6,14.6,-0.6
1998/3/15,-0.3,4.4,-4.4
1998/3/16,0.7,7.3,-4.7
1998/3/17,-0.8,1.0,-3.3
1998/3/18,0.1,5.7,-4.8
1998/3/19,8.3,17.9,-2.1
1998/3/20,9.0,16.0,2.7
1998/3/21,3.9,8.0,1.8
1998/3/22,3.0,7.9,-0.4
1998/3/23,2.5,8.3,-1.2
1998/3/24,4.0,12.3,-1.8
1998/3/25,5.2,13.0,-0.1
1998/3/26,8.4,16.8,-0.2
1998/3/27,10.1,12.8,7.4
1998/3/28,11.0,17.3,6.5
1998/3/29,11.9,22.2,3.6
1998/3/30,11.8,22.1,4.6
1998/3/31,5.8,8.5,2.0
1998/4/1,1.5,3.6,-0.6
1998/4/2,3.0,6.2,1.1
1998/4/3,3.8,9.8,-0.8
1998/4/4,7.5,16.9,-0.9
1998/4/5,10.6,18.9,2.5
1998/4/6,10.7,13.4,7.9
1998/4/7,12.7,17.9,9.7
1998/4/8,11.7,18.4,7.6
1998/4/9,9.5,10.1,8.5
1998/4/10,12.3,20.9,6.3
1998/4/11,13.9,23.1,5.5
1998/4/12,16.1,23.4,6.8
1998/4/13,22.1,28.3,17.4
1998/4/14,17.3,20.8,15.5
1998/4/15,15.9,22.0,12.9
1998/4/16,13.3,17.6,11.0
1998/4/17,12.9,17.5,9.5
1998/4/18,12.9,17.6,6.7
1998/4/19,15.0,21.8,9.9
1998/4/20,18.1,29.4,8.4
1998/4/21,19.3,27.1,12.7
1998/4/22,21.0,30.1,15.5
1998/4/23,20.9,25.4,16.8
1998/4/24,20.2,23.2,17.2
1998/4/25,16.7,20.4,11.5
1998/4/26,11.6,16.2,9.6
1998/4/27,13.8,20.0,9.6
1998/4/28,16.9,25.0,10.6
1998/4/29,16.9,23.5,12.1
1998/4/30,16.6,23.8,9.1
1998/5/1,18.5,25.3,14.2
