ダウンロードした時刻：2019/10/10 15:57:14

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,13.5,14.6,12.1
2003/12/2,14.1,16.9,11.2
2003/12/3,12.3,16.6,9.1
2003/12/4,10.6,14.9,7.4
2003/12/5,9.4,13.9,4.6
2003/12/6,12.2,16.7,10.1
2003/12/7,10.8,15.0,6.0
2003/12/8,7.8,11.7,4.5
2003/12/9,8.2,11.3,6.7
2003/12/10,7.6,11.7,4.0
2003/12/11,6.3,8.7,3.3
2003/12/12,9.5,13.1,7.3
2003/12/13,7.8,12.1,5.5
2003/12/14,7.9,13.2,4.7
2003/12/15,7.3,13.5,2.1
2003/12/16,6.3,9.8,4.1
2003/12/17,6.7,9.6,3.2
2003/12/18,8.0,11.3,6.2
2003/12/19,6.5,9.9,2.1
2003/12/20,2.2,5.5,0.9
2003/12/21,4.5,8.8,1.3
2003/12/22,7.2,12.9,1.5
2003/12/23,10.2,14.7,5.3
2003/12/24,10.0,15.4,5.2
2003/12/25,9.3,13.3,4.1
2003/12/26,9.7,13.6,6.1
2003/12/27,3.4,6.3,1.9
2003/12/28,5.6,9.8,3.0
2003/12/29,8.1,13.8,1.3
2003/12/30,9.2,12.1,4.9
2003/12/31,7.1,10.3,4.6
2004/1/1,9.0,13.6,6.4
2004/1/2,8.9,13.9,3.2
2004/1/3,8.9,13.3,5.8
2004/1/4,7.8,11.8,4.0
2004/1/5,7.4,12.3,3.1
2004/1/6,7.0,11.2,3.3
2004/1/7,7.0,12.9,1.5
2004/1/8,4.3,8.8,2.3
2004/1/9,4.8,10.3,1.5
2004/1/10,5.7,12.3,-0.3
2004/1/11,4.4,6.8,2.5
2004/1/12,5.2,8.2,1.7
2004/1/13,5.6,8.4,2.5
2004/1/14,3.1,7.2,1.0
2004/1/15,3.4,6.9,1.4
2004/1/16,3.5,6.5,1.7
2004/1/17,2.1,3.4,0.5
2004/1/18,5.3,9.7,1.3
2004/1/19,6.4,11.3,4.1
2004/1/20,6.5,11.5,3.3
2004/1/21,4.6,8.1,1.9
2004/1/22,0.1,2.8,-1.7
2004/1/23,3.0,7.6,-1.5
2004/1/24,4.0,8.0,1.0
2004/1/25,3.4,8.2,0.6
2004/1/26,4.0,8.1,0.7
2004/1/27,4.7,9.9,2.2
2004/1/28,5.3,10.2,1.9
2004/1/29,7.2,11.9,4.0
2004/1/30,6.7,12.3,1.7
2004/1/31,6.4,10.3,4.6
2004/2/1,5.6,7.9,2.8
2004/2/2,6.8,9.9,4.9
2004/2/3,7.5,10.9,3.6
2004/2/4,4.8,9.0,2.0
2004/2/5,3.6,8.0,1.2
2004/2/6,3.5,8.5,0.3
2004/2/7,3.4,7.6,0.3
2004/2/8,4.5,9.4,0.3
2004/2/9,5.1,9.8,1.1
2004/2/10,4.7,8.8,0.9
2004/2/11,6.6,12.9,-0.6
2004/2/12,7.0,11.1,3.9
2004/2/13,6.7,10.3,2.2
2004/2/14,6.8,12.9,1.6
2004/2/15,6.5,9.8,3.1
2004/2/16,5.1,9.1,2.5
2004/2/17,6.3,13.0,-0.2
2004/2/18,8.3,13.2,4.3
2004/2/19,8.3,18.3,2.1
2004/2/20,10.6,14.3,7.2
2004/2/21,11.7,15.3,9.0
2004/2/22,11.8,18.7,8.3
2004/2/23,7.6,14.5,4.7
2004/2/24,7.0,11.1,2.6
2004/2/25,8.8,13.1,5.3
2004/2/26,8.1,15.8,3.6
2004/2/27,5.6,10.2,2.4
2004/2/28,5.7,10.1,0.2
2004/2/29,7.1,9.7,5.2
2004/3/1,7.6,11.2,5.4
2004/3/2,6.5,12.5,3.3
2004/3/3,5.0,8.5,1.5
2004/3/4,4.2,9.8,1.9
2004/3/5,5.3,9.8,0.6
2004/3/6,5.1,9.8,1.8
2004/3/7,2.7,5.9,0.2
2004/3/8,4.1,8.8,0.6
2004/3/9,6.8,13.0,1.9
2004/3/10,8.4,14.3,2.2
2004/3/11,11.3,15.0,9.6
2004/3/12,9.5,11.5,7.4
2004/3/13,10.0,16.2,4.3
2004/3/14,8.7,13.2,2.8
2004/3/15,10.6,17.9,5.5
2004/3/16,9.7,14.8,3.4
2004/3/17,14.6,20.4,9.2
2004/3/18,10.1,14.8,5.1
2004/3/19,8.2,13.6,4.0
2004/3/20,8.3,11.4,6.6
2004/3/21,9.0,12.9,4.3
2004/3/22,6.8,9.2,5.3
2004/3/23,10.2,16.0,6.4
2004/3/24,9.9,11.4,7.7
2004/3/25,10.5,13.0,8.3
2004/3/26,10.3,14.7,7.1
2004/3/27,11.1,16.7,5.1
2004/3/28,10.6,16.0,5.3
2004/3/29,12.6,17.4,7.1
2004/3/30,13.8,15.6,12.0
2004/3/31,12.8,15.9,8.7
