ダウンロードした時刻：2017/07/24 15:44:00

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/1/1,3.8,5.4,2.1
1994/1/2,3.8,9.0,-0.6
1994/1/3,4.7,8.0,0.2
1994/1/4,7.0,9.9,5.2
1994/1/5,5.8,8.7,1.7
1994/1/6,6.1,10.5,1.9
1994/1/7,4.5,7.7,2.7
1994/1/8,3.6,7.4,0.4
1994/1/9,3.3,8.3,-0.9
1994/1/10,4.8,11.7,-0.4
1994/1/11,6.3,11.9,0.6
1994/1/12,7.1,10.3,4.3
1994/1/13,4.8,6.7,2.3
1994/1/14,5.3,9.1,1.4
1994/1/15,3.5,6.0,0.1
1994/1/16,2.3,7.0,-2.5
1994/1/17,5.0,9.6,0.7
1994/1/18,7.4,10.7,3.7
1994/1/19,1.6,4.1,0.3
1994/1/20,2.2,5.4,-0.2
1994/1/21,2.5,6.8,0.4
1994/1/22,2.7,6.7,0.0
1994/1/23,2.5,7.2,-1.2
1994/1/24,0.2,3.0,-1.6
1994/1/25,2.8,7.2,-1.4
1994/1/26,4.3,10.4,-1.2
1994/1/27,4.6,7.5,1.9
1994/1/28,3.3,6.9,0.6
1994/1/29,1.8,4.3,-1.2
1994/1/30,-0.1,2.4,-2.3
1994/1/31,1.2,4.2,-2.3
1994/2/1,4.2,7.0,1.4
1994/2/2,1.5,5.0,-0.7
1994/2/3,0.4,2.6,-0.8
1994/2/4,2.0,4.9,0.3
1994/2/5,3.3,7.9,-0.5
1994/2/6,3.6,7.6,1.3
1994/2/7,6.0,10.5,0.7
1994/2/8,5.9,9.2,0.7
1994/2/9,6.3,10.9,1.7
1994/2/10,0.5,4.1,-0.9
1994/2/11,1.5,4.0,-0.2
1994/2/12,0.9,3.1,-1.0
1994/2/13,0.8,2.8,-1.3
1994/2/14,2.4,4.1,0.5
1994/2/15,2.7,5.4,-2.1
1994/2/16,5.6,8.2,3.9
1994/2/17,5.1,6.5,4.1
1994/2/18,5.7,10.2,1.3
1994/2/19,4.4,11.9,-1.6
1994/2/20,6.1,11.1,0.9
1994/2/21,7.2,10.3,1.6
1994/2/22,3.4,5.6,0.8
1994/2/23,2.9,5.3,0.5
1994/2/24,1.5,3.2,0.2
1994/2/25,4.8,8.3,1.4
1994/2/26,3.9,6.7,2.2
1994/2/27,4.0,8.1,1.7
1994/2/28,4.8,8.1,1.4
1994/3/1,3.6,9.0,0.2
1994/3/2,4.3,6.3,2.4
1994/3/3,4.2,8.0,-0.8
1994/3/4,4.6,7.7,1.9
1994/3/5,3.0,5.2,-0.2
1994/3/6,4.4,7.9,0.4
1994/3/7,5.3,10.5,-0.4
1994/3/8,8.4,9.5,7.2
1994/3/9,10.0,14.4,7.6
1994/3/10,4.8,7.7,0.9
1994/3/11,5.3,9.1,1.4
1994/3/12,4.4,7.3,3.0
1994/3/13,5.1,8.1,3.1
1994/3/14,3.9,8.7,0.4
1994/3/15,3.4,6.2,1.7
1994/3/16,5.8,11.3,0.8
1994/3/17,5.8,9.7,3.3
1994/3/18,5.8,11.7,-0.4
1994/3/19,8.0,13.6,4.1
1994/3/20,6.7,10.5,3.8
1994/3/21,5.7,8.6,4.0
1994/3/22,6.5,12.6,0.4
1994/3/23,8.5,10.1,7.1
1994/3/24,7.5,10.1,4.3
1994/3/25,4.8,7.8,3.5
1994/3/26,4.1,7.8,0.2
1994/3/27,4.7,8.9,1.2
1994/3/28,7.3,14.5,0.3
1994/3/29,8.1,10.8,4.8
1994/3/30,6.9,11.8,3.4
1994/3/31,8.0,15.2,0.8
1994/4/1,10.2,17.5,3.6
1994/4/2,12.1,17.4,9.3
1994/4/3,9.9,12.8,5.9
1994/4/4,10.6,19.0,3.2
1994/4/5,14.7,22.5,8.4
1994/4/6,15.1,21.5,8.6
1994/4/7,13.3,16.2,11.4
1994/4/8,9.1,11.4,6.7
1994/4/9,6.8,9.1,5.5
1994/4/10,9.0,13.8,2.7
1994/4/11,13.0,20.0,6.4
1994/4/12,15.0,18.6,11.4
1994/4/13,11.2,14.2,7.3
1994/4/14,10.9,16.4,5.4
1994/4/15,11.7,18.9,5.4
1994/4/16,14.8,22.1,7.4
1994/4/17,14.8,21.5,10.7
1994/4/18,12.5,17.0,8.7
1994/4/19,14.3,19.7,10.8
1994/4/20,15.2,20.9,9.8
1994/4/21,17.1,22.4,12.9
1994/4/22,17.3,23.5,11.6
1994/4/23,14.7,17.5,12.6
1994/4/24,14.1,17.3,12.1
1994/4/25,15.7,20.5,11.4
1994/4/26,15.2,22.8,10.4
1994/4/27,15.1,20.7,10.1
1994/4/28,15.7,19.6,12.4
1994/4/29,15.1,21.9,9.2
1994/4/30,15.9,20.6,11.5
1994/5/1,15.3,16.9,14.0
