É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:51:35

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2018/12/1,10.5,19.1,4.9
2018/12/2,8.8,12.1,3.4
2018/12/3,11.1,14.0,8.2
2018/12/4,14.6,20.6,8.9
2018/12/5,16.0,20.6,11.7
2018/12/6,10.4,11.8,9.2
2018/12/7,11.0,16.2,8.5
2018/12/8,8.7,13.1,4.8
2018/12/9,5.8,8.8,2.8
2018/12/10,4.8,9.4,-0.2
2018/12/11,3.6,8.6,-1.7
2018/12/12,6.6,13.0,2.3
2018/12/13,6.9,11.9,2.8
2018/12/14,4.9,9.6,0.9
2018/12/15,4.3,9.6,-0.4
2018/12/16,2.2,7.2,-3.0
2018/12/17,6.4,14.5,0.5
2018/12/18,8.4,13.5,4.5
2018/12/19,7.3,13.7,2.0
2018/12/20,7.7,15.5,3.4
2018/12/21,6.6,13.6,-0.1
2018/12/22,8.9,13.2,4.0
2018/12/23,9.8,12.8,6.7
2018/12/24,7.6,10.8,3.7
2018/12/25,3.8,9.5,-2.5
2018/12/26,5.4,12.2,-1.1
2018/12/27,8.6,15.2,3.7
2018/12/28,2.9,7.5,-2.5
2018/12/29,2.8,9.5,-2.1
2018/12/30,2.2,9.5,-3.7
2018/12/31,3.7,9.7,-1.6
2019/1/1,5.0,11.8,0.2
2019/1/2,5.4,11.2,1.3
2019/1/3,4.4,10.3,-1.4
2019/1/4,5.0,11.7,-1.0
2019/1/5,6.5,16.2,-1.4
2019/1/6,4.8,8.3,1.7
2019/1/7,4.5,11.0,-0.4
2019/1/8,2.9,10.4,-2.8
2019/1/9,3.7,7.5,-0.1
2019/1/10,0.8,6.3,-4.3
2019/1/11,6.6,11.3,0.3
2019/1/12,4.0,8.4,-1.2
2019/1/13,5.6,10.9,0.7
2019/1/14,3.3,10.5,-2.6
2019/1/15,2.2,8.3,-2.9
2019/1/16,5.5,11.3,-0.7
2019/1/17,6.3,13.3,-0.8
2019/1/18,4.8,9.6,1.1
2019/1/19,5.6,12.5,0.8
2019/1/20,5.7,12.8,-1.6
2019/1/21,4.4,10.3,-0.1
2019/1/22,3.6,10.2,-2.3
2019/1/23,3.9,11.1,-3.5
2019/1/24,5.0,9.6,1.9
2019/1/25,5.1,10.5,0.3
2019/1/26,3.7,10.6,0.5
2019/1/27,3.8,9.0,-0.4
2019/1/28,4.1,10.5,-1.9
2019/1/29,4.9,9.3,0.5
2019/1/30,3.8,10.6,-2.6
2019/1/31,4.9,15.7,-1.4
2019/2/1,3.3,7.1,-0.2
2019/2/2,6.3,15.4,-2.4
2019/2/3,6.6,13.8,-0.9
2019/2/4,9.7,18.1,3.5
2019/2/5,6.1,10.9,3.9
2019/2/6,5.4,9.3,2.7
2019/2/7,7.5,14.7,-0.6
2019/2/8,4.7,8.6,1.3
2019/2/9,0.8,2.3,-0.3
2019/2/10,2.9,7.5,-0.2
2019/2/11,1.6,4.0,-1.1
2019/2/12,5.0,10.8,-1.9
2019/2/13,4.2,11.4,-0.9
2019/2/14,3.5,8.5,0.2
2019/2/15,2.0,7.2,-3.1
2019/2/16,5.2,14.9,-1.9
2019/2/17,5.5,11.2,1.7
2019/2/18,7.6,15.5,-1.3
2019/2/19,7.8,11.3,4.5
2019/2/20,10.2,20.1,1.7
2019/2/21,9.2,14.3,5.8
2019/2/22,8.0,14.6,1.0
2019/2/23,7.9,13.9,4.3
2019/2/24,7.2,14.7,0.4
2019/2/25,10.1,18.6,3.0
2019/2/26,10.1,14.7,5.8
2019/2/27,6.4,9.7,2.1
2019/2/28,6.6,7.8,5.5
2019/3/1,9.4,14.7,6.6
2019/3/2,9.2,15.4,3.7
2019/3/3,5.8,7.2,4.4
2019/3/4,7.6,10.3,5.8
2019/3/5,9.8,16.9,3.4
2019/3/6,10.3,14.2,7.5
2019/3/7,8.7,11.5,5.2
2019/3/8,6.6,11.1,3.0
2019/3/9,7.7,16.0,-1.0
2019/3/10,10.8,16.4,5.2
2019/3/11,11.2,17.7,8.3
2019/3/12,12.3,18.2,7.3
2019/3/13,9.5,17.9,4.1
2019/3/14,7.1,13.3,1.3
2019/3/15,8.5,15.0,1.8
2019/3/16,8.4,14.2,4.5
2019/3/17,7.3,13.1,1.0
2019/3/18,9.0,15.4,3.7
2019/3/19,11.9,18.2,6.3
2019/3/20,14.1,22.0,6.4
2019/3/21,15.5,23.2,10.4
2019/3/22,13.9,21.0,7.3
2019/3/23,6.7,10.2,2.3
2019/3/24,6.6,13.2,-0.7
2019/3/25,9.0,15.8,1.1
2019/3/26,11.4,17.1,6.0
2019/3/27,14.2,21.9,6.6
2019/3/28,11.9,17.9,6.2
2019/3/29,7.6,11.8,5.1
2019/3/30,7.2,9.3,5.4
2019/3/31,10.1,18.2,6.6
