ダウンロードした時刻：2019/10/10 15:33:44

,江差,江差,江差
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,0.7,4.0,-1.6
1983/12/2,7.1,9.4,2.9
1983/12/3,-0.5,6.5,-3.6
1983/12/4,-1.4,1.1,-3.6
1983/12/5,0.6,1.9,-1.7
1983/12/6,1.0,3.3,-3.0
1983/12/7,3.4,4.8,0.9
1983/12/8,4.0,5.0,3.0
1983/12/9,3.6,5.5,0.2
1983/12/10,4.1,7.8,-1.0
1983/12/11,5.8,11.0,1.9
1983/12/12,1.6,5.9,-0.4
1983/12/13,3.2,5.1,0.8
1983/12/14,-2.0,1.5,-4.5
1983/12/15,-2.7,-0.8,-4.4
1983/12/16,-4.8,-3.0,-7.1
1983/12/17,-4.8,-3.7,-6.4
1983/12/18,-3.0,-1.5,-4.8
1983/12/19,-1.4,-0.1,-2.8
1983/12/20,-1.2,1.9,-8.6
1983/12/21,4.0,6.2,0.5
1983/12/22,4.5,8.4,1.0
1983/12/23,1.0,2.8,-1.7
1983/12/24,-2.7,-1.0,-6.8
1983/12/25,-1.0,1.5,-5.8
1983/12/26,0.5,3.5,-1.5
1983/12/27,-0.2,2.2,-2.1
1983/12/28,-0.6,1.6,-2.5
1983/12/29,-1.3,2.2,-6.1
1983/12/30,-0.8,2.8,-5.7
1983/12/31,-0.3,2.2,-6.5
1984/1/1,-0.6,2.3,-2.9
1984/1/2,-0.8,2.3,-2.7
1984/1/3,-1.3,3.0,-5.4
1984/1/4,-0.8,2.2,-3.6
1984/1/5,-1.6,0.9,-4.8
1984/1/6,-2.9,0.3,-5.0
1984/1/7,-3.3,-1.0,-7.7
1984/1/8,-0.6,0.5,-2.0
1984/1/9,0.0,1.1,-2.4
1984/1/10,-0.1,1.7,-2.3
1984/1/11,-2.4,0.7,-4.1
1984/1/12,-2.8,-1.9,-4.8
1984/1/13,-1.9,-1.3,-3.7
1984/1/14,-1.4,0.2,-3.2
1984/1/15,-1.2,4.6,-6.1
1984/1/16,-7.0,-5.2,-8.6
1984/1/17,-6.7,-4.5,-9.2
1984/1/18,-5.6,-4.6,-6.7
1984/1/19,-5.3,-4.6,-6.3
1984/1/20,-4.1,-2.9,-5.9
1984/1/21,-3.4,-1.8,-6.6
1984/1/22,0.3,2.9,-7.2
1984/1/23,0.2,2.5,-1.5
1984/1/24,-0.7,1.0,-2.3
1984/1/25,-3.4,-0.4,-8.4
1984/1/26,-4.1,0.8,-9.4
1984/1/27,-3.1,0.7,-7.7
1984/1/28,-4.0,-0.1,-8.5
1984/1/29,-3.1,0.8,-10.5
1984/1/30,-1.2,0.4,-3.0
1984/1/31,-1.4,0.0,-3.6
1984/2/1,-2.1,0.2,-6.1
1984/2/2,-1.2,1.4,-4.0
1984/2/3,-5.1,-3.5,-6.4
1984/2/4,-6.6,-5.1,-8.2
1984/2/5,-6.6,-5.4,-7.8
1984/2/6,-8.7,-7.2,-9.6
1984/2/7,-6.6,-4.4,-9.1
1984/2/8,-4.4,-3.0,-5.5
1984/2/9,-2.9,-0.3,-5.7
1984/2/10,-0.2,0.9,-2.4
1984/2/11,-1.4,-0.4,-1.9
1984/2/12,-2.6,-0.8,-5.7
1984/2/13,-1.9,-0.3,-5.2
1984/2/14,-2.4,0.3,-4.2
1984/2/15,-3.5,-1.9,-5.1
1984/2/16,-5.1,-3.9,-6.7
1984/2/17,-4.8,-3.5,-6.9
1984/2/18,-5.3,-2.1,-11.2
1984/2/19,-4.1,-2.7,-5.6
1984/2/20,-2.7,-0.4,-5.5
1984/2/21,-0.1,1.1,-3.6
1984/2/22,-2.7,-0.1,-5.5
1984/2/23,-2.8,-0.6,-9.2
1984/2/24,-0.4,1.2,-2.1
1984/2/25,-0.6,1.7,-4.7
1984/2/26,0.1,0.9,-1.8
1984/2/27,-1.2,0.6,-2.4
1984/2/28,-2.5,0.2,-7.3
1984/2/29,-3.5,-1.4,-5.5
1984/3/1,-3.4,-1.6,-5.5
1984/3/2,-0.9,1.0,-2.7
1984/3/3,0.7,3.3,-1.3
1984/3/4,-1.3,0.5,-4.0
1984/3/5,-0.9,0.6,-3.7
1984/3/6,-1.3,1.1,-3.3
1984/3/7,-1.3,0.3,-4.1
1984/3/8,-2.7,0.4,-9.3
1984/3/9,-2.8,-0.6,-5.1
1984/3/10,0.4,4.3,-6.3
1984/3/11,0.2,2.4,-2.0
1984/3/12,-1.5,0.2,-4.1
1984/3/13,-1.1,-0.4,-3.0
1984/3/14,-0.8,1.3,-6.2
1984/3/15,-0.8,1.0,-3.3
1984/3/16,-0.3,1.9,-4.5
1984/3/17,1.4,3.7,-0.2
1984/3/18,1.3,3.2,-1.5
1984/3/19,1.2,4.1,-3.6
1984/3/20,1.7,3.7,-0.2
1984/3/21,0.4,2.5,-2.1
1984/3/22,0.0,1.9,-3.0
1984/3/23,-1.0,1.9,-5.3
1984/3/24,1.2,3.8,-3.7
1984/3/25,1.3,2.8,-0.7
1984/3/26,-0.7,1.1,-2.9
1984/3/27,0.3,2.7,-1.9
1984/3/28,-1.8,-0.4,-3.3
1984/3/29,-1.2,1.5,-4.8
1984/3/30,0.1,2.5,-2.5
1984/3/31,0.9,3.5,-2.0
